1316	1.219618e-004	2	1	1.219618e-004
1319	6.930047e-007	3	2	6.930047e-007
1322	3.453250e-008	4	3	3.453250e-008
1326	1.184664e-012	5	4	1.184664e-012
1326	1.184664e-012	5	4	1.184664e-012
1326	1.184664e-012	0	0	0.000000e+000
1327	6.755481e-003	1	0	6.755481e-003
1330	1.231270e-004	2	1	1.231270e-004
1333	7.063342e-007	3	2	7.063342e-007
1336	3.537330e-008	4	3	3.537330e-008
1340	1.259035e-012	5	4	1.259035e-012
1340	1.259035e-012	5	4	1.259035e-012
1340	1.259035e-012	0	0	0.000000e+000
1341	6.755525e-003	1	0	6.755525e-003
1344	1.242944e-004	2	1	1.242944e-004
1347	7.198386e-007	3	2	7.198386e-007
1350	3.622543e-008	4	3	3.622543e-008
1354	1.334196e-012	5	4	1.334196e-012
1354	1.334196e-012	5	4	1.334196e-012
1354	1.334196e-012	0	0	0.000000e+000
1355	6.755571e-003	1	0	6.755571e-003
1358	1.254640e-004	2	1	1.254640e-004
1361	7.335198e-007	3	2	7.335198e-007
1364	3.708885e-008	4	3	3.708885e-008
1368	1.409855e-012	5	4	1.409855e-012
1368	1.409855e-012	5	4	1.409855e-012
1368	1.409855e-012	0	0	0.000000e+000
1369	6.755619e-003	1	0	6.755619e-003
1372	1.266359e-004	2	1	1.266359e-004
1375	7.473797e-007	3	2	7.473797e-007
1378	3.796352e-008	4	3	3.796352e-008
1382	1.485403e-012	5	4	1.485403e-012
1382	1.485403e-012	5	4	1.485403e-012
1382	1.485403e-012	0	0	0.000000e+000
1383	6.755668e-003	1	0	6.755668e-003
1386	1.278100e-004	2	1	1.278100e-004
1389	7.614204e-007	3	2	7.614204e-007
1392	3.884948e-008	4	3	3.884948e-008
1396	1.561028e-012	5	4	1.561028e-012
1396	1.561028e-012	5	4	1.561028e-012
1396	1.561028e-012	0	0	0.000000e+000
1397	6.755719e-003	1	0	6.755719e-003
1400	1.289864e-004	2	1	1.289864e-004
1403	7.756437e-007	3	2	7.756437e-007
1406	3.974665e-008	4	3	3.974665e-008
1410	1.636399e-012	5	4	1.636399e-012
1410	1.636399e-012	5	4	1.636399e-012
1410	1.636399e-012	0	0	0.000000e+000
1411	6.755772e-003	1	0	6.755772e-003
1414	1.301650e-004	2	1	1.301650e-004
1417	7.900516e-007	3	2	7.900516e-007
1420	4.065507e-008	4	3	4.065507e-008
1424	1.711286e-012	5	4	1.711286e-012
1424	1.711286e-012	5	4	1.711286e-012
1424	1.711286e-012	0	0	0.000000e+000
1425	6.755826e-003	1	0	6.755826e-003
1428	1.313459e-004	2	1	1.313459e-004
1431	8.046462e-007	3	2	8.046462e-007
1434	4.157464e-008	4	3	4.157464e-008
1438	1.786058e-012	5	4	1.786058e-012
1438	1.786058e-012	5	4	1.786058e-012
1438	1.786058e-012	0	0	0.000000e+000
1439	6.755883e-003	1	0	6.755883e-003
1442	1.325290e-004	2	1	1.325290e-004
1445	8.194294e-007	3	2	8.194294e-007
1448	4.250538e-008	4	3	4.250538e-008
1452	1.860668e-012	5	4	1.860668e-012
1452	1.860668e-012	5	4	1.860668e-012
1452	1.860668e-012	0	0	0.000000e+000
1453	6.755941e-003	1	0	6.755941e-003
1456	1.337145e-004	2	1	1.337145e-004
1459	8.344033e-007	3	2	8.344033e-007
1462	4.344725e-008	4	3	4.344725e-008
1466	1.935630e-012	5	4	1.935630e-012
1466	1.935630e-012	5	4	1.935630e-012
1466	1.935630e-012	0	0	0.000000e+000
1467	6.756000e-003	1	0	6.756000e-003
1470	1.349022e-004	2	1	1.349022e-004
1473	8.495700e-007	3	2	8.495700e-007
1476	4.440026e-008	4	3	4.440026e-008
1480	2.011322e-012	5	4	2.011322e-012
1480	2.011322e-012	5	4	2.011322e-012
1480	2.011322e-012	0	0	0.000000e+000
1481	6.756062e-003	1	0	6.756062e-003
1484	1.360923e-004	2	1	1.360923e-004
1487	8.649315e-007	3	2	8.649315e-007
1490	4.536430e-008	4	3	4.536430e-008
1494	2.088651e-012	5	4	2.088651e-012
1494	2.088651e-012	5	4	2.088651e-012
1494	2.088651e-012	0	0	0.000000e+000
1495	6.756125e-003	1	0	6.756125e-003
1498	1.372846e-004	2	1	1.372846e-004
1501	8.804899e-007	3	2	8.804899e-007
1504	4.633940e-008	4	3	4.633940e-008
1508	2.168414e-012	5	4	2.168414e-012
1508	2.168414e-012	5	4	2.168414e-012
1508	2.168414e-012	0	0	0.000000e+000
1509	6.756190e-003	1	0	6.756190e-003
1512	1.384793e-004	2	1	1.384793e-004
1515	8.962474e-007	3	2	8.962474e-007
1518	4.732550e-008	4	3	4.732550e-008
1522	2.251778e-012	5	4	2.251778e-012
1522	2.251778e-012	5	4	2.251778e-012
1522	2.251778e-012	0	0	0.000000e+000
1523	6.756257e-003	1	0	6.756257e-003
1526	1.396763e-004	2	1	1.396763e-004
1529	9.122060e-007	3	2	9.122060e-007
1532	4.832255e-008	4	3	4.832255e-008
1536	2.339744e-012	5	4	2.339744e-012
1536	2.339744e-012	5	4	2.339744e-012
1536	2.339744e-012	0	0	0.000000e+000
1537	6.756326e-003	1	0	6.756326e-003
1540	1.408756e-004	2	1	1.408756e-004
1543	9.283679e-007	3	2	9.283679e-007
1546	4.933057e-008	4	3	4.933057e-008
1550	2.433814e-012	5	4	2.433814e-012
1550	2.433814e-012	5	4	2.433814e-012
1550	2.433814e-012	0	0	0.000000e+000
1551	6.756396e-003	1	0	6.756396e-003
1554	1.420773e-004	2	1	1.420773e-004
1557	9.447352e-007	3	2	9.447352e-007
1560	5.034946e-008	4	3	5.034946e-008
1564	2.535234e-012	5	4	2.535234e-012
1564	2.535234e-012	5	4	2.535234e-012
1564	2.535234e-012	0	0	0.000000e+000
1565	6.756469e-003	1	0	6.756469e-003
1568	1.432813e-004	2	1	1.432813e-004
1571	9.613102e-007	3	2	9.613102e-007
1574	5.137924e-008	4	3	5.137924e-008
1578	2.645222e-012	5	4	2.645222e-012
1578	2.645222e-012	5	4	2.645222e-012
1578	2.645222e-012	0	0	0.000000e+000
1579	6.756543e-003	1	0	6.756543e-003
1582	1.444877e-004	2	1	1.444877e-004
1585	9.780950e-007	3	2	9.780950e-007
1588	5.241982e-008	4	3	5.241982e-008
1592	2.765101e-012	5	4	2.765101e-012
1592	2.765101e-012	5	4	2.765101e-012
1592	2.765101e-012	0	0	0.000000e+000
1593	6.756619e-003	1	0	6.756619e-003
1596	1.456964e-004	2	1	1.456964e-004
1599	9.950918e-007	3	2	9.950918e-007
1602	5.347117e-008	4	3	5.347117e-008
1606	2.896004e-012	5	4	2.896004e-012
1606	2.896004e-012	5	4	2.896004e-012
1606	2.896004e-012	0	0	0.000000e+000
