0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25
A;A;Symbol;Name;Z;abundance;Re[bc_coh];Im[bc_coh];Re[bc_inc];Im[bc_inc];sigma_coh;sigma_inc;sigma_scatt;sigma_abs;Symbol;Z;CrKafp;CrKafpp;FeKafp;FeKafpp;CuKafp;CuKafpp;MoKafp;MoKafpp;AgKafp;AgKafpp
;;;;;;;;;;;;;;;;5989eV;5989eV;7112eV;7112eV;8979eV;8979eV;20000eV;20000eV;25514eV;25514eV
n;47.867;Ti;Titanium;22; ;-3.438;; ;;1.485;2.87;4.35;6.09;Ti;22;-1.683;3.47;-0.357;2.643;0.189;1.807;0.248;0.446;0.175;0.283
46;45.9526295;Ti;Titanium;22;8.2;4.93;;0;;3.05;0;3.05;0.59;Ti;22;-1.683;3.47;-0.357;2.643;0.189;1.807;0.248;0.446;0.175;0.283
47;46.9517638;Ti;Titanium;22;7.4;3.63;;-3.5;;1.66;1.5;3.2;1.7;Ti;22;-1.683;3.47;-0.357;2.643;0.189;1.807;0.248;0.446;0.175;0.283
48;47.9479471;Ti;Titanium;22;73.8;-6.08;;0;;4.65;0;4.65;7.84;Ti;22;-1.683;3.47;-0.357;2.643;0.189;1.807;0.248;0.446;0.175;0.283
49;48.9478708;Ti;Titanium;22;5.4;1.04;;5.1;;0.14;3.3;3.4;2.2;Ti;22;-1.683;3.47;-0.357;2.643;0.189;1.807;0.248;0.446;0.175;0.283
50;49.9447921;Ti;Titanium;22;5.2;6.18;;0;;4.8;0;4.8;0.179;Ti;22;-1.683;3.47;-0.357;2.643;0.189;1.807;0.248;0.446;0.175;0.283
n;50.9415;V;Vanadium;23; ;-0.3824;; ;;0.0184;5.08;5.1;5.08;V;23;-3.841;0.459;-0.896;3.07;0.035;2.11;0.267;0.53;0.194;0.338
50;49.9471628;V;Vanadium;23;0.25;7.6;; ;;7.3;0.5;7.8;60;V;23;-3.841;0.459;-0.896;3.07;0.035;2.11;0.267;0.53;0.194;0.338
51;50.9439637;V;Vanadium;23;99.75;-0.402;;6.35;;0.0203;5.07;5.09;4.9;V;23;-3.841;0.459;-0.896;3.07;0.035;2.11;0.267;0.53;0.194;0.338
n;51.9961;Cr;Chromium;24; ;3.635;; ;;1.66;1.83;3.49;3.05;Cr;24;-2.161;0.548;-1.973;3.533;-0.198;2.443;0.284;0.624;0.213;0.399
50;49.9460496;Cr;Chromium;24;4.35;-4.5;;0;;2.54;0;2.54;15.8;Cr;24;-2.161;0.548;-1.973;3.533;-0.198;2.443;0.284;0.624;0.213;0.399
52;51.9405119;Cr;Chromium;24;83.79;4.92;;0;;3.042;0;3.042;0.76;Cr;24;-2.161;0.548;-1.973;3.533;-0.198;2.443;0.284;0.624;0.213;0.399
53;52.9406538;Cr;Chromium;24;9.5;-4.2;;6.87;;2.22;5.93;8.15;18.1;Cr;24;-2.161;0.548;-1.973;3.533;-0.198;2.443;0.284;0.624;0.213;0.399
54;53.9388849;Cr;Chromium;24;2.36;4.55;;0;;2.6;0;2.6;0.36;Cr;24;-2.161;0.548;-1.973;3.533;-0.198;2.443;0.284;0.624;0.213;0.399
n;54.938049;Mn;Manganese;25;;-3.73;;1.79;;1.75;0.4;2.15;13.3;Mn;25;-1.639;0.65;-3.367;0.0481;-0.568;2.808;0.295;0.729;0.229;0.468
55;54.9380496;Mn;Manganese;25;100;-3.73;;1.79;;1.75;0.4;2.15;13.3;Mn;25;-1.639;0.65;-3.367;0.0481;-0.568;2.808;0.295;0.729;0.229;0.468
n;55.845;Fe;Iron;26; ;9.45;; ;;11.22;0.4;11.62;2.56;Fe;26;-1.339;0.764;-2.095;0.566;-1.179;3.204;0.301;0.845;0.244;0.545
54;53.9396148;Fe;Iron;26;5.8;4.2;;0;;2.2;0;2.2;2.25;Fe;26;-1.339;0.764;-2.095;0.566;-1.179;3.204;0.301;0.845;0.244;0.545
56;55.9349421;Fe;Iron;26;91.7;9.94;;0;;12.42;0;12.42;2.59;Fe;26;-1.339;0.764;-2.095;0.566;-1.179;3.204;0.301;0.845;0.244;0.545
57;56.9353987;Fe;Iron;26;2.2;2.3;; ;;0.66;0.3;1;2.48;Fe;26;-1.339;0.764;-2.095;0.566;-1.179;3.204;0.301;0.845;0.244;0.545
58;57.9332805;Fe;Iron;26;0.3;15;;0;;28;0;28;1.28;Fe;26;-1.339;0.764;-2.095;0.566;-1.179;3.204;0.301;0.845;0.244;0.545
