  Element 22: Ti      Atomic mass:   47.8800

  Edge          keV         A
    K         4.9664    2.4965

Scattering factors as a function of energy: 

   18800.00      0.2577775      0.3892128    
   18900.00      0.2561558      0.3852765    
   19000.00      0.2545432      0.3813979    
   19100.00      0.2529399      0.3775757    
   19200.00      0.2513458      0.3738089    
   19300.00      0.2497612      0.3700965    
   19400.00      0.2481859      0.3664374    
   19500.00      0.2466200      0.3628305    
   19600.00      0.2450635      0.3592750    
   19700.00      0.2435164      0.3557698    
   19800.00      0.2419789      0.3523140    
   19900.00      0.2404507      0.3489067    
   20000.00      0.2389321      0.3455470    
   20100.00      0.2374229      0.3422340    
   20200.00      0.2359232      0.3389668    
   20300.00      0.2344330      0.3357448    
   20400.00      0.2329522      0.3325669    
   20500.00      0.2314808      0.3294324    
   20600.00      0.2300189      0.3263405    
   20700.00      0.2285664      0.3232905    
   20800.00      0.2271233      0.3202817    
   20900.00      0.2256895      0.3173132    
   21000.00      0.2242651      0.3143843    
   21100.00      0.2228500      0.3114945    
   21200.00      0.2214441      0.3086429    
   21300.00      0.2200474      0.3058290    
   21400.00      0.2186595      0.3030521    
   21500.00      0.2172750      0.3003114    
   21600.00      0.2142213      0.2976252    
   21700.00      0.2128632      0.2949789    
   21800.00      0.2115153      0.2923670    
   21900.00      0.2101768      0.2897886    
   22000.00      0.2088476      0.2872433    
   22100.00      0.2075277      0.2847306    
   22200.00      0.2062169      0.2822498    
   22300.00      0.2049152      0.2798005    
   22400.00      0.2036226      0.2773821    
   22500.00      0.2023389      0.2749940    
   22600.00      0.2010641      0.2726359    
   22700.00      0.1997982      0.2703072    
   22800.00      0.1985412      0.2680074    
   22900.00      0.1972928      0.2657360    
   23000.00      0.1960532      0.2634926    
   23100.00      0.1948222      0.2612767    
   23200.00      0.1935997      0.2590879    
   23300.00      0.1923858      0.2569257    
   23400.00      0.1911803      0.2547897    
   23500.00      0.1899833      0.2526796    
   23600.00      0.1887945      0.2505948    
   23700.00      0.1876140      0.2485349    
   23800.00      0.1864417      0.2464997    
   23900.00      0.1852776      0.2444887    
   24000.00      0.1841215      0.2425015    
   24100.00      0.1829734      0.2405377    
   24200.00      0.1818333      0.2385970    
   24300.00      0.1807011      0.2366790    
   24400.00      0.1795767      0.2347834    
   24500.00      0.1784600      0.2329098    
   24600.00      0.1773510      0.2310579    
   24700.00      0.1762496      0.2292274    
   24800.00      0.1751558      0.2274179    
   24900.00      0.1740693      0.2256291    
