  Element 12: Mg      Atomic mass:   24.3050

  Edge          keV         A
    K         1.3050    9.5007

Scattering factors as a function of energy: 

   17500.00      4.9629506E-02  3.6466960E-02
   17600.00      4.9099475E-02  3.6033127E-02
   17700.00      4.8576597E-02  3.5606675E-02
   17800.00      4.8060756E-02  3.5187449E-02
   17900.00      4.7551800E-02  3.4775272E-02
   18000.00      4.7049612E-02  3.4370001E-02
   18100.00      4.6554077E-02  3.3971481E-02
   18200.00      4.6065077E-02  3.3579566E-02
   18300.00      4.5582496E-02  3.3194121E-02
   18400.00      4.5106210E-02  3.2814991E-02
   18500.00      4.4636112E-02  3.2442052E-02
   18600.00      4.4172093E-02  3.2075167E-02
   18700.00      4.3714054E-02  3.1714208E-02
   18800.00      4.3261889E-02  3.1359062E-02
   18900.00      4.2815484E-02  3.1009590E-02
   19000.00      4.2374752E-02  3.0665683E-02
   19100.00      4.1939586E-02  3.0327221E-02
   19200.00      4.1509900E-02  2.9994095E-02
   19300.00      4.1085605E-02  2.9666198E-02
   19400.00      4.0666588E-02  2.9343415E-02
   19500.00      4.0252775E-02  2.9025648E-02
   19600.00      3.9844073E-02  2.8712790E-02
   19700.00      3.9440401E-02  2.8404748E-02
   19800.00      3.9041679E-02  2.8101429E-02
   19900.00      3.8647812E-02  2.7802726E-02
   20000.00      3.8258724E-02  2.7508555E-02
   20100.00      3.7874337E-02  2.7218824E-02
   20200.00      3.7494577E-02  2.6933448E-02
   20300.00      3.7119370E-02  2.6652345E-02
   20400.00      3.6748629E-02  2.6375422E-02
   20500.00      3.6382288E-02  2.6102604E-02
   20600.00      3.6020275E-02  2.5833812E-02
   20700.00      3.5662521E-02  2.5568966E-02
   20800.00      3.5308968E-02  2.5307998E-02
   20900.00      3.4959529E-02  2.5050823E-02
   21000.00      3.4614142E-02  2.4797373E-02
   21100.00      3.4272753E-02  2.4547581E-02
   21200.00      3.3935290E-02  2.4301374E-02
   21300.00      3.3601698E-02  2.4058692E-02
   21400.00      3.3271905E-02  2.3819460E-02
   21500.00      3.2945856E-02  2.3583619E-02
   21600.00      3.2623492E-02  2.3351105E-02
   21700.00      3.2304756E-02  2.3121858E-02
   21800.00      3.1989593E-02  2.2895822E-02
   21900.00      3.1677943E-02  2.2672931E-02
   22000.00      3.1369749E-02  2.2453129E-02
   22100.00      3.1064959E-02  2.2236364E-02
   22200.00      3.0763522E-02  2.2022579E-02
   22300.00      3.0465389E-02  2.1811726E-02
   22400.00      3.0170498E-02  2.1603744E-02
   22500.00      2.9878806E-02  2.1398585E-02
   22600.00      2.9590260E-02  2.1196201E-02
   22700.00      2.9304812E-02  2.0996545E-02
   22800.00      2.9022418E-02  2.0799566E-02
   22900.00      2.8743019E-02  2.0605216E-02
   23000.00      2.8466577E-02  2.0413451E-02
   23100.00      2.8193042E-02  2.0224227E-02
   23200.00      2.7922366E-02  2.0037498E-02
   23300.00      2.7654512E-02  1.9853227E-02
   23400.00      2.7384032E-02  1.9671369E-02
   23500.00      2.7121712E-02  1.9491890E-02
