  Element 81: Tl      Atomic mass:  204.3830

  Edge          keV         A
    K        85.5304    0.1450
    L-I      15.3467    0.8079
    L-II     14.6979    0.8436
    L-III    12.6575    0.9795
    M1        3.7041    3.3472
    M2        3.4157    3.6298
    M3        2.9566    4.1935
    M4        2.4851    4.9891
    M5        2.3893    5.1891

Scattering factors as a function of energy: 

   15324.00      -7.598304       10.25829    
   15329.00      -7.712294       10.25263    
   15334.00      -7.868603       10.24698    
   15339.00      -8.110645       10.24133    
   15344.00      -8.631241       10.23569    
   15349.00      -8.703681       11.83106    
   15354.00      -8.102658       11.82517    
   15359.00      -7.824589       11.81929    
   15364.00      -7.638688       11.81342    
   15369.00      -7.497339       11.80755    
   15374.00      -7.382386       11.80168    
   15379.00      -7.284883       11.79582    
   15384.00      -7.199821       11.78996    
   15389.00      -7.124078       11.78411    
   15394.00      -7.055581       11.77826    
   15399.00      -6.992885       11.77242    
   15400.00      -6.980951       11.77125    
   15404.00      -6.934940       11.76658    
   15409.00      -6.880963       11.76074    
   15414.00      -6.830363       11.75491    
   15419.00      -6.782687       11.74908    
   15424.00      -6.737310       11.74326    
   15429.00      -6.694335       11.73744    
   15434.00      -6.653272       11.73163    
   15439.00      -6.613941       11.72582    
   15444.00      -6.576168       11.72002    
   15500.00      -6.226526       11.65530    
   15600.00      -5.775977       11.54108    
   15700.00      -5.429002       11.42853    
   15800.00      -5.138936       11.31764    
   15900.00      -4.887214       11.20836    
   16000.00      -4.662330       11.10067    
   16100.00      -4.461074       10.99455    
   16200.00      -4.274899       10.88996    
   16300.00      -4.103177       10.78686    
   16400.00      -3.943772       10.68522    
   16500.00      -3.796535       10.58505    
   16600.00      -3.657218       10.48633    
   16700.00      -3.526216       10.38898    
   16800.00      -3.402684       10.29298    
   16900.00      -3.285898       10.19830    
   17000.00      -3.175252       10.10491    
   17100.00      -3.070220       10.01280    
   17200.00      -2.970351       9.921924    
   17300.00      -2.875248       9.832274    
   17400.00      -2.784560       9.743821    
