  Element 51: Sb      Atomic mass:  121.7500

  Edge          keV         A
    K        30.4912    0.4066
    L-I       4.6983    2.6389
    L-II      4.3804    2.8304
    L-III     4.1322    3.0004

Scattering factors as a function of energy: 

   14500.00     -0.2670264       2.154254    
   14600.00     -0.2768171       2.128397    
   14700.00     -0.2866097       2.103008    
   14800.00     -0.2964028       2.078076    
   14900.00     -0.3061953       2.053590    
   15000.00     -0.3159861       2.029539    
   15100.00     -0.3257742       2.005913    
   15200.00     -0.3355593       1.982702    
   15300.00     -0.3466452       1.959902    
   15400.00     -0.3564211       1.937504    
   15500.00     -0.3661904       1.915492    
   15600.00     -0.3759529       1.893857    
   15700.00     -0.3857084       1.872590    
   15800.00     -0.3954565       1.851684    
   15900.00     -0.4051970       1.831129    
   16000.00     -0.4149298       1.810918    
   16100.00     -0.4246547       1.791044    
   16200.00     -0.4343716       1.771498    
   16300.00     -0.4440804       1.752273    
   16400.00     -0.4537815       1.733363    
   16500.00     -0.4634750       1.714760    
   16600.00     -0.4731609       1.696458    
   16700.00     -0.4828395       1.678449    
   16800.00     -0.4925109       1.660729    
   16900.00     -0.5021759       1.643290    
   17000.00     -0.5118346       1.626127    
   17100.00     -0.5214876       1.609234    
   17200.00     -0.5311353       1.592604    
   17300.00     -0.5407780       1.576234    
   17400.00     -0.5504167       1.560116    
   17500.00     -0.5600520       1.544246    
   17600.00     -0.5696844       1.528619    
   17700.00     -0.5793166       1.513229    
   17800.00     -0.5891474       1.498075    
   17900.00     -0.5988278       1.483148    
   18000.00     -0.6104063       1.468477    
   18100.00     -0.6200312       1.454026    
   18200.00     -0.6296562       1.439790    
   18300.00     -0.6392828       1.425764    
   18400.00     -0.6489127       1.411943    
   18500.00     -0.6585468       1.398324    
   18600.00     -0.6681861       1.384903    
   18700.00     -0.6778318       1.371676    
   18800.00     -0.6874846       1.358639    
   18900.00     -0.6971462       1.345788    
   19000.00     -0.7083941       1.333125    
   19100.00     -0.7180721       1.320661    
   19200.00     -0.7277620       1.308373    
   19300.00     -0.7374650       1.296258    
   19400.00     -0.7471827       1.284311    
   19500.00     -0.7569164       1.272531    
   19600.00     -0.7666674       1.260913    
   19700.00     -0.7764372       1.249454    
   19800.00     -0.7862270       1.238153    
   19900.00     -0.7960388       1.227006    
   20000.00     -0.8058740       1.216009    
   20100.00     -0.8157342       1.205161    
   20200.00     -0.8256211       1.194458    
   20300.00     -0.8355370       1.183899    
   20400.00     -0.8478423       1.173494    
   20500.00     -0.8578241       1.163248    
   20600.00     -0.8678378       1.153137    
   20700.00     -0.8778864       1.143159    
   20800.00     -0.8879718       1.133312    
   20900.00     -0.8980965       1.123593    
   21000.00     -0.9082623       1.114000    
   21100.00     -0.9184713       1.104530    
   21200.00     -0.9287258       1.095182    
   21300.00     -0.9390277       1.085954    
   21400.00     -0.9493799       1.076844    
   21500.00     -0.9597845       1.067848    
   21600.00     -0.9702440       1.058967    
   21700.00     -0.9807608       1.050196    
   21800.00     -0.9913374       1.041536    
   21900.00      -1.001977       1.032983    
   22000.00      -1.012682       1.024537    
   22100.00      -1.023455       1.016194    
   22200.00      -1.034300       1.007954    
   22300.00      -1.045219      0.9998155    
   22400.00      -1.056216      0.9917758    
   22500.00      -1.067293      0.9838335    
   22600.00      -1.078455      0.9759872    
   22700.00      -1.089705      0.9682353    
   22800.00      -1.101046      0.9605765    
   22900.00      -1.112482      0.9530089    
   23000.00      -1.124018      0.9455312    
   23100.00      -1.135657      0.9381419    
   23200.00      -1.147403      0.9308398    
   23300.00      -1.159261      0.9236235    
   23400.00      -1.171236      0.9164914    
   23500.00      -1.183332      0.9094423    
   23600.00      -1.195555      0.9024749    
   23700.00      -1.207909      0.8955880    
   23800.00      -1.220399      0.8887804    
   23900.00      -1.233033      0.8820506    
   24000.00      -1.245815      0.8753976    
   24100.00      -1.258751      0.8688202    
   24200.00      -1.271849      0.8623172    
   24300.00      -1.285115      0.8558877    
   24400.00      -1.298555      0.8495302    
   24500.00      -1.312179      0.8432438    
   24600.00      -1.325992      0.8370275    
   24700.00      -1.340004      0.8308802    
   24800.00      -1.354224      0.8248008    
   24900.00      -1.368660      0.8187884    
