  Element 73: Ta      Atomic mass:  180.9479

  Edge          keV         A
    K        67.4164    0.1839
    L-I      11.6815    1.0614
    L-II     11.1361    1.1134
    L-III     9.8811    1.2548
    M1        2.7080    4.5784
    M2        2.4687    5.0222
    M3        2.1940    5.6511
    M4        1.7932    6.9141
    M5        1.7351    7.1457

Scattering factors as a function of energy: 

   9929.000      -13.22805       10.40124    
   9934.000      -13.01161       10.38923    
   9939.000      -12.81471       10.37725    
   9944.000      -12.63413       10.36531    
   9949.000      -12.46741       10.35339    
   9954.000      -12.31259       10.34151    
   9959.000      -12.16814       10.32965    
   9964.000      -12.03273       10.31783    
   9969.000      -11.90534       10.30603    
   9974.000      -11.78510       10.29427    
   9979.000      -11.67127       10.28253    
   10000.00      -11.25051       10.23356    
   10100.00      -9.955667       10.00729    
   10200.00      -9.204181       9.791944    
   10300.00      -8.708112       9.586830    
   10400.00      -8.369071       9.391335    
   10500.00      -8.143452       9.204880    
   10600.00      -8.011320       9.026935    
   10700.00      -7.969047       8.857012    
   10800.00      -8.021417       8.694707    
   10900.00      -8.202856       8.539549    
   11000.00      -8.616414       8.391144    
   11039.00      -8.911035       8.335019    
   11044.00      -8.958932       8.327892    
   11049.00      -9.009928       8.320781    
   11054.00      -9.064380       8.313685    
   11059.00      -9.122717       8.306605    
   11064.00      -9.185452       8.299541    
   11069.00      -9.253210       8.292492    
   11074.00      -9.326759       8.285459    
   11079.00      -9.407066       8.278440    
   11084.00      -9.495342       8.271439    
   11089.00      -9.593225       8.264451    
   11094.00      -9.702844       8.257478    
   11099.00      -9.827161       8.250521    
   11100.00      -9.854142       8.249130    
   11104.00      -9.970431       8.243579    
   11109.00      -10.13909       8.236651    
   11114.00      -10.34352       8.229739    
   11119.00      -10.60223       8.222842    
   11124.00      -10.95317       8.215961    
   11129.00      -11.49754       8.209094    
   11134.00      -12.74958       8.202242    
   11139.00      -12.41777       11.44912    
   11144.00      -11.37216       11.43995    
   11149.00      -10.85741       11.43079    
   11154.00      -10.51172       11.42165    
   11159.00      -10.25050       11.41253    
   11164.00      -10.04018       11.40343    
   11169.00      -9.863873       11.39435    
   11174.00      -9.711982       11.38528    
   11179.00      -9.578476       11.37623    
   11184.00      -9.459321       11.36720    
   11189.00      -9.351690       11.35818    
   11194.00      -9.253523       11.34918    
   11199.00      -9.163270       11.34020    
   11200.00      -9.146070       11.33841    
   11204.00      -9.079741       11.33124    
   11209.00      -9.002011       11.32229    
   11214.00      -8.929300       11.31336    
   11219.00      -8.861014       11.30445    
   11224.00      -8.796648       11.29555    
   11229.00      -8.735783       11.28667    
   11234.00      -8.678064       11.27780    
   11300.00      -8.112388       11.16236    
   11400.00      -7.621662       10.99282    
   11500.00      -7.379766       10.82945    
   11584.00      -7.385444       10.69679    
   11589.00      -7.395651       10.68902    
   11594.00      -7.407564       10.68127    
   11599.00      -7.421363       10.67353    
   11600.00      -7.424368       10.67198    
   11604.00      -7.437261       10.66580    
   11609.00      -7.455517       10.65809    
   11614.00      -7.476444       10.65039    
   11619.00      -7.500429       10.64270    
   11624.00      -7.527953       10.63504    
   11629.00      -7.559643       10.62738    
   11634.00      -7.596301       10.61974    
   11639.00      -7.639003       10.61211    
   11644.00      -7.689232       10.60449    
   11649.00      -7.749112       10.59689    
   11654.00      -7.821836       10.58930    
   11659.00      -7.912542       10.58173    
   11664.00      -8.030255       10.57417    
   11669.00      -8.193372       10.56663    
   11674.00      -8.449319       10.55909    
   11679.00      -9.018103       10.55157    
   11684.00      -9.004695       12.21829    
   11689.00      -8.403934       12.21049    
   11694.00      -8.116402       12.20272    
   11699.00      -7.921936       12.19495    
   11700.00      -7.889326       12.19340    
   11704.00      -7.772988       12.18720    
   11709.00      -7.651178       12.17946    
   11714.00      -7.547380       12.17174    
   11719.00      -7.456466       12.16402    
   11724.00      -7.375224       12.15632    
   11729.00      -7.301517       12.14864    
   11734.00      -7.233804       12.14096    
   11739.00      -7.172142       12.13330    
   11744.00      -7.113589       12.12565    
   11749.00      -7.058575       12.11802    
   11754.00      -7.006583       12.11039    
   11759.00      -6.957230       12.10278    
   11764.00      -6.910196       12.09519    
   11769.00      -6.865218       12.08760    
   11774.00      -6.822075       12.08003    
   11779.00      -6.780583       12.07247    
   11800.00      -6.621168       12.04085    
   11900.00      -6.050083       11.89324    
   12000.00      -5.630692       11.75036    
   12100.00      -5.287933       11.61200    
   12200.00      -4.994157       11.47798    
   12300.00      -4.735462       11.34811    
   12400.00      -4.503617       11.22224    
   12500.00      -4.293207       11.10020    
   12600.00      -4.100422       10.98184    
   12700.00      -3.922443       10.86703    
   12800.00      -3.757085       10.75564    
   12900.00      -3.326321       10.63574    
   13000.00      -3.173682       10.50856    
   13100.00      -3.030698       10.38363    
   13200.00      -2.896412       10.26090    
   13300.00      -2.770017       10.14031    
   13400.00      -2.650823       10.02181    
   13500.00      -2.538228       9.905342    
   13600.00      -2.431708       9.790863    
   13700.00      -2.330804       9.678324    
   13800.00      -2.235102       9.567677    
   13900.00      -2.144241       9.458878    
   14000.00      -2.057889       9.351882    
   14100.00      -1.975753       9.246648    
   14200.00      -1.897566       9.143135    
   14300.00      -1.823084       9.041304    
   14400.00      -1.752086       8.941115    
   14500.00      -1.674611       8.842375    
   14600.00      -1.609733       8.744667    
   14700.00      -1.547829       8.648474    
   14800.00      -1.488732       8.553761    
   14900.00      -1.432297       8.460499    
   15000.00      -1.378389       8.368654    
   15100.00      -1.326883       8.278200    
   15200.00      -1.305265       8.189366    
   15300.00      -1.259033       8.103481    
   15400.00      -1.214792       8.018976    
   15500.00      -1.172440       7.935820    
   15600.00      -1.131885       7.853983    
   15700.00      -1.093042       7.773440    
   15800.00      -1.055832       7.694159    
   15900.00      -1.020181       7.616116    
   16000.00     -0.9860157       7.539283    
   16100.00     -0.9532716       7.463636    
   16200.00     -0.9218856       7.389149    
   16300.00     -0.8917992       7.315800    
   16400.00     -0.8629552       7.243563    
   16500.00     -0.8353021       7.172415    
   16600.00     -0.8091422       7.102336    
   16700.00     -0.7837213       7.033304    
   16800.00     -0.7593479       6.965298    
   16900.00     -0.7359787       6.898294    
   17000.00     -0.7135738       6.832275    
   17100.00     -0.6920945       6.767220    
   17200.00     -0.6715043       6.703111    
   17300.00     -0.6517686       6.639929    
   17400.00     -0.6328535       6.577655    
   17500.00     -0.6147277       6.516273    
   17600.00     -0.5973610       6.455763    
   17700.00     -0.5807247       6.396111    
   17800.00     -0.5647914       6.337300    
   17900.00     -0.5495346       6.279312    
   18000.00     -0.5349293       6.222133    
   18100.00     -0.5209515       6.165747    
   18200.00     -0.5075784       6.110140    
   18300.00     -0.4947884       6.055298    
   18400.00     -0.4825599       6.001204    
   18500.00     -0.4708730       5.947847    
   18600.00     -0.4597085       5.895211    
   18700.00     -0.4490480       5.843285    
   18800.00     -0.4388740       5.792056    
   18900.00     -0.4291691       5.741509    
   19000.00     -0.4199173       5.691634    
   19100.00     -0.4111027       5.642418    
   19200.00     -0.4027107       5.593849    
   19300.00     -0.3947267       5.545917    
   19400.00     -0.3871367       5.498608    
   19500.00     -0.3799276       5.451913    
   19600.00     -0.3730865       5.405821    
   19700.00     -0.3666011       5.360321    
   19800.00     -0.3619230       5.315419    
   19900.00     -0.3561194       5.271113    
   20000.00     -0.3506363       5.227370    
   20100.00     -0.3454632       5.184179    
   20200.00     -0.3405901       5.141531    
   20300.00     -0.3360072       5.099417    
   20400.00     -0.3317073       5.057827    
   20500.00     -0.3280817       5.016753    
   20600.00     -0.3243133       4.976187    
   20700.00     -0.3207992       4.936120    
   20800.00     -0.3175316       4.896544    
   20900.00     -0.3145022       4.857449    
   21000.00     -0.3117038       4.818828    
   21100.00     -0.3091290       4.780674    
   21200.00     -0.3067707       4.742978    
   21300.00     -0.3046221       4.705735    
   21400.00     -0.3026766       4.668935    
   21500.00     -0.3009279       4.632572    
   21600.00     -0.2993700       4.596639    
   21700.00     -0.2979967       4.561128    
   21800.00     -0.2968025       4.526035    
   21900.00     -0.2957817       4.491351    
   22000.00     -0.2949291       4.457070    
   22100.00     -0.2942395       4.423186    
   22200.00     -0.2937078       4.389692    
   22300.00     -0.2964103       4.356605    
   22400.00     -0.2961926       4.323951    
   22500.00     -0.2961172       4.291670    
   22600.00     -0.2961799       4.259756    
   22700.00     -0.2963763       4.228203    
   22800.00     -0.2967023       4.197006    
   22900.00     -0.2971541       4.166159    
   23000.00     -0.2977278       4.135657    
   23100.00     -0.2984198       4.105495    
   23200.00     -0.2992263       4.075667    
   23300.00     -0.3001441       4.046170    
   23400.00     -0.3017597       4.017002    
   23500.00     -0.3028941       3.988163    
   23600.00     -0.3041297       3.959638    
   23700.00     -0.3054634       3.931425    
   23800.00     -0.3068923       3.903518    
   23900.00     -0.3084134       3.875911    
   24000.00     -0.3100241       3.848602    
   24100.00     -0.3117217       3.821586    
   24200.00     -0.3135034       3.794858    
   24300.00     -0.3153668       3.768415    
   24400.00     -0.3173095       3.742251    
   24500.00     -0.3193291       3.716364    
   24600.00     -0.3214233       3.690749    
   24700.00     -0.3235899       3.665402    
   24800.00     -0.3258266       3.640321    
   24900.00     -0.3281314       3.615500    
