  Element 58: Ce      Atomic mass:  140.1200

  Edge          keV         A
    K        40.4430    0.3066
    L-I       6.5488    1.8932
    L-II      6.1642    2.0114
    L-III     5.7234    2.1663
    M1        1.4346    8.6424
    M2        1.2728    9.7411
    M3        1.1854   10.4593

Scattering factors as a function of energy: 

   13500.00      2.6236607E-03   4.113322    
   13600.00      7.3994353E-04   4.062167    
   13700.00     -1.4462295E-03   4.011981    
   13800.00     -3.9191302E-03   3.962737    
   13900.00     -6.6637699E-03   3.914413    
   14000.00     -9.6660424E-03   3.866985    
   14100.00     -1.2912497E-02   3.820430    
   14200.00     -1.6390370E-02   3.774728    
   14300.00     -2.0087656E-02   3.729856    
   14400.00     -2.3992825E-02   3.685796    
   14500.00     -2.8095083E-02   3.642525    
   14600.00     -3.2384071E-02   3.600027    
   14700.00     -3.6849950E-02   3.558282    
   14800.00     -4.1483495E-02   3.517272    
   14900.00     -4.6275783E-02   3.476980    
   15000.00     -5.1218510E-02   3.437389    
   15100.00     -5.6303650E-02   3.398482    
   15200.00     -6.1523568E-02   3.360244    
   15300.00     -6.6871166E-02   3.322658    
   15400.00     -7.2339483E-02   3.285711    
   15500.00     -7.7922106E-02   3.249387    
   15600.00     -8.3612800E-02   3.213672    
   15700.00     -8.9405619E-02   3.178552    
   15800.00     -9.5295064E-02   3.144015    
   15900.00     -0.1012757       3.110047    
   16000.00     -0.1073426       3.076635    
   16100.00     -0.1134908       3.043767    
   16200.00     -0.1197158       3.011431    
   16300.00     -0.1260132       2.979617    
   16400.00     -0.1323789       2.948312    
   16500.00     -0.1388091       2.917504    
   16600.00     -0.1455745       2.887185    
   16700.00     -0.1521221       2.857345    
   16800.00     -0.1587212       2.827973    
   16900.00     -0.1653725       2.799057    
   17000.00     -0.1724837       2.770593    
   17100.00     -0.1792220       2.742567    
   17200.00     -0.1860281       2.714970    
   17300.00     -0.1928458       2.687794    
   17400.00     -0.1997006       2.661030    
   17500.00     -0.2065894       2.634669    
   17600.00     -0.2135100       2.608702    
   17700.00     -0.2204601       2.583123    
   17800.00     -0.2274377       2.557925    
   17900.00     -0.2344411       2.533097    
   18000.00     -0.2414681       2.508633    
   18100.00     -0.2485172       2.484527    
   18200.00     -0.2555867       2.460771    
   18300.00     -0.2626748       2.437359    
   18400.00     -0.2697804       2.414283    
   18500.00     -0.2769019       2.391537    
   18600.00     -0.2840379       2.369115    
   18700.00     -0.2911872       2.347010    
   18800.00     -0.2983485       2.325218    
   18900.00     -0.3055209       2.303730    
   19000.00     -0.3127032       2.282543    
   19100.00     -0.3198944       2.261650    
   19200.00     -0.3270936       2.241045    
   19300.00     -0.3342998       2.220725    
   19400.00     -0.3415123       2.200682    
   19500.00     -0.3487303       2.180912    
   19600.00     -0.3559530       2.161410    
   19700.00     -0.3631797       2.142171    
   19800.00     -0.3704097       2.123191    
   19900.00     -0.3776426       2.104464    
   20000.00     -0.3848778       2.085986    
   20100.00     -0.3921147       2.067753    
   20200.00     -0.3993528       2.049760    
   20300.00     -0.4065917       2.032003    
   20400.00     -0.4138310       2.014478    
   20500.00     -0.4210704       1.997181    
   20600.00     -0.4283094       1.980108    
   20700.00     -0.4355479       1.963255    
   20800.00     -0.4427854       1.946618    
   20900.00     -0.4500218       1.930193    
