  Element 59: Pr      Atomic mass:  140.9077

  Edge          keV         A
    K        41.9906    0.2953
    L-I       6.8348    1.8140
    L-II      6.4404    1.9251
    L-III     5.9643    2.0788
    M1        1.5110    8.2054
    M2        1.3374    9.2705
    M3        1.2422    9.9810

Scattering factors as a function of energy: 

   6802.000      -8.039211       11.40494    
   6807.000      -8.103098       11.39000    
   6812.000      -8.185834       11.37511    
   6817.000      -8.296685       11.36027    
   6822.000      -8.454216       11.34547    
   6827.000      -8.705513       11.33072    
   6832.000      -9.255942       11.31601    
   6837.000      -9.366632       13.07995    
   6842.000      -8.667354       13.06466    
   6847.000      -8.341315       13.04942    
   6852.000      -8.119772       13.03422    
   6857.000      -7.948572       13.01907    
   6862.000      -7.807148       13.00397    
   6867.000      -7.685488       12.98891    
   6872.000      -7.577937       12.97389    
   6877.000      -7.480999       12.95892    
   6882.000      -7.392327       12.94399    
   6887.000      -7.310309       12.92911    
   6892.000      -7.233768       12.91427    
   6897.000      -7.161829       12.89947    
   6900.000      -7.120575       12.89061    
   6902.000      -7.093800       12.88472    
   6907.000      -7.029154       12.87001    
   6912.000      -6.967466       12.85534    
   6917.000      -6.908395       12.84072    
   6922.000      -6.851643       12.82614    
   6927.000      -6.796978       12.81160    
   6932.000      -6.744199       12.79710    
   7000.000      -6.152541       12.60410    
   7100.000      -5.512094       12.33365    
   7200.000      -5.010520       12.07811    
   7300.000      -4.593771       11.83642    
   7400.000      -4.236442       11.60762    
   7500.000      -3.923748       11.39085    
   7600.000      -3.646006       11.18532    
   7700.000      -3.396377       10.99031    
   7800.000      -2.905562       10.78932    
   7900.000      -2.687132       10.57775    
   8000.000      -2.488102       10.37292    
   8100.000      -2.306022       10.17455    
   8200.000      -2.138875       9.982343    
   8300.000      -1.984974       9.796028    
   8400.000      -1.794708       9.613767    
   8500.000      -1.661278       9.432505    
   8600.000      -1.537938       9.256119    
   8700.000      -1.423786       9.084434    
   8800.000      -1.318028       8.917276    
   8900.000      -1.234499       8.754734    
   9000.000      -1.144575       8.598593    
   9100.000      -1.060944       8.446696    
   9200.000     -0.9831148       8.298890    
   9300.000     -0.9106325       8.155025    
