  Element 88: Ra      Atomic mass:  226.0254

  Edge          keV         A
    K       103.9219    0.1193
    L-I      19.2367    0.6445
    L-II     18.4843    0.6708
    L-III    15.4444    0.8028
    M1        4.8220    2.5712
    M2        4.4895    2.7616
    M3        3.7918    3.2698
    M4        3.2484    3.8168
    M5        3.1049    3.9932
    N1        1.2084   10.2602
    N2        1.0576   11.7232

Scattering factors as a function of energy: 

   4482.000      -12.84826       24.25182    
   4487.000      -13.35541       24.21010    
   4492.000      -13.32678       25.70793    
   4497.000      -12.75880       25.66571    
   4500.000      -12.57643       25.64044    
   4502.000      -12.47942       25.62362    
   4507.000      -12.28587       25.58163    
   4512.000      -12.13444       25.53976    
   4517.000      -12.00821       25.49800    
   4522.000      -11.89881       25.45635    
   4527.000      -11.80150       25.41481    
   4532.000      -11.71332       25.37338    
   4537.000      -11.63233       25.33206    
   4542.000      -11.55714       25.29086    
   4547.000      -11.48675       25.24976    
   4552.000      -11.42042       25.20876    
   4557.000      -11.35758       25.16788    
   4562.000      -11.29779       25.12711    
   4567.000      -11.24067       25.08644    
   4572.000      -11.18594       25.04588    
   4577.000      -11.13335       25.00543    
   4582.000      -11.08271       24.96509    
   4587.000      -11.03983       24.92487    
   4600.000      -10.92029       24.82079    
   4700.000      -10.25162       24.04347    
   4725.000      -10.14475       23.85537    
   4730.000      -10.12681       23.81804    
   4735.000      -10.11017       23.78080    
   4740.000      -10.09495       23.74366    
   4745.000      -10.08126       23.70662    
   4750.000      -10.06925       23.66967    
   4755.000      -10.05911       23.63281    
   4760.000      -10.05106       23.59605    
   4765.000      -10.04540       23.55939    
   4770.000      -10.04250       23.52281    
   4775.000      -10.04284       23.48633    
   4780.000      -10.04699       23.44995    
   4785.000      -10.05605       23.41366    
   4790.000      -10.07123       23.37745    
   4795.000      -10.09452       23.34134    
   4800.000      -10.12915       23.30532    
   4805.000      -10.18084       23.26940    
   4810.000      -10.26149       23.23356    
   4815.000      -10.40290       23.19782    
   4820.000      -10.77119       23.16216    
   4825.000      -10.61372       24.12608    
   4830.000      -10.27271       24.09050    
   4835.000      -10.08957       24.05501    
   4840.000      -9.957617       24.01961    
   4845.000      -9.851460       23.98429    
   4850.000      -9.760932       23.94907    
   4855.000      -9.680944       23.91393    
   4860.000      -9.608572       23.87887    
   4865.000      -9.541985       23.84390    
   4870.000      -9.479939       23.80902    
   4875.000      -9.421579       23.77422    
   4880.000      -9.366275       23.73951    
   4885.000      -9.313551       23.70488    
   4890.000      -9.263046       23.67034    
   4895.000      -9.214462       23.63588    
   4900.000      -9.167574       23.60150    
   4905.000      -9.122190       23.56721    
   4910.000      -9.078161       23.53300    
   4915.000      -9.035346       23.49888    
   4920.000      -8.993640       23.46483    
   5000.000      -8.412055       22.92913    
   5100.000      -7.852301       22.28697    
   5200.000      -7.387012       21.67388    
   5300.000      -6.989486       21.08817    
   5400.000      -6.639887       20.52818    
   5500.000      -6.331137       19.99235    
   5600.000      -6.056602       19.47927    
   5700.000      -5.822325       18.98790    
   5800.000      -5.602057       18.51679    
   5900.000      -5.368927       18.06100    
   6000.000      -5.187923       17.62053    
   6100.000      -5.024949       17.19648    
   6200.000      -4.878173       16.78799    
   6300.000      -4.741266       16.39356    
   6400.000      -4.623124       16.01447    
   6500.000      -4.506878       15.64892    
   6600.000      -4.411417       15.29542    
   6700.000      -4.325915       14.95419    
   6800.000      -4.249526       14.62465    
   6900.000      -4.181492       14.30624    
   7000.000      -4.121139       13.99846    
   7100.000      -4.067857       13.70082    
   7200.000      -4.021101       13.41287    
   7300.000      -3.980379       13.13416    
   7400.000      -3.945244       12.86430    
   7500.000      -3.915295       12.60291    
   7600.000      -3.899179       12.34971    
   7700.000      -3.878717       12.10483    
   7800.000      -3.862405       11.86739    
   7900.000      -3.849970       11.63709    
   8000.000      -3.841167       11.41362    
   8100.000      -3.835773       11.19672    
   8200.000      -3.833588       10.98611    
   8300.000      -3.834437       10.78156    
   8400.000      -3.838166       10.58281    
   8500.000      -3.844658       10.38966    
   8600.000      -3.852710       10.20186    
   8700.000      -3.864644       10.01924    
   8800.000      -3.879782       9.841580    
   8900.000      -3.901466       9.668716    
   9000.000      -3.918333       9.502772    
   9100.000      -3.936980       9.341313    
   9200.000      -3.957324       9.184175    
   9300.000      -3.979288       9.031198    
   9400.000      -4.002802       8.882231    
   9500.000      -4.027804       8.737129    
   9600.000      -4.054240       8.595755    
   9700.000      -4.082813       8.458003    
   9800.000      -4.112058       8.323748    
   9900.000      -4.142599       8.192853    
   10000.00      -4.174404       8.065202    
   10100.00      -4.207444       7.940686    
   10200.00      -4.241694       7.819200    
   10300.00      -4.277137       7.700641    
   10400.00      -4.313756       7.584914    
   10500.00      -4.351541       7.471925    
   10600.00      -4.390486       7.361586    
   10700.00      -4.430588       7.253812    
   10800.00      -4.471849       7.148521    
   10900.00      -4.514277       7.045635    
   11000.00      -4.557881       6.945077    
   11100.00      -4.602676       6.846776    
   11200.00      -4.648681       6.750664    
   11300.00      -4.695912       6.656671    
   11400.00      -4.746275       6.564756    
   11500.00      -4.796103       6.474840    
   11600.00      -4.847267       6.386859    
   11700.00      -4.899807       6.300759    
   11800.00      -4.953777       6.216481    
   11900.00      -5.009235       6.133974    
   12000.00      -5.068804       6.053205    
   12100.00      -5.127462       5.974121    
   12200.00      -5.187818       5.896660    
   12300.00      -5.249964       5.820776    
   12400.00      -5.314000       5.746427    
   12500.00      -5.380038       5.673566    
   12600.00      -5.448205       5.602157    
   12700.00      -5.518640       5.532157    
   12800.00      -5.591501       5.463529    
   12900.00      -5.666964       5.396236    
   13000.00      -5.745231       5.330242    
   13100.00      -5.826525       5.265512    
   13200.00      -5.911104       5.202015    
   13300.00      -5.999263       5.139717    
   13400.00      -6.091341       5.078587    
   13500.00      -6.188590       5.018603    
   13600.00      -6.289727       4.959739    
   13700.00      -6.396134       4.901957    
   13800.00      -6.508443       4.845227    
   13900.00      -6.627394       4.789525    
   14000.00      -6.753879       4.734824    
   14100.00      -6.891357       4.681110    
   14200.00      -7.036417       4.628389    
   14300.00      -7.193126       4.576596    
   14400.00      -7.363624       4.525710    
   14500.00      -7.550720       4.475708    
   14600.00      -7.758173       4.426569    
   14700.00      -7.991184       4.378274    
   14800.00      -8.257248       4.330801    
   14900.00      -8.567705       4.284133    
   15000.00      -8.940943       4.238249    
   15100.00      -9.409707       4.193131    
   15200.00      -10.04139       4.148764    
   15300.00      -11.01449       4.105127    
   15347.00      -11.74641       4.084867    
   15352.00      -11.84461       4.082720    
   15357.00      -11.94833       4.080576    
   15362.00      -12.05824       4.078434    
   15367.00      -12.17507       4.076293    
   15372.00      -12.29982       4.074154    
   15377.00      -12.43358       4.072016    
   15382.00      -12.57776       4.069880    
   15387.00      -12.73410       4.067747    
   15392.00      -12.90484       4.065615    
   15397.00      -13.09285       4.063484    
   15400.00      -13.21548       4.062207    
   15402.00      -13.30202       4.061356    
   15407.00      -13.53763       4.059229    
   15412.00      -13.80740       4.057104    
   15417.00      -14.12279       4.054981    
   15422.00      -14.50229       4.052859    
   15427.00      -14.97858       4.050739    
   15432.00      -15.61816       4.048621    
   15437.00      -16.59403       4.046504    
   15442.00      -18.72595       4.044390    
   15447.00      -18.59019       10.01520    
   15452.00      -16.54495       10.00998    
   15457.00      -15.57938       10.00476    
   15462.00      -14.94016       9.999540    
   15467.00      -14.46129       9.994328    
   15472.00      -14.07809       9.989120    
   15477.00      -13.75855       9.983914    
   15482.00      -13.48444       9.978713    
   15487.00      -13.24440       9.973515    
   15492.00      -13.03090       9.968322    
   15497.00      -12.83858       9.963130    
   15500.00      -12.73171       9.960017    
   15502.00      -12.66361       9.957943    
   15507.00      -12.50313       9.952759    
   15512.00      -12.35490       9.947578    
   15517.00      -12.21718       9.942401    
   15522.00      -12.08858       9.937227    
   15527.00      -11.96796       9.932057    
   15532.00      -11.85441       9.926892    
   15537.00      -11.74710       9.921729    
   15542.00      -11.64541       9.916569    
   15600.00      -10.74246       9.856972    
   15700.00      -9.782310       9.755304    
   15800.00      -9.148076       9.654992    
   15900.00      -8.678213       9.556013    
   16000.00      -8.308730       9.458344    
   16100.00      -8.007643       9.361966    
   16200.00      -7.756701       9.266857    
   16300.00      -7.544314       9.172998    
   16400.00      -7.363052       9.080367    
   16500.00      -7.212893       8.989012    
   16600.00      -7.081241       8.898890    
   16700.00      -6.967121       8.809942    
   16800.00      -6.870293       8.722146    
   16900.00      -6.789305       8.635483    
   17000.00      -6.723147       8.549934    
   17100.00      -6.671181       8.465485    
   17200.00      -6.633104       8.382115    
   17300.00      -6.608947       8.299811    
   17400.00      -6.599097       8.218554    
   17500.00      -6.604359       8.138327    
   17600.00      -6.626066       8.059114    
   17700.00      -6.666277       7.980902    
   17800.00      -6.728115       7.903676    
   17900.00      -6.816391       7.827416    
   18000.00      -6.938817       7.752110    
   18100.00      -7.108652       7.677745    
   18200.00      -7.351420       7.604304    
   18300.00      -7.726690       7.531776    
   18387.00      -8.309096       7.469407    
   18392.00      -8.358117       7.465842    
   18397.00      -8.409955       7.462281    
   18400.00      -8.442563       7.460145    
   18402.00      -8.464982       7.458720    
   18407.00      -8.523554       7.455163    
