  Element 39: Y       Atomic mass:   88.9059

  Edge          keV         A
    K        17.0384    0.7277
    L-I       2.3725    5.2259
    L-II      2.1555    5.7520
    L-III     2.0800    5.9608

Scattering factors as a function of energy: 

   17006.00      -5.614161      0.5300893    
   17011.00      -5.783499      0.5298038    
   17016.00      -5.987537      0.5295185    
   17021.00      -6.243765      0.5292335    
   17026.00      -6.588145      0.5289488    
   17031.00      -7.114329      0.5286642    
   17036.00      -8.264688      0.5283799    
   17041.00      -8.190879       3.754364    
   17046.00      -7.085767       3.752149    
   17051.00      -6.563074       3.749936    
   17056.00      -6.216794       3.747727    
   17061.00      -5.957012       3.745520    
   17066.00      -5.749010       3.743316    
   17071.00      -5.575387       3.741115    
   17076.00      -5.426255       3.738916    
   17081.00      -5.295589       3.736721    
   17086.00      -5.179202       3.734527    
   17091.00      -5.074321       3.732337    
   17096.00      -4.978788       3.730149    
   17100.00      -4.908080       3.728401    
   17101.00      -4.891116       3.727965    
   17106.00      -4.810038       3.725782    
   17111.00      -4.734674       3.723603    
   17116.00      -4.664236       3.721427    
   17121.00      -4.598089       3.719252    
   17126.00      -4.535776       3.717081    
   17131.00      -4.476830       3.714912    
   17136.00      -4.420941       3.712746    
   17200.00      -3.881451       3.685257    
   17300.00      -3.359648       3.643164    
   17400.00      -3.005452       3.602090    
   17500.00      -2.736830       3.562002    
   17600.00      -2.520577       3.522871    
   17700.00      -2.339858       3.484668    
   17800.00      -2.184920       3.447365    
   17900.00      -2.049623       3.410934    
   18000.00      -1.929722       3.375349    
   18100.00      -1.822335       3.340585    
   18200.00      -1.725278       3.306619    
   18300.00      -1.636911       3.273427    
   18400.00      -1.555954       3.240986    
   18500.00      -1.481394       3.209276    
   18600.00      -1.412415       3.178274    
   18700.00      -1.348346       3.147962    
   18800.00      -1.288630       3.118321    
   18900.00      -1.232797       3.089330    
   19000.00      -1.180449       3.060972    
   19100.00      -1.131248       3.033231    
   19200.00      -1.084896       3.006089    
   19300.00      -1.041140       2.979530    
   19400.00     -0.9997533       2.953538    
   19500.00     -0.9605381       2.928098    
   19600.00     -0.9233196       2.903196    
   19700.00     -0.8879416       2.878818    
   19800.00     -0.8542650       2.854950    
   19900.00     -0.8221629       2.831578    
   20000.00     -0.7915230       2.808691    
   20100.00     -0.7622428       2.786275    
   20200.00     -0.7342292       2.764319    
   20300.00     -0.7073980       2.742811    
   20400.00     -0.6816707       2.721740    
   20500.00     -0.6569769       2.701096    
   20600.00     -0.6332520       2.680867    
   20700.00     -0.6105914       2.661044    
   20800.00     -0.5886274       2.641617    
   20900.00     -0.5674644       2.622576    
   21000.00     -0.5470554       2.603912    
   21100.00     -0.5273565       2.585616    
   21200.00     -0.5083265       2.567679    
   21300.00     -0.4899275       2.550094    
   21400.00     -0.4721232       2.532851    
   21500.00     -0.4548804       2.515943    
   21600.00     -0.4381678       2.499362    
   21700.00     -0.4219561       2.483101    
   21800.00     -0.4062179       2.467152    
   21900.00     -0.3909266       2.451509    
   22000.00     -0.3760578       2.436164    
   22100.00     -0.3615862       2.421112    
   22200.00     -0.2735501       2.404658    
   22300.00     -0.2585065       2.386751    
   22400.00     -0.2439204       2.369040    
   22500.00     -0.2297722       2.351521    
   22600.00     -0.2160454       2.334194    
   22700.00     -0.2027242       2.317054    
   22800.00     -0.1897941       2.300099    
   22900.00     -0.1772407       2.283327    
   23000.00     -0.1650506       2.266734    
   23100.00     -0.1532114       2.250318    
   23200.00     -0.1417107       2.234077    
   23300.00     -0.1305372       2.218008    
   23400.00     -0.1196795       2.202108    
   23500.00     -0.1091273       2.186376    
   23600.00     -9.8870359E-02   2.170809    
   23700.00     -8.8899188E-02   2.155404    
   23800.00     -7.9204693E-02   2.140160    
   23900.00     -6.9777690E-02   2.125074    
   24000.00     -6.0609892E-02   2.110143    
   24100.00     -5.1693205E-02   2.095366    
   24200.00     -4.3019850E-02   2.080741    
   24300.00     -3.4582529E-02   2.066266    
   24400.00     -2.6373753E-02   2.051938    
   24500.00     -1.8386813E-02   2.037755    
   24600.00     -1.0615098E-02   2.023716    
   24700.00     -3.0522568E-03   2.009818    
   24800.00      4.3076826E-03   1.996061    
   24900.00      1.1470878E-02   1.982441    
