  Element 72: Hf      Atomic mass:  178.4900

  Edge          keV         A
    K        65.3508    0.1897
    L-I      11.2707    1.1001
    L-II     10.7394    1.1545
    L-III     9.5607    1.2968
    M1        2.6009    4.7670
    M2        2.3654    5.2416
    M3        2.1076    5.8827
    M4        1.7164    7.2235
    M5        1.6617    7.4613

Scattering factors as a function of energy: 

   4700.000      -3.906126       11.54142    
   4800.000      -3.900740       11.18142    
   4900.000      -3.893566       10.83892    
   5000.000      -3.894027       10.51245    
   5100.000      -3.901419       10.20099    
   5200.000      -3.915130       9.903606    
   5300.000      -3.939755       9.619963    
   5400.000      -3.964724       9.348771    
   5500.000      -3.994582       9.089280    
   5600.000      -4.028989       8.840807    
   5700.000      -4.067655       8.602720    
   5800.000      -4.110333       8.374430    
   5900.000      -4.156818       8.155392    
   6000.000      -4.206942       7.945099    
   6100.000      -4.260569       7.743078    
   6200.000      -4.317597       7.548889    
   6300.000      -4.377953       7.362120    
   6400.000      -4.441593       7.182388    
   6500.000      -4.508500       7.009335    
   6600.000      -4.578687       6.842624    
   6700.000      -4.652192       6.681940    
   6800.000      -4.729084       6.526989    
   6900.000      -4.809458       6.377494    
   7000.000      -4.893444       6.233196    
   7100.000      -4.981204       6.093849    
   7200.000      -5.078408       5.959293    
   7300.000      -5.183014       5.829640    
   7400.000      -5.283340       5.704274    
   7500.000      -5.397057       5.583215    
   7600.000      -5.507362       5.466185    
   7700.000      -5.623377       5.352881    
   7800.000      -5.746906       5.243145    
   7900.000      -5.876118       5.136827    
   8000.000      -6.013099       5.033778    
   8100.000      -6.158830       4.933858    
   8200.000      -6.314507       4.836943    
   8300.000      -6.486829       4.742995    
   8400.000      -6.667191       4.651816    
   8500.000      -6.863189       4.563288    
   8600.000      -7.077907       4.477307    
   8700.000      -7.315497       4.393775    
   8800.000      -7.581793       4.312594    
   8900.000      -7.885535       4.233679    
   9000.000      -8.231882       4.158149    
   9100.000      -8.644058       4.084710    
   9200.000      -9.155126       4.013293    
   9300.000      -9.829758       3.943822    
   9400.000      -10.83333       3.876225    
   9463.000      -11.86863       3.834569    
   9468.000      -11.97825       3.831293    
   9473.000      -12.09400       3.828022    
   9478.000      -12.21667       3.824755    
   9483.000      -12.34708       3.821492    
   9488.000      -12.48629       3.818234    
   9493.000      -12.63555       3.814980    
   9498.000      -12.79643       3.811730    
   9500.000      -12.86444       3.810431    
   9503.000      -12.97085       3.808485    
   9508.000      -13.16130       3.805243    
   9513.000      -13.37096       3.802007    
   9518.000      -13.60418       3.798775    
   9523.000      -13.86683       3.795547    
   9528.000      -14.16734       3.792323    
   9533.000      -14.51837       3.789104    
   9538.000      -14.94017       3.785889    
   9543.000      -15.46831       3.782678    
   9548.000      -16.17441       3.779471    
   9553.000      -17.24116       3.776269    
   9558.000      -19.48058       3.773072    
   9563.000      -19.84301       10.52684    
   9568.000      -17.34546       10.51419    
   9573.000      -16.21348       10.50158    
   9578.000      -15.47160       10.48900    
