  Element 69: Tm      Atomic mass:  168.9342

  Edge          keV         A
    K        59.3896    0.2088
    L-I      10.1157    1.2257
    L-II      9.6169    1.2892
    L-III     8.6480    1.4337
    M1        2.3068    5.3747
    M2        2.0898    5.9328
    M3        1.8845    6.5792
    M4        1.5146    8.1859
    M5        1.4677    8.4475

Scattering factors as a function of energy: 

   6300.000      -4.878023       6.200706    
   6400.000      -4.989387       6.047938    
   6500.000      -5.092720       5.901132    
   6600.000      -5.209263       5.759882    
   6700.000      -5.323102       5.624006    
   6800.000      -5.442915       5.493008    
   6900.000      -5.569279       5.366651    
   7000.000      -5.702888       5.244711    
   7100.000      -5.844575       5.126979    
   7200.000      -5.995356       5.013258    
   7300.000      -6.161053       4.903413    
   7400.000      -6.334023       4.797263    
   7500.000      -6.520764       4.694598    
   7600.000      -6.723720       4.595263    
   7700.000      -6.946065       4.499112    
   7800.000      -7.192037       4.406005    
   7900.000      -7.467458       4.315813    
   8000.000      -7.780665       4.228412    
   8100.000      -8.144203       4.143685    
   8200.000      -8.589826       4.061666    
   8300.000      -9.130273       3.982383    
   8400.000      -9.850380       3.905452    
   8500.000      -10.94285       3.830777    
   8551.000      -11.83728       3.793534    
   8556.000      -11.94949       3.789912    
   8561.000      -12.06802       3.786296    
   8566.000      -12.19364       3.782685    
   8571.000      -12.32724       3.779079    
   8576.000      -12.46990       3.775479    
   8581.000      -12.62294       3.771884    
   8586.000      -12.78797       3.768294    
   8591.000      -12.96700       3.764710    
   8596.000      -13.16269       3.761131    
   8600.000      -13.33347       3.758271    
   8601.000      -13.37839       3.757556    
   8606.000      -13.61862       3.753987    
   8611.000      -13.88966       3.750424    
   8616.000      -14.20051       3.746865    
   8621.000      -14.56479       3.743311    
   8626.000      -15.00458       3.739763    
   8631.000      -15.55908       3.736221    
   8636.000      -16.30974       3.732683    
   8641.000      -17.47393       3.729150    
   8646.000      -20.18725       3.725622    
   8651.000      -19.33020       10.57312    
   8656.000      -17.17150       10.55039    
   8661.000      -16.09929       10.52794    
   8666.000      -15.37951       10.50579    
   8671.000      -14.83726       10.48392    
   8676.000      -14.40226       10.46234    
   8681.000      -14.03940       10.44104    
   8686.000      -13.72842       10.42002    
   8691.000      -13.45661       10.39928    
   8696.000      -13.21545       10.37881    
   8700.000      -13.04051       10.36263    
   8701.000      -12.99893       10.35861    
   8706.000      -12.80270       10.33869    
   8711.000      -12.62344       10.31903    
   8716.000      -12.45866       10.29964    
   8721.000      -12.30628       10.28052    
   8726.000      -12.16473       10.26166    
   8731.000      -12.03270       10.24305    
   8736.000      -11.90910       10.22471    
   8741.000      -11.79302       10.20662    
   8746.000      -11.68371       10.18879    
   8800.000      -10.80304       10.01191    
   8900.000      -9.924199       9.755286    
   9000.000      -9.473496       9.583167    
   9100.000      -8.971663       9.468038    
   9200.000      -8.750793       9.324405    
   9300.000      -8.668998       9.180952    
   9400.000      -8.755780       9.037808    
   9500.000      -9.143586       8.895091    
   9519.000      -9.286144       8.868032    
   9524.000      -9.330073       8.860915    
   9529.000      -9.377222       8.853800    
   9534.000      -9.427958       8.846684    
   9539.000      -9.482707       8.839573    
   9544.000      -9.542013       8.832461    
   9549.000      -9.606502       8.825352    
   9554.000      -9.676955       8.818243    
   9559.000      -9.754350       8.811135    
   9564.000      -9.839931       8.804030    
   9569.000      -9.935309       8.796926    
   9574.000      -10.04264       8.789824    
   9579.000      -10.16487       8.782722    
   9584.000      -10.30619       8.775624    
   9589.000      -10.47297       8.768526    
   9594.000      -10.67524       8.761431    
   9599.000      -10.93063       8.754335    
   9600.000      -10.99067       8.752916    
   9604.000      -11.27434       8.747243    
   9609.000      -11.79506       8.740151    
   9614.000      -12.87249       8.733062    
   9619.000      -13.22214       12.15429    
   9624.000      -11.87755       12.14275    
   9629.000      -11.28171       12.13121    
   9634.000      -10.89106       12.11969    
   9639.000      -10.59855       12.10819    
   9644.000      -10.36387       12.09670    
   9649.000      -10.16740       12.08522    
   9654.000      -9.998112       12.07376    
   9659.000      -9.849164       12.06232    
   9664.000      -9.716057       12.05089    
   9669.000      -9.595586       12.03947    
   9674.000      -9.485491       12.02807    
   9679.000      -9.384064       12.01669    
   9684.000      -9.289990       12.00532    
   9689.000      -9.202241       11.99396    
   9694.000      -9.119995       11.98262    
   9699.000      -9.042583       11.97129    
   9700.000      -9.027639       11.96903    
   9704.000      -8.969458       11.95998    
   9709.000      -8.900173       11.94868    
   9714.000      -8.834320       11.93740    
   9800.000      -8.035500       11.74558    
   9900.000      -7.524517       11.52774    
   10000.00      -7.317966       11.31526    
   10018.00      -7.323328       11.27758    
   10023.00      -7.328358       11.26714    
   10028.00      -7.335186       11.25671    
   10033.00      -7.343991       11.24630    
   10038.00      -7.354991       11.23590    
   10043.00      -7.368444       11.22551    
