  Element 32: Ge      Atomic mass:   72.5900

  Edge          keV         A
    K        11.1031    1.1167
    L-I       1.4143    8.7665
    L-II      1.2478    9.9362
    L-III     1.2167   10.1902

Scattering factors as a function of energy: 

   10700.00      -2.870762      0.5300026    
   10800.00      -3.140395      0.5211203    
   10900.00      -3.528218      0.5124621    
   11000.00      -4.205992      0.5040203    
   11006.00      -4.266994      0.5035205    
   11011.00      -4.320911      0.5031046    
   11016.00      -4.377961      0.5026892    
   11021.00      -4.438517      0.5022744    
   11026.00      -4.503024      0.5018600    
   11031.00      -4.572016      0.5014462    
   11036.00      -4.646142      0.5010329    
   11041.00      -4.726201      0.5006201    
   11046.00      -4.813180      0.5002078    
   11051.00      -4.908392      0.4997961    
   11056.00      -5.013487      0.4993848    
   11061.00      -5.130698      0.4989741    
   11066.00      -5.263105      0.4985639    
   11071.00      -5.415135      0.4981541    
   11076.00      -5.593476      0.4977449    
   11081.00      -5.808942      0.4973362    
   11086.00      -6.080768      0.4969280    
   11091.00      -6.448435      0.4965204    
   11096.00      -7.017218      0.4961132    
   11100.00      -7.904553      0.4957878    
   11101.00      -8.322044      0.4957066    
   11106.00      -7.981026       3.881473    
   11111.00      -6.894247       3.877661    
   11116.00      -6.360167       3.873858    
   11121.00      -6.002096       3.870063    
   11126.00      -5.731955       3.866276    
   11131.00      -5.514780       3.862499    
   11136.00      -5.332972       3.858728    
   11141.00      -5.176540       3.854967    
   11146.00      -5.039197       3.851213    
   11151.00      -4.916740       3.847468    
   11156.00      -4.806220       3.843730    
   11161.00      -4.705488       3.840002    
   11166.00      -4.612930       3.836281    
   11171.00      -4.527317       3.832569    
   11176.00      -4.447638       3.828864    
   11181.00      -4.373125       3.825168    
   11186.00      -4.303141       3.821479    
   11191.00      -4.237158       3.817799    
   11196.00      -4.174738       3.814127    
   11200.00      -4.127122       3.811195    
   11201.00      -4.115511       3.810462    
   11300.00      -3.318580       3.739527    
   11400.00      -2.844707       3.670888    
   11500.00      -2.509037       3.605119    
   11600.00      -2.250185       3.542075    
   11700.00      -2.040637       3.481617    
   11800.00      -1.865557       3.423618    
   11900.00      -1.716007       3.367956    
   12000.00      -1.586144       3.314517    
   12100.00      -1.471932       3.263196    
   12200.00      -1.370456       3.213894    
   12300.00      -1.279537       3.166514    
   12400.00      -1.197503       3.120970    
   12500.00      -1.123035       3.077178    
   12600.00      -1.055080       3.035059    
   12700.00     -0.9927797       2.994541    
   12800.00     -0.9354227       2.955552    
   12900.00     -0.8824168       2.918027    
   13000.00     -0.8332598       2.881903    
   13100.00     -0.7875505       2.847123    
   13200.00     -0.7448688       2.813630    
   13300.00     -0.7049212       2.781372    
   13400.00     -0.6674306       2.750299    
   13500.00     -0.6321517       2.720364    
   13600.00     -0.5988694       2.691522    
   13700.00     -0.5673925       2.663731    
   13800.00     -0.5375495       2.636950    
   13900.00     -0.5091881       2.611142    
   14000.00     -0.4821700       2.586271    
   14100.00     -0.4563711       2.562301    
   14200.00     -0.4316786       2.539200    
   14300.00     -0.4079891       2.516937    
   14400.00     -0.3852072       2.495484    
   14500.00     -0.2533353       2.469764    
   14600.00     -0.2293020       2.441971    
   14700.00     -0.2063449       2.414638    
   14800.00     -0.1844023       2.387755    
   14900.00     -0.1634184       2.361314    
   15000.00     -0.1433408       2.335302    
   15100.00     -0.1241215       2.309712    
   15200.00     -0.1057160       2.284534    
   15300.00     -8.8082366E-02   2.259760    
   15400.00     -7.1181998E-02   2.235380    
   15500.00     -5.4978356E-02   2.211387    
   15600.00     -3.9437689E-02   2.187772    
   15700.00     -2.4528386E-02   2.164526    
   15800.00     -1.0220394E-02   2.141644    
   15900.00      3.5139702E-03   2.119115    
   16000.00      1.6701240E-02   2.096935    
   16100.00      2.9366011E-02   2.075094    
   16200.00      4.1531574E-02   2.053587    
   16300.00      5.3219676E-02   2.032407    
   16400.00      6.4451501E-02   2.011546    
   16500.00      7.5246409E-02   1.990999    
   16600.00      8.5622936E-02   1.970759    
   16700.00      9.5598623E-02   1.950820    
   16800.00      0.1051899       1.931176    
   16900.00      0.1144129       1.911821    
   17000.00      0.1232824       1.892750    
   17100.00      0.1318125       1.873956    
   17200.00      0.1400168       1.855436    
   17300.00      0.1479080       1.837183    
   17400.00      0.1554985       1.819191    
   17500.00      0.1627998       1.801457    
   17600.00      0.1698230       1.783976    
   17700.00      0.1765786       1.766741    
   17800.00      0.1830766       1.749750    
   17900.00      0.1893269       1.732997    
   18000.00      0.1953384       1.716477    
   18100.00      0.2011200       1.700187    
   18200.00      0.2066800       1.684122    
   18300.00      0.2120263       1.668279    
   18400.00      0.2171669       1.652652    
   18500.00      0.2221089       1.637239    
   18600.00      0.2268593       1.622034    
   18700.00      0.2314250       1.607035    
   18800.00      0.2358122       1.592238    
   18900.00      0.2400274       1.577639    
   19000.00      0.2440763       1.563234    
   19100.00      0.2479647       1.549021    
   19200.00      0.2516980       1.534995    
   19300.00      0.2552815       1.521154    
   19400.00      0.2587202       1.507494    
   19500.00      0.2620190       1.494012    
   19600.00      0.2651826       1.480705    
   19700.00      0.2682153       1.467571    
   19800.00      0.2711215       1.454605    
   19900.00      0.2739054       1.441805    
   20000.00      0.2765709       1.429169    
   20100.00      0.2791220       1.416693    
   20200.00      0.2815622       1.404375    
   20300.00      0.2838951       1.392213    
   20400.00      0.2861242       1.380203    
   20500.00      0.2882529       1.368343    
   20600.00      0.2902842       1.356630    
   20700.00      0.2922212       1.345063    
