  Element 86: Rn      Atomic mass:  222.0000

  Edge          keV         A
    K        98.4040    0.1260
    L-I      18.0490    0.6869
    L-II     17.3371    0.7151
    L-III    14.6194    0.8481
    M1        4.4820    2.7663
    M2        4.1590    2.9811
    M3        3.5380    3.5044
    M4        3.0215    4.1034
    M5        2.8924    4.2866
    N1        1.0970   11.3021

Scattering factors as a function of energy: 

   14717.00      -11.63579       9.948546    
   14800.00      -10.43184       9.857671    
   14900.00      -9.573465       9.749636    
   15000.00      -8.986796       9.643159    
   15100.00      -8.546071       9.538215    
   15200.00      -8.197715       9.434775    
   15300.00      -7.913861       9.332813    
   15400.00      -7.683180       9.232370    
   15500.00      -7.485431       9.133382    
   15600.00      -7.318664       9.035794    
   15700.00      -7.178117       8.939584    
   15800.00      -7.060439       8.844723    
   15900.00      -6.963280       8.751190    
   16000.00      -6.885037       8.658962    
   16100.00      -6.824720       8.568016    
   16200.00      -6.781877       8.478330    
   16300.00      -6.756579       8.389883    
   16400.00      -6.749473       8.302652    
   16500.00      -6.761900       8.216618    
   16600.00      -6.796138       8.131758    
   16700.00      -6.855839       8.048055    
   16800.00      -6.946875       7.965489    
   16900.00      -7.079089       7.884038    
   17000.00      -7.270346       7.803687    
   17100.00      -7.557932       7.724415    
   17200.00      -8.042804       7.646205    
   17240.00      -8.361061       7.615216    
   17245.00      -8.410410       7.611352    
   17250.00      -8.462628       7.607494    
   17255.00      -8.518073       7.603638    
   17260.00      -8.577172       7.599782    
   17265.00      -8.640365       7.595931    
   17270.00      -8.708290       7.592081    
   17275.00      -8.781624       7.588235    
   17280.00      -8.861332       7.584391    
   17285.00      -8.948517       7.580550    
   17290.00      -9.044760       7.576710    
   17295.00      -9.152012       7.572874    
   17300.00      -9.273107       7.569041    
   17305.00      -9.412115       7.565209    
   17310.00      -9.575001       7.561381    
   17315.00      -9.771706       7.557554    
   17320.00      -10.01953       7.553731    
   17325.00      -10.35457       7.549910    
   17330.00      -10.87198       7.546092    
   17335.00      -12.05708       7.542277    
   17340.00      -11.74857       10.60856    
   17345.00      -10.76647       10.60346    
   17350.00      -10.28454       10.59836    
   17355.00      -9.962079       10.59326    
   17360.00      -9.719064       10.58817    
   17365.00      -9.524003       10.58308    
   17370.00      -9.360890       10.57799    
   17375.00      -9.220774       10.57290    
   17380.00      -9.097904       10.56782    
   17385.00      -8.988442       10.56275    
   17390.00      -8.889811       10.55767    
   17395.00      -8.799990       10.55260    
   17400.00      -8.717592       10.54753    
   17405.00      -8.641431       10.54247    
   17410.00      -8.570681       10.53741    
   17415.00      -8.504580       10.53235    
   17420.00      -8.442606       10.52729    
   17425.00      -8.384256       10.52224    
   17430.00      -8.329118       10.51719    
   17435.00      -8.276900       10.51215    
   17500.00      -7.774190       10.44687    
   17600.00      -7.315779       10.34752    
   17700.00      -7.041061       10.24943    
   17800.00      -6.890298       10.15259    
   17900.00      -6.876322       10.05698    
   17952.00      -6.962804       10.00775    
   17957.00      -6.977254       10.00303    
   17962.00      -6.993216       9.998314    
   17967.00      -7.010865       9.993604    
   17972.00      -7.030413       9.988894    
   17977.00      -7.052087       9.984190    
   17982.00      -7.076203       9.979486    
   17987.00      -7.103108       9.974789    
   17992.00      -7.133281       9.970091    
   17997.00      -7.167286       9.965399    
   18000.00      -7.189848       9.962584    
   18002.00      -7.205915       9.960708    
   18007.00      -7.250161       9.956020    
   18012.00      -7.301455       9.951337    
   18017.00      -7.361855       9.946654    
   18022.00      -7.434417       9.941978    
   18027.00      -7.530917       9.937305    
   18032.00      -7.646640       9.932640    
   18037.00      -7.806808       9.927975    
   18042.00      -8.060420       9.923315    
   18047.00      -8.664303       9.918656    
   18052.00      -8.457471       11.45676    
   18057.00      -7.965444       11.45190    
   18062.00      -7.716640       11.44704    
   18067.00      -7.546623       11.44219    
   18072.00      -7.416059       11.43734    
   18077.00      -7.309384       11.43249    
   18082.00      -7.218653       11.42765    
   18087.00      -7.139422       11.42280    
   18092.00      -7.068826       11.41796    
   18097.00      -7.004949       11.41313    
   18100.00      -6.969296       11.41023    
   18102.00      -6.946511       11.40829    
   18107.00      -6.892498       11.40346    
   18112.00      -6.842224       11.39863    
   18117.00      -6.795088       11.39381    
   18122.00      -6.750686       11.38898    
   18127.00      -6.708628       11.38416    
   18132.00      -6.668660       11.37935    
   18137.00      -6.630527       11.37453    
   18142.00      -6.594018       11.36972    
   18147.00      -6.558992       11.36491    
   18200.00      -6.250895       11.31410    
   18300.00      -5.833108       11.21908    
   18400.00      -5.514207       11.12513    
   18500.00      -5.248603       11.03225    
   18600.00      -5.017798       10.94042    
   18700.00      -4.812179       10.84962    
   18800.00      -4.625990       10.75984    
   18900.00      -4.455441       10.67107    
   19000.00      -4.298063       10.58328    
