  Element 36: Kr      Atomic mass:   83.8000

  Edge          keV         A
    K        14.3256    0.8655
    L-I       1.9210    6.4542
    L-II      1.7272    7.1783
    L-III     1.6749    7.4025

Scattering factors as a function of energy: 

   15800.00      -1.309063       3.148013    
   15900.00      -1.241961       3.112798    
   16000.00      -1.179846       3.078558    
   16100.00      -1.122146       3.045262    
   16200.00      -1.068379       3.012878    
   16300.00      -1.018134       2.981377    
   16400.00     -0.9710564       2.950727    
   16500.00     -0.9268417       2.920903    
   16600.00     -0.8852240       2.891877    
   16700.00     -0.8459700       2.863624    
   16800.00     -0.8088744       2.836120    
   16900.00     -0.7737535       2.809340    
   17000.00     -0.7404452       2.783263    
   17100.00     -0.7088040       2.757867    
   17200.00     -0.6786990       2.733131    
   17300.00     -0.6500128       2.709036    
   17400.00     -0.6226373       2.685561    
   17500.00     -0.5964760       2.662688    
   17600.00     -0.5714405       2.640401    
   17700.00     -0.5474499       2.618681    
   17800.00     -0.5244305       2.597513    
   17900.00     -0.5023133       2.576881    
   18000.00     -0.4810360       2.556768    
   18100.00     -0.4605408       2.537162    
   18200.00     -0.4407738       2.518047    
   18300.00     -0.4216858       2.499410    
   18400.00     -0.4032297       2.481239    
   18500.00     -0.3853621       2.463519    
   18600.00     -0.3680346       2.446240    
   18700.00     -0.2623940       2.425711    
   18800.00     -0.2442738       2.404369    
   18900.00     -0.2267956       2.383305    
   19000.00     -0.2099299       2.362513    
   19100.00     -0.1936495       2.341988    
   19200.00     -0.1779292       2.321727    
   19300.00     -0.1627454       2.301724    
   19400.00     -0.1480751       2.281975    
   19500.00     -0.1338976       2.262476    
   19600.00     -0.1201926       2.243222    
   19700.00     -0.1069415       2.224210    
   19800.00     -9.4126344E-02   2.205436    
   19900.00     -8.1729814E-02   2.186894    
   20000.00     -6.9736011E-02   2.168582    
   20100.00     -5.8129635E-02   2.150495    
   20200.00     -4.6896156E-02   2.132630    
   20300.00     -3.6021948E-02   2.114985    
   20400.00     -2.5493443E-02   2.097553    
   20500.00     -1.5298318E-02   2.080332    
   20600.00     -5.4246322E-03   2.063320    
   20700.00      4.1390066E-03   2.046511    
   20800.00      1.3403296E-02   2.029905    
   20900.00      2.2378970E-02   2.013496    
   21000.00      3.1075768E-02   1.997281    
   21100.00      3.9503176E-02   1.981259    
   21200.00      4.7670271E-02   1.965424    
   21300.00      5.5585582E-02   1.949776    
   21400.00      6.3257731E-02   1.934311    
   21500.00      7.0694536E-02   1.919025    
   21600.00      7.7903628E-02   1.903916    
   21700.00      8.4892347E-02   1.888982    
   21800.00      9.1667578E-02   1.874220    
   21900.00      9.8236337E-02   1.859626    
   22000.00      0.1046050       1.845199    
   22100.00      0.1107797       1.830936    
   22200.00      0.1167665       1.816834    
   22300.00      0.1225711       1.802892    
   22400.00      0.1281991       1.789106    
   22500.00      0.1336558       1.775474    
   22600.00      0.1389464       1.761994    
   22700.00      0.1440756       1.748664    
   22800.00      0.1490483       1.735481    
   22900.00      0.1538692       1.722444    
   23000.00      0.1585425       1.709549    
   23100.00      0.1630726       1.696796    
   23200.00      0.1674635       1.684182    
   23300.00      0.1717190       1.671705    
   23400.00      0.1758433       1.659363    
   23500.00      0.1798398       1.647153    
   23600.00      0.1837121       1.635075    
   23700.00      0.1874636       1.623126    
   23800.00      0.1910976       1.611305    
   23900.00      0.1946173       1.599609    
   24000.00      0.1980258       1.588037    
   24100.00      0.2013260       1.576588    
   24200.00      0.2045208       1.565258    
   24300.00      0.2076129       1.554047    
   24400.00      0.2106051       1.542953    
   24500.00      0.2134999       1.531975    
   24600.00      0.2162996       1.521110    
   24700.00      0.2190068       1.510358    
   24800.00      0.2216236       1.499717    
   24900.00      0.2241524       1.489184    
