  Element 79: Au      Atomic mass:  196.9665

  Edge          keV         A
    K        80.7249    0.1536
    L-I      14.3528    0.8638
    L-II     13.7336    0.9028
    L-III    11.9187    1.0402
    M1        3.4249    3.6201
    M2        3.1478    3.9388
    M3        2.7430    4.5200
    M4        2.2911    5.4116
    M5        2.2057    5.6211

Scattering factors as a function of energy: 

   11700.00      -10.16804       4.014857    
   11800.00      -11.36662       3.959862    
   11821.00      -11.74948       3.948463    
   11826.00      -11.85289       3.945757    
   11831.00      -11.96209       3.943053    
   11836.00      -12.07775       3.940352    
   11841.00      -12.20067       3.937655    
   11846.00      -12.33186       3.934960    
   11851.00      -12.47249       3.932268    
   11856.00      -12.62401       3.929579    
   11861.00      -12.78823       3.926892    
   11866.00      -12.96747       3.924209    
   11871.00      -13.16475       3.921528    
   11876.00      -13.38406       3.918850    
   11881.00      -13.63088       3.916176    
   11886.00      -13.91302       3.913504    
   11891.00      -14.24597       3.910838    
   11896.00      -14.64176       3.908176    
   11900.00      -15.02753       3.906048    
   11901.00      -15.13703       3.905516    
   11906.00      -15.79870       3.902860    
   11911.00      -16.79755       3.900206    
   11916.00      -18.89326       3.897555    
   11921.00      -19.23041       10.20640    
   11926.00      -16.90240       10.19890    
   11931.00      -15.84858       10.19140    
   11936.00      -15.15847       10.18391    
   11941.00      -14.64414       10.17644    
   11946.00      -14.23385       10.16897    
   11951.00      -13.89244       10.16151    
   11956.00      -13.60003       10.15406    
   11961.00      -13.34428       10.14661    
   11966.00      -13.11706       10.13918    
   11971.00      -12.91255       10.13176    
   11976.00      -12.72667       10.12434    
   11981.00      -12.55630       10.11693    
   11986.00      -12.39905       10.10953    
   11991.00      -12.25306       10.10214    
   11996.00      -12.11682       10.09476    
   12000.00      -12.01405       10.08886    
   12001.00      -11.98913       10.08739    
   12006.00      -11.86900       10.08003    
   12011.00      -11.75556       10.07267    
   12016.00      -11.64812       10.06532    
   12100.00      -10.38638       9.943176    
   12200.00      -9.510640       9.800853    
   12300.00      -8.923661       9.661776    
   12400.00      -8.494524       9.525846    
   12500.00      -8.167669       9.392964    
   12600.00      -7.914292       9.263039    
   12700.00      -7.718458       9.135981    
   12800.00      -7.570514       9.011702    
   12900.00      -7.465052       8.890120    
   13000.00      -7.399708       8.771154    
   13100.00      -7.374893       8.654730    
   13200.00      -7.394250       8.540772    
   13300.00      -7.466243       8.429209    
   13400.00      -7.608326       8.319973    
   13500.00      -7.859131       8.212996    
   13600.00      -8.326885       8.108215    
   13636.00      -8.611965       8.071020    
   13641.00      -8.665450       8.065876    
   13646.00      -8.716831       8.060742    
   13651.00      -8.771888       8.055613    
   13656.00      -8.830681       8.050489    
   13661.00      -8.893700       8.045370    
   13666.00      -8.961541       8.040257    
   13671.00      -9.034929       8.035151    
   13676.00      -9.114813       8.030047    
   13681.00      -9.202353       8.024950    
   13686.00      -9.299077       8.019857    
   13691.00      -9.407021       8.014770    
   13696.00      -9.528986       8.009688    
   13700.00      -9.639279       8.005627    
   13701.00      -9.668983       8.004611    
   13706.00      -9.833030       7.999540    
   13711.00      -10.03079       7.994473    
   13716.00      -10.27919       7.989413    
   13721.00      -10.61262       7.984357    
   13726.00      -11.11915       7.979306    
   13731.00      -12.19860       7.974260    
   13736.00      -12.28514       11.15249    
   13741.00      -11.13843       11.14556    
   13746.00      -10.61043       11.13864    
   13751.00      -10.26260       11.13172    
   13756.00      -10.00240       11.12481    
   13761.00      -9.794156       11.11791    
   13766.00      -9.620405       11.11102    
   13771.00      -9.471237       11.10413    
   13776.00      -9.340488       11.09725    
   13781.00      -9.224065       11.09037    
   13786.00      -9.119105       11.08350    
   13791.00      -9.023535       11.07664    
   13796.00      -8.935813       11.06979    
   13800.00      -8.870440       11.06431    
   13801.00      -8.854712       11.06294    
   13806.00      -8.779310       11.05610    
   13811.00      -8.708858       11.04927    
   13816.00      -8.642746       11.04245    
   13821.00      -8.580474       11.03563    
   13826.00      -8.521622       11.02882    
   13831.00      -8.465840       11.02201    
   13900.00      -7.900060       10.92880    
   14000.00      -7.423972       10.79600    
   14100.00      -7.155392       10.66582    
   14200.00      -7.061238       10.53821    
   14255.00      -7.121655       10.46909    
   14260.00      -7.133913       10.46284    
   14265.00      -7.147779       10.45660    
   14270.00      -7.163423       10.45036    
   14275.00      -7.181046       10.44414    
   14280.00      -7.200903       10.43791    
   14285.00      -7.223294       10.43170    
   14290.00      -7.248589       10.42549    
   14295.00      -7.277253       10.41928    
   14300.00      -7.309878       10.41309    
   14305.00      -7.347233       10.40689    
   14310.00      -7.390345       10.40071    
   14315.00      -7.440612       10.39453    
   14320.00      -7.500068       10.38836    
   14325.00      -7.571722       10.38219    
   14330.00      -7.660403       10.37603    
   14335.00      -7.774568       10.36987    
   14340.00      -7.931182       10.36372    
   14345.00      -8.173248       10.35758    
   14350.00      -8.688341       10.35144    
   14355.00      -8.802623       11.96868    
   14360.00      -8.176575       11.96227    
   14365.00      -7.890969       11.95586    
   14370.00      -7.700521       11.94947    
   14375.00      -7.555808       11.94308    
   14380.00      -7.438097       11.93669    
   14385.00      -7.338245       11.93031    
   14390.00      -7.251096       11.92393    
   14395.00      -7.173456       11.91757    
   14400.00      -7.103220       11.91120    
   14405.00      -7.038893       11.90485    
   14410.00      -6.979117       11.89849    
   14415.00      -6.923897       11.89215    
   14420.00      -6.871879       11.88581    
   14425.00      -6.822800       11.87947    
   14430.00      -6.776277       11.87314    
   14435.00      -6.731998       11.86682    
   14440.00      -6.689714       11.86050    
   14445.00      -6.649195       11.85419    
   14450.00      -6.610266       11.84788    
   14500.00      -6.283031       11.78512    
   14600.00      -5.806948       11.66126    
   14700.00      -5.442543       11.53956    
   14800.00      -5.138893       11.41996    
   14900.00      -4.877225       11.30244    
   15000.00      -4.642916       11.18693    
   15100.00      -4.431315       11.07338    
   15200.00      -4.238094       10.96172    
   15300.00      -4.060181       10.85193    
   15400.00      -3.895309       10.74394    
   15500.00      -3.717528       10.63764    
   15600.00      -3.573425       10.53156    
   15700.00      -3.438056       10.42712    
   15800.00      -3.310632       10.32428    
   15900.00      -3.190388       10.22302    
   16000.00      -3.076666       10.12329    
   16100.00      -2.968905       10.02507    
   16200.00      -2.866617       9.928310    
   16300.00      -2.769379       9.832996    
   16400.00      -2.676811       9.739089    
   16500.00      -2.588582       9.646562    
   16600.00      -2.504394       9.555385    
   16700.00      -2.423982       9.465529    
   16800.00      -2.347105       9.376972    
   16900.00      -2.273543       9.289682    
   17000.00      -2.203100       9.203635    
   17100.00      -2.135595       9.118807    
   17200.00      -2.070863       9.035172    
   17300.00      -2.008753       8.952708    
   17400.00      -1.949122       8.871390    
   17500.00      -1.891844       8.791198    
   17600.00      -1.836797       8.712107    
   17700.00      -1.783872       8.634097    
   17800.00      -1.732968       8.557150    
   17900.00      -1.668643       8.480840    
   18000.00      -1.621177       8.405070    
   18100.00      -1.575493       8.330279    
   18200.00      -1.531518       8.256450    
   18300.00      -1.489178       8.183565    
   18400.00      -1.448403       8.111607    
   18500.00      -1.409129       8.040559    
   18600.00      -1.371296       7.970406    
   18700.00      -1.354691       7.901577    
   18800.00      -1.320040       7.834266    
   18900.00      -1.286622       7.767838    
   19000.00      -1.254388       7.702280    
   19100.00      -1.223291       7.637574    
   19200.00      -1.193286       7.573707    
   19300.00      -1.164332       7.510664    
   19400.00      -1.136387       7.448430    
   19500.00      -1.109414       7.386990    
   19600.00      -1.083375       7.326332    
   19700.00      -1.058238       7.266440    
   19800.00      -1.033970       7.207304    
   19900.00      -1.010537       7.148909    
   20000.00     -0.9879104       7.091242    
   20100.00     -0.9660620       7.034291    
   20200.00     -0.9449642       6.978045    
   20300.00     -0.9245912       6.922491    
   20400.00     -0.9049172       6.867618    
   20500.00     -0.8859188       6.813413    
   20600.00     -0.8675731       6.759867    
   20700.00     -0.8498580       6.706969    
   20800.00     -0.8327529       6.654707    
   20900.00     -0.8162371       6.603072    
   21000.00     -0.8002914       6.552052    
   21100.00     -0.7848974       6.501638    
   21200.00     -0.7700371       6.451821    
   21300.00     -0.7556939       6.402591    
   21400.00     -0.7418504       6.353938    
   21500.00     -0.7284915       6.305852    
   21600.00     -0.7156017       6.258326    
   21700.00     -0.7031664       6.211349    
   21800.00     -0.6911718       6.164915    
   21900.00     -0.6796039       6.119013    
   22000.00     -0.6684498       6.073636    
   22100.00     -0.6576969       6.028775    
   22200.00     -0.6473331       5.984423    
   22300.00     -0.6373470       5.940572    
   22400.00     -0.6277268       5.897214    
   22500.00     -0.6184618       5.854341    
   22600.00     -0.6095416       5.811946    
   22700.00     -0.6009560       5.770022    
   22800.00     -0.5926954       5.728562    
   22900.00     -0.5847501       5.687558    
   23000.00     -0.5771111       5.647005    
   23100.00     -0.5697695       5.606894    
   23200.00     -0.5627169       5.567220    
   23300.00     -0.5559452       5.527977    
   23400.00     -0.5494461       5.489156    
   23500.00     -0.5432121       5.450754    
   23600.00     -0.5372357       5.412763    
   23700.00     -0.5315099       5.375177    
   23800.00     -0.5260276       5.337992    
   23900.00     -0.5198371       5.301186    
   24000.00     -0.5148189       5.264760    
   24100.00     -0.5100250       5.228717    
   24200.00     -0.5054495       5.193051    
   24300.00     -0.5010863       5.157757    
   24400.00     -0.4969278       5.122829    
   24500.00     -0.4936482       5.088265    
   24600.00     -0.4898865       5.054057    
   24700.00     -0.4863155       5.020200    
   24800.00     -0.4829300       4.986690    
   24900.00     -0.4797253       4.953521    
