  Element 37: Rb      Atomic mass:   85.4678

  Edge          keV         A
    K        15.1997    0.8157
    L-I       2.0651    6.0038
    L-II      1.8639    6.6519
    L-III     1.8044    6.8712

Scattering factors as a function of energy: 

   15267.00      -4.754792       3.752619    
   15272.00      -4.677776       3.750098    
   15277.00      -4.605809       3.747580    
   15282.00      -4.538274       3.745067    
   15287.00      -4.474626       3.742557    
   15292.00      -4.414448       3.740051    
   15297.00      -4.357374       3.737548    
   15300.00      -4.324488       3.736048    
   15400.00      -3.568754       3.686790    
   15500.00      -3.120106       3.638932    
   15600.00      -2.799413       3.592423    
   15700.00      -2.549941       3.547216    
   15800.00      -2.346166       3.503264    
   15900.00      -2.174353       3.460523    
   16000.00      -2.026228       3.418952    
   16100.00      -1.896383       3.378510    
   16200.00      -1.781111       3.339159    
   16300.00      -1.677737       3.300863    
   16400.00      -1.584262       3.263585    
   16500.00      -1.499158       3.227292    
   16600.00      -1.421224       3.191952    
   16700.00      -1.349502       3.157533    
   16800.00      -1.283211       3.124007    
   16900.00      -1.221704       3.091343    
   17000.00      -1.164445       3.059516    
   17100.00      -1.110979       3.028499    
   17200.00      -1.060917       2.998266    
   17300.00      -1.013928       2.968794    
   17400.00     -0.9697195       2.940058    
   17500.00     -0.9280412       2.912037    
   17600.00     -0.8886710       2.884709    
   17700.00     -0.8514130       2.858054    
   17800.00     -0.8160942       2.832052    
   17900.00     -0.7825579       2.806682    
   18000.00     -0.7506660       2.781927    
   18100.00     -0.7202932       2.757770    
   18200.00     -0.6913267       2.734193    
   18300.00     -0.6636646       2.711179    
   18400.00     -0.6372128       2.688714    
   18500.00     -0.6118869       2.666780    
   18600.00     -0.5876092       2.645365    
   18700.00     -0.5643087       2.624453    
   18800.00     -0.5419202       2.604031    
   18900.00     -0.5203825       2.584086    
   19000.00     -0.4996404       2.564604    
   19100.00     -0.4796423       2.545574    
   19200.00     -0.4603401       2.526984    
   19300.00     -0.4416898       2.508822    
   19400.00     -0.4236492       2.491077    
   19500.00     -0.4061798       2.473738    
   19600.00     -0.3892452       2.456795    
   19700.00     -0.3728094       2.440239    
   19800.00     -0.2732035       2.422333    
   19900.00     -0.2560058       2.402177    
   20000.00     -0.2393906       2.382269    
   20100.00     -0.2233288       2.362604    
