  Element 76: Os      Atomic mass:  190.2000

  Edge          keV         A
    K        73.8708    0.1678
    L-I      12.9680    0.9561
    L-II     12.3850    1.0011
    L-III    10.8709    1.1405
    M1        3.0485    4.0671
    M2        2.7922    4.4404
    M3        2.4572    5.0458
    M4        2.0308    6.1052
    M5        1.9601    6.3254

Scattering factors as a function of energy: 

   3500.000      -7.180386       21.83056    
   3600.000      -6.666604       20.98545    
   3700.000      -6.237006       20.19201    
   3800.000      -5.861791       19.44570    
   3900.000      -5.538228       18.74225    
   4000.000      -5.245440       18.07715    
   4100.000      -5.004799       17.44641    
   4200.000      -4.793976       16.84932    
   4300.000      -4.611608       16.28323    
   4400.000      -4.454140       15.74596    
   4500.000      -4.318568       15.23553    
   4600.000      -4.202339       14.75010    
   4700.000      -4.103263       14.28803    
   4800.000      -4.019459       13.84778    
   4900.000      -3.949299       13.42796    
   5000.000      -3.901073       13.02821    
   5100.000      -3.854356       12.64661    
   5200.000      -3.835923       12.28232    
   5300.000      -3.807904       11.93402    
   5400.000      -3.787903       11.60064    
   5500.000      -3.791519       11.28163    
   5600.000      -3.799112       10.97623    
   5700.000      -3.799508       10.68449    
   5800.000      -3.805368       10.40458    
   5900.000      -3.816257       10.13587    
   6000.000      -3.831791       9.877746    
   6100.000      -3.857444       9.629648    
   6200.000      -3.881475       9.391561    
   6300.000      -3.909215       9.162484    
   6400.000      -3.940436       8.941960    
   6500.000      -3.974938       8.729553    
   6600.000      -4.012552       8.524859    
   6700.000      -4.053129       8.327497    
   6800.000      -4.096547       8.137113    
   6900.000      -4.142702       7.953370    
   7000.000      -4.191513       7.775956    
   7100.000      -4.242915       7.604575    
   7200.000      -4.296863       7.438948    
   7300.000      -4.353329       7.278813    
   7400.000      -4.412301       7.123925    
   7500.000      -4.473783       6.974050    
   7600.000      -4.537800       6.828968    
   7700.000      -4.604391       6.688470    
   7800.000      -4.673611       6.552361    
   7900.000      -4.745538       6.420456    
   8000.000      -4.820267       6.292578    
   8100.000      -4.897914       6.168560    
   8200.000      -4.978620       6.048246    
   8300.000      -5.062550       5.931484    
   8400.000      -5.149896       5.818134    
   8500.000      -5.249087       5.708077    
   8600.000      -5.343839       5.601434    
   8700.000      -5.442872       5.497806    
   8800.000      -5.553258       5.397085    
   8900.000      -5.668851       5.299521    
   9000.000      -5.781441       5.205890    
   9100.000      -5.899788       5.114839    
   9200.000      -6.024538       5.026272    
   9300.000      -6.156460       4.940095    
   9400.000      -6.296472       4.856222    
   9500.000      -6.445694       4.774566    
   9600.000      -6.605497       4.695047    
   9700.000      -6.777589       4.617591    
   9800.000      -6.964144       4.542123    
   9900.000      -7.167963       4.468575    
   10000.00      -7.392774       4.396877    
   10100.00      -7.643667       4.326967    
   10200.00      -7.927866       4.258786    
   10300.00      -8.256512       4.192274    
   10400.00      -8.645899       4.127380    
   10500.00      -9.125859       4.064046    
   10600.00      -9.754342       4.002221    
   10700.00      -10.67465       3.941887    
   10773.00      -11.78466       3.898762    
   10778.00      -11.88921       3.895835    
   10783.00      -11.99958       3.892911    
   10788.00      -12.11645       3.889992    
   10793.00      -12.24064       3.887075    
   10798.00      -12.37311       3.884162    
   10800.00      -12.42867       3.882998    
   10803.00      -12.51505       3.881253    
   10808.00      -12.66790       3.878347    
   10813.00      -12.83352       3.875445    
   10818.00      -13.01420       3.872545    
   10823.00      -13.21294       3.869649    
   10828.00      -13.43375       3.866757    
   10833.00      -13.68213       3.863868    
   10838.00      -13.96590       3.860982    
   10843.00      -14.29682       3.858100    
   10848.00      -14.69355       3.855222    
   10853.00      -15.18899       3.852346    
   10858.00      -15.84857       3.849474    
   10863.00      -16.83722       3.846605    
   10868.00      -18.86099       3.843740    
   10873.00      -19.52908       10.21420    
   10878.00      -17.05071       10.20630    
   10883.00      -15.96385       10.19842    
   10888.00      -15.25779       10.19054    
   10893.00      -14.73347       10.18267    
   10898.00      -14.31617       10.17481    
   10900.00      -14.17042       10.17167    
   10903.00      -13.96948       10.16695    
   10908.00      -13.67290       10.15911    
   10913.00      -13.41377       10.15128    
   10918.00      -13.18367       10.14345    
   10923.00      -12.97677       10.13563    
   10928.00      -12.78882       10.12783    
   10933.00      -12.61668       10.12003    
   10938.00      -12.45785       10.11224    
   10943.00      -12.31047       10.10446    
   10948.00      -12.17299       10.09668    
   10953.00      -12.04420       10.08892    
   10958.00      -11.92306       10.08116    
   10963.00      -11.80874       10.07342    
   10968.00      -11.70051       10.06568    
   11000.00      -11.11869       10.01637    
   11100.00      -9.962522       9.864537    
   11200.00      -9.258053       9.716069    
   11300.00      -8.769223       9.570863    
   11400.00      -8.411711       9.428825    
   11500.00      -8.146388       9.289863    
   11600.00      -7.952950       9.153887    
   11700.00      -7.820947       9.020815    
   11800.00      -7.746450       8.890561    
   11900.00      -7.731410       8.763049    
   12000.00      -7.785400       8.638200    
   12100.00      -7.934779       8.515941    
   12200.00      -8.234952       8.396281    
   12288.00      -8.783381       8.293010    
   12293.00      -8.831523       8.287198    
   12298.00      -8.882647       8.281392    
   12300.00      -8.904024       8.279072    
   12303.00      -8.937171       8.275592    
   12308.00      -8.995514       8.269799    
   12313.00      -9.058208       8.264012    
   12318.00      -9.125860       8.258230    
   12323.00      -9.199238       8.252454    
   12328.00      -9.279297       8.246684    
   12333.00      -9.367259       8.240920    
   12338.00      -9.464718       8.235162    
   12343.00      -9.573808       8.229409    
   12348.00      -9.697450       8.223664    
   12353.00      -9.839929       8.217924    
   12358.00      -10.00763       8.212190    
   12363.00      -10.21093       8.206461    
   12368.00      -10.46834       8.200738    
   12373.00      -10.81805       8.195021    
   12378.00      -11.36231       8.189309    
   12383.00      -12.63501       8.183604    
   12388.00      -12.22389       11.39219    
   12393.00      -11.21313       11.38439    
   12398.00      -10.71000       11.37660    
   12400.00      -10.56117       11.37348    
   12403.00      -10.37108       11.36881    
   12408.00      -10.11462       11.36103    
   12413.00      -9.907931       11.35326    
   12418.00      -9.734608       11.34550    
   12423.00      -9.585229       11.33775    
   12428.00      -9.453889       11.33000    
   12433.00      -9.336655       11.32227    
   12438.00      -9.230707       11.31454    
   12443.00      -9.134048       11.30681    
   12448.00      -9.045157       11.29910    
   12453.00      -8.962863       11.29140    
   12458.00      -8.886244       11.28370    
   12463.00      -8.814560       11.27601    
   12468.00      -8.747211       11.26833    
   12473.00      -8.683715       11.26066    
   12478.00      -8.623633       11.25299    
   12483.00      -8.566631       11.24533    
   12500.00      -8.392198       11.21936    
   12600.00      -7.716043       11.06839    
   12700.00      -7.344673       10.92050    
   12800.00      -7.172280       10.77560    
   12871.00      -7.208360       10.67449    
   12876.00      -7.219419       10.66742    
   12881.00      -7.232148       10.66036    
   12886.00      -7.246733       10.65331    
   12891.00      -7.263387       10.64627    
   12896.00      -7.282371       10.63923    
   12900.00      -7.299442       10.63360    
   12901.00      -7.303999       10.63220    
   12906.00      -7.328663       10.62517    
   12911.00      -7.356853       10.61816    
   12916.00      -7.389193       10.61115    
   12921.00      -7.426494       10.60415    
   12926.00      -7.469862       10.59715    
   12931.00      -7.520803       10.59016    
   12936.00      -7.581491       10.58318    
   12941.00      -7.655218       10.57621    
   12946.00      -7.747310       10.56924    
   12951.00      -7.867268       10.56228    
   12956.00      -8.034708       10.55533    
   12961.00      -8.302143       10.54838    
   12966.00      -8.943511       10.54144    
   12971.00      -8.719022       12.18379    
   12976.00      -8.189219       12.17657    
   12981.00      -7.919703       12.16936    
   12986.00      -7.734381       12.16215    
   12991.00      -7.591355       12.15494    
   12996.00      -7.473728       12.14775    
   13000.00      -7.392376       12.14200    
   13001.00      -7.373399       12.14056    
   13006.00      -7.285326       12.13338    
   13011.00      -7.206501       12.12620    
   13016.00      -7.134917       12.11903    
   13021.00      -7.069155       12.11187    
   13026.00      -7.008179       12.10471    
   13031.00      -6.951210       12.09756    
   13036.00      -6.897645       12.09041    
   13041.00      -6.847015       12.08328    
   13046.00      -6.798947       12.07615    
   13051.00      -6.753115       12.06902    
   13056.00      -6.709275       12.06190    
   13061.00      -6.667213       12.05479    
   13066.00      -6.626752       12.04769    
   13100.00      -6.384239       11.99954    
   13200.00      -5.853082       11.85965    
   13300.00      -5.454168       11.72227    
   13400.00      -5.122641       11.58732    
   13500.00      -4.835923       11.45474    
   13600.00      -4.581748       11.32447    
   13700.00      -4.352798       11.19645    
   13800.00      -4.144237       11.07063    
   13900.00      -3.952671       10.94694    
   14000.00      -3.775581       10.82535    
   14100.00      -3.611051       10.70580    
   14200.00      -3.463568       10.58853    
   14300.00      -3.319962       10.47335    
   14400.00      -3.185091       10.36009    
   14500.00      -3.058101       10.24869    
   14600.00      -2.938270       10.13911    
   14700.00      -2.824978       10.03131    
   14800.00      -2.717681       9.925255    
   14900.00      -2.615911       9.820895    
   15000.00      -2.519250       9.718194    
   15100.00      -2.427330       9.617116    
   15200.00      -2.339822       9.517625    
   15300.00      -2.256430       9.419683    
   15400.00      -2.176890       9.323259    
   15500.00      -2.100958       9.228317    
   15600.00      -2.028418       9.134827    
   15700.00      -1.959068       9.042757    
   15800.00      -1.892727       8.952076    
   15900.00      -1.829227       8.862756    
   16000.00      -1.768414       8.774766    
   16100.00      -1.711263       8.688079    
   16200.00      -1.640386       8.601809    
   16300.00      -1.586531       8.516761    
   16400.00      -1.534893       8.432912    
   16500.00      -1.485366       8.350240    
   16600.00      -1.437855       8.268722    
   16700.00      -1.392267       8.188336    
   16800.00      -1.348518       8.109063    
   16900.00      -1.329229       8.031443    
   17000.00      -1.289508       7.955718    
   17100.00      -1.251332       7.881090    
   17200.00      -1.214636       7.807539    
   17300.00      -1.179357       7.735044    
   17400.00      -1.145431       7.663581    
   17500.00      -1.112804       7.593133    
   17600.00      -1.081420       7.523680    
   17700.00      -1.051228       7.455202    
   17800.00      -1.022180       7.387683    
   17900.00     -0.9942300       7.321101    
   18000.00     -0.9673334       7.255440    
   18100.00     -0.9414493       7.190682    
   18200.00     -0.9165383       7.126812    
   18300.00     -0.8925632       7.063813    
   18400.00     -0.8694875       7.001667    
   18500.00     -0.8472776       6.940359    
   18600.00     -0.8259013       6.879874    
   18700.00     -0.8053274       6.820197    
   18800.00     -0.7855271       6.761315    
   18900.00     -0.7664713       6.703210    
   19000.00     -0.7481336       6.645871    
   19100.00     -0.7304883       6.589283    
   19200.00     -0.7135108       6.533432    
   19300.00     -0.6971779       6.478308    
   19400.00     -0.6814665       6.423895    
   19500.00     -0.6663553       6.370181    
   19600.00     -0.6518237       6.317155    
   19700.00     -0.6378519       6.264804    
   19800.00     -0.6244211       6.213118    
   19900.00     -0.6115127       6.162083    
   20000.00     -0.5991093       6.111689    
   20100.00     -0.5871942       6.061925    
   20200.00     -0.5757514       6.012781    
   20300.00     -0.5647653       5.964247    
   20400.00     -0.5542210       5.916311    
   20500.00     -0.5441042       5.868963    
   20600.00     -0.5344027       5.822195    
   20700.00     -0.5256382       5.775997    
   20800.00     -0.5167224       5.730360    
   20900.00     -0.5081814       5.685273    
   21000.00     -0.5000038       5.640728    
   21100.00     -0.4922001       5.596715    
   21200.00     -0.4847154       5.553227    
   21300.00     -0.4775613       5.510255    
   21400.00     -0.4707274       5.467790    
   21500.00     -0.4642039       5.425824    
   21600.00     -0.4579814       5.384350    
   21700.00     -0.4520507       5.343359    
   21800.00     -0.4459957       5.302839    
   21900.00     -0.4406209       5.262782    
   22000.00     -0.4355125       5.223186    
   22100.00     -0.4306625       5.184044    
   22200.00     -0.4260631       5.145349    
   22300.00     -0.4217070       5.107095    
   22400.00     -0.4175868       5.069273    
   22500.00     -0.4136957       5.031877    
   22600.00     -0.4100270       4.994902    
   22700.00     -0.4065740       4.958340    
   22800.00     -0.4033307       4.922186    
   22900.00     -0.4002908       4.886432    
   23000.00     -0.3974484       4.851074    
   23100.00     -0.3947978       4.816105    
   23200.00     -0.3923336       4.781519    
   23300.00     -0.3900504       4.747312    
   23400.00     -0.3879429       4.713476    
   23500.00     -0.3860062       4.680007    
   23600.00     -0.3842354       4.646899    
   23700.00     -0.3826259       4.614147    
   23800.00     -0.3811731       4.581747    
   23900.00     -0.3798724       4.549691    
   24000.00     -0.3787197       4.517977    
   24100.00     -0.3777108       4.486598    
   24200.00     -0.3768418       4.455550    
   24300.00     -0.3761085       4.424829    
   24400.00     -0.3755074       4.394429    
   24500.00     -0.3750346       4.364347    
   24600.00     -0.3746867       4.334576    
   24700.00     -0.3744602       4.305114    
   24800.00     -0.3770606       4.275975    
   24900.00     -0.3770770       4.247177    
