  Element 60: Nd      Atomic mass:  144.2400

  Edge          keV         A
    K        43.5689    0.2846
    L-I       7.1260    1.7399
    L-II      6.7215    1.8446
    L-III     6.2079    1.9972
    M1        1.5753    7.8705
    M2        1.4028    8.8383
    M3        1.2974    9.5564

Scattering factors as a function of energy: 

   9700.000     -0.9078652       8.110748    
   9800.000     -0.8439268       7.977051    
   9900.000     -0.7841614       7.846712    
   10000.00     -0.7282754       7.719615    
   10100.00     -0.6760028       7.595652    
   10200.00     -0.6271002       7.474720    
   10300.00     -0.5813432       7.356718    
   10400.00     -0.5385274       7.241551    
   10500.00     -0.4984632       7.129126    
   10600.00     -0.4609769       7.019355    
   10700.00     -0.4259081       6.912156    
   10800.00     -0.3931077       6.807445    
   10900.00     -0.3624385       6.705146    
   11000.00     -0.3337723       6.605182    
   11100.00     -0.3069910       6.507483    
   11200.00     -0.2819843       6.411980    
   11300.00     -0.2586493       6.318605    
   11400.00     -0.2368907       6.227296    
   11500.00     -0.2166188       6.137989    
   11600.00     -0.1977505       6.050627    
   11700.00     -0.1802079       5.965152    
   11800.00     -0.1639178       5.881510    
   11900.00     -0.1488121       5.799647    
   12000.00     -0.1348265       5.719512    
   12100.00     -0.1219010       5.641057    
   12200.00     -0.1099793       5.564233    
   12300.00     -9.9008083E-02   5.488996    
   12400.00     -8.8937692E-02   5.415301    
   12500.00     -8.1757955E-02   5.343181    
   12600.00     -7.3370695E-02   5.272534    
   12700.00     -6.5747745E-02   5.203307    
   12800.00     -5.8849763E-02   5.135460    
   12900.00     -5.2639905E-02   5.068958    
   13000.00     -4.7083162E-02   5.003763    
   13100.00     -4.2146634E-02   4.939841    
   13200.00     -3.7799239E-02   4.877160    
   13300.00     -3.4011453E-02   4.815684    
   13400.00     -3.0755512E-02   4.755386    
   13500.00     -3.0590132E-02   4.696293    
   13600.00     -2.8336292E-02   4.638361    
   13700.00     -2.6535697E-02   4.581518    
   13800.00     -2.5166024E-02   4.525734    
   13900.00     -2.4206176E-02   4.470985    
   14000.00     -2.3636110E-02   4.417243    
   14100.00     -2.3436841E-02   4.364483    
   14200.00     -2.3590339E-02   4.312682    
   14300.00     -2.4797959E-02   4.261829    
   14400.00     -2.5614753E-02   4.211903    
   14500.00     -2.6734671E-02   4.162867    
   14600.00     -2.8143050E-02   4.114700    
   14700.00     -2.9825946E-02   4.067381    
   14800.00     -3.1770151E-02   4.020891    
   14900.00     -3.3963040E-02   3.975209    
   15000.00     -3.6392666E-02   3.930315    
   15100.00     -3.9047625E-02   3.886193    
   15200.00     -4.1917037E-02   3.842825    
   15300.00     -4.4990633E-02   3.800192    
   15400.00     -4.8258521E-02   3.758278    
   15500.00     -5.1711395E-02   3.717067    
   15600.00     -5.5340312E-02   3.676542    
   15700.00     -5.9136733E-02   3.636690    
   15800.00     -6.3092634E-02   3.597493    
   15900.00     -6.7200206E-02   3.558938    
   16000.00     -7.1452186E-02   3.521010    
   16100.00     -7.5841494E-02   3.483697    
