  Element 90: Th      Atomic mass:  232.0381

  Edge          keV         A
    K       109.6509    0.1131
    L-I      20.4721    0.6056
    L-II     19.6932    0.6296
    L-III    16.3003    0.7606
    M1        5.1823    2.3925
    M2        4.8304    2.5667
    M3        4.0461    3.0643
    M4        3.4908    3.5517
    M5        3.3320    3.7210
    N1        1.3295    9.3256
    N2        1.1682   10.6133

Scattering factors as a function of energy: 

   5800.000      -6.535187       20.14217    
   5900.000      -6.251409       19.64841    
   6000.000      -5.997154       19.17332    
   6100.000      -5.768460       18.71595    
   6200.000      -5.562184       18.27536    
   6300.000      -5.367404       17.85026    
   6400.000      -5.197584       17.43853    
   6500.000      -5.048270       17.04097    
   6600.000      -4.909136       16.65694    
   6700.000      -4.774058       16.28547    
   6800.000      -4.684272       15.92796    
   6900.000      -4.583051       15.58373    
   7000.000      -4.491844       15.25096    
   7100.000      -4.409534       14.92915    
   7200.000      -4.335526       14.61778    
   7300.000      -4.269162       14.31641    
   7400.000      -4.209849       14.02458    
   7500.000      -4.157053       13.74188    
   7600.000      -4.110292       13.46793    
   7700.000      -4.069131       13.20236    
   7800.000      -4.033175       12.94480    
   7900.000      -4.002066       12.69494    
   8000.000      -3.975479       12.45245    
   8100.000      -3.961990       12.21709    
   8200.000      -3.943760       11.98909    
   8300.000      -3.929216       11.76763    
   8400.000      -3.918141       11.55245    
   8500.000      -3.910342       11.34330    
   8600.000      -3.905650       11.13996    
   8700.000      -3.903922       10.94221    
   8800.000      -3.905044       10.74983    
   8900.000      -3.908938       10.56263    
   9000.000      -3.913789       10.38243    
   9100.000      -3.920761       10.20705    
   9200.000      -3.929742       10.03633    
   9300.000      -3.940625       9.870089    
   9400.000      -3.953316       9.708166    
   9500.000      -3.967726       9.550406    
   9600.000      -3.983775       9.396663    
   9700.000      -4.003346       9.246840    
   9800.000      -4.022681       9.100842    
   9900.000      -4.043444       8.958481    
   10000.00      -4.065579       8.819629    
   10100.00      -4.089035       8.684168    
   10200.00      -4.113767       8.551987    
   10300.00      -4.139733       8.422974    
   10400.00      -4.168200       8.297051    
   10500.00      -4.196606       8.174142    
   10600.00      -4.226148       8.054108    
   10700.00      -4.256800       7.936858    
   10800.00      -4.288543       7.822301    
   10900.00      -4.321360       7.710356    
   11000.00      -4.355238       7.600937    
   11100.00      -4.390168       7.493969    
   11200.00      -4.426142       7.389376    
   11300.00      -4.463160       7.287083    
   11400.00      -4.501221       7.187025    
   11500.00      -4.540330       7.089131    
   11600.00      -4.580495       6.993338    
   11700.00      -4.621727       6.899586    
   11800.00      -4.664039       6.807812    
   11900.00      -4.707451       6.717962    
   12000.00      -4.751985       6.629978    
   12100.00      -4.797667       6.543808    
   12200.00      -4.844526       6.459401    
   12300.00      -4.892598       6.376706    
   12400.00      -4.941922       6.295677    
   12500.00      -4.992544       6.216266    
   12600.00      -5.044511       6.138430    
   12700.00      -5.097965       6.062127    
   12800.00      -5.155129       5.987341    
   12900.00      -5.211506       5.914007    
   13000.00      -5.269491       5.842084    
   13100.00      -5.329170       5.771535    
