  Element 84: Po      Atomic mass:  209.0000

  Edge          keV         A
    K        93.1050    0.1332
    L-I      16.9393    0.7319
    L-II     16.2443    0.7632
    L-III    13.8138    0.8975
    M1        4.1494    2.9880
    M2        3.8541    3.2169
    M3        3.3019    3.7549
    M4        2.7980    4.4312
    M5        2.6830    4.6211

Scattering factors as a function of energy: 

   5700.000      -4.409304       15.91839    
   5800.000      -4.298002       15.51181    
   5900.000      -4.199501       15.12107    
   6000.000      -4.112598       14.74532    
   6100.000      -4.036232       14.38377    
   6200.000      -3.969465       14.03569    
   6300.000      -3.911462       13.70040    
   6400.000      -3.861479       13.37725    
   6500.000      -3.818851       13.06565    
   6600.000      -3.782984       12.76504    
   6700.000      -3.766795       12.47595    
   6800.000      -3.743136       12.19689    
   6900.000      -3.724715       11.92733    
   7000.000      -3.711143       11.66685    
   7100.000      -3.702070       11.41502    
   7200.000      -3.697178       11.17145    
   7300.000      -3.696182       10.93577    
   7400.000      -3.698823       10.70764    
   7500.000      -3.704868       10.48672    
   7600.000      -3.714108       10.27271    
   7700.000      -3.726174       10.06531    
   7800.000      -3.753427       9.865025    
   7900.000      -3.771421       9.670902    
   8000.000      -3.791912       9.482616    
   8100.000      -3.814781       9.299928    
   8200.000      -3.839926       9.122611    
   8300.000      -3.870678       8.950453    
   8400.000      -3.900215       8.783477    
   8500.000      -3.931814       8.621264    
   8600.000      -3.965453       8.463630    
   8700.000      -4.001150       8.310402    
   8800.000      -4.038984       8.161409    
   8900.000      -4.092237       8.016520    
   9000.000      -4.131166       7.877450    
   9100.000      -4.171571       7.742170    
   9200.000      -4.213442       7.610540    
   9300.000      -4.256763       7.482424    
   9400.000      -4.302114       7.357694    
   9500.000      -4.348392       7.236237    
   9600.000      -4.396120       7.117929    
   9700.000      -4.445290       7.002660    
   9800.000      -4.495919       6.890320    
   9900.000      -4.548027       6.780810    
   10000.00      -4.601645       6.674030    
   10100.00      -4.656809       6.569888    
   10200.00      -4.713562       6.468295    
   10300.00      -4.771957       6.369164    
   10400.00      -4.832052       6.272416    
   10500.00      -4.893918       6.177969    
   10600.00      -4.957632       6.085751    
   10700.00      -5.023284       5.995689    
   10800.00      -5.090976       5.907713    
   10900.00      -5.160822       5.821759    
   11000.00      -5.232952       5.737761    
   11100.00      -5.307510       5.655659    
   11200.00      -5.384662       5.575395    
   11300.00      -5.464594       5.496911    
   11400.00      -5.547516       5.420154    
   11500.00      -5.633670       5.345072    
   11600.00      -5.723345       5.271615    
