  Element 66: Dy      Atomic mass:  162.5000

  Edge          keV         A
    K        53.7885    0.2305
    L-I       9.0458    1.3706
    L-II      8.5806    1.4449
    L-III     7.7901    1.5916
    M1        2.0468    6.0575
    M2        1.8418    6.7317
    M3        1.6756    7.3994
    M4        1.3325    9.3046
    M5        1.2949    9.5748

Scattering factors as a function of energy: 

   7708.000      -12.20820       3.737646    
   7713.000      -12.34356       3.733706    
   7718.000      -12.48807       3.729771    
   7723.000      -12.64303       3.725843    
   7728.000      -12.81008       3.721922    
   7733.000      -12.99125       3.718007    
   7738.000      -13.18916       3.714098    
   7743.000      -13.40722       3.710196    
   7748.000      -13.64997       3.706299    
   7753.000      -13.92366       3.702410    
   7758.000      -14.23739       3.698526    
   7763.000      -14.60478       3.694649    
   7768.000      -15.04789       3.690777    
   7773.000      -15.60594       3.686913    
   7778.000      -16.35977       3.683054    
   7783.000      -17.52405       3.679201    
   7788.000      -20.19125       3.675355    
   7793.000      -19.49522       10.58773    
   7798.000      -17.27531       10.57186    
   7800.000      -16.77412       10.56552    
   7803.000      -16.18579       10.55605    
   7808.000      -15.45669       10.54031    
   7813.000      -14.90783       10.52463    
   7818.000      -14.46999       10.50902    
   7823.000      -14.10250       10.49347    
   7828.000      -13.78716       10.47798    
   7833.000      -13.51111       10.46256    
   7838.000      -13.26577       10.44721    
   7843.000      -13.04505       10.43191    
   7848.000      -12.84456       10.41668    
   7853.000      -12.66098       10.40151    
   7858.000      -12.49179       10.38640    
   7863.000      -12.33494       10.37136    
   7868.000      -12.18883       10.35637    
   7873.000      -12.05216       10.34145    
   7878.000      -11.92384       10.32658    
   7883.000      -11.80296       10.31178    
   7888.000      -11.68877       10.29704    
   7900.000      -11.43830       10.26190    
   8000.000      -10.10876       9.982025    
   8100.000      -9.413468       9.724016    
   8200.000      -9.035774       9.485739    
   8300.000      -8.889932       9.265553    
   8400.000      -8.991825       9.062009    
   8483.000      -9.402267       8.904777    
   8488.000      -9.445181       8.895628    
   8493.000      -9.491412       8.886515    
   8498.000      -9.541336       8.877437    
   8500.000      -9.562433       8.873816    
   8503.000      -9.595395       8.868395    
   8508.000      -9.654123       8.859387    
   8513.000      -9.718158       8.850418    
   8518.000      -9.788321       8.841482    
   8523.000      -9.865601       8.832581    
   8528.000      -9.951271       8.823714    
   8533.000      -10.04699       8.814882    
   8538.000      -10.15496       8.806086    
   8543.000      -10.27824       8.797323    
   8548.000      -10.42118       8.788594    
   8553.000      -10.59031       8.779901    
   8558.000      -10.79609       8.771242    
   8563.000      -11.05706       8.762616    
   8568.000      -11.41050       8.754025    
   8573.000      -11.95219       8.745466    
   8578.000      -13.11714       8.736941    
   8583.000      -13.20575       12.19599    
   8588.000      -11.94353       12.17952    
   8593.000      -11.35723       12.16318    
   8598.000      -10.96837       12.14699    
   8600.000      -10.84255       12.14054    
   8603.000      -10.67566       12.13092    
   8608.000      -10.44025       12.11499    
   8613.000      -10.24296       12.09919    
   8618.000      -10.07293       12.08353    
   8623.000      -9.923385       12.06799    
   8628.000      -9.789836       12.05259    
   8633.000      -9.669134       12.03731    
   8638.000      -9.559011       12.02217    
   8643.000      -9.457713       12.00715    
   8648.000      -9.363941       11.99226    
   8653.000      -9.276657       11.97750    
   8658.000      -9.195033       11.96286    
   8663.000      -9.118392       11.94835    
   8668.000      -9.046179       11.93396    
   8673.000      -8.977931       11.91970    
   8678.000      -8.913256       11.90555    
   8700.000      -8.663672       11.84477    
   8800.000      -7.952034       11.59672    
   8900.000      -7.641448       11.39170    
   8948.000      -7.625759       11.29354    
   8953.000      -7.631599       11.28375    
   8958.000      -7.639289       11.27403    
   8963.000      -7.649009       11.26440    
   8968.000      -7.660976       11.25484    
   8973.000      -7.675446       11.24537    
   8978.000      -7.692743       11.23597    
   8983.000      -7.713256       11.22665    
   8988.000      -7.737479       11.21741    
   8993.000      -7.766037       11.20825    
   8998.000      -7.799749       11.19917    
   9000.000      -7.814909       11.19556    
