  Element 71: Lu      Atomic mass:  174.9670

  Edge          keV         A
    K        63.3138    0.1958
    L-I      10.8704    1.1406
    L-II     10.3486    1.1981
    L-III     9.2441    1.3412
    M1        2.4912    4.9769
    M2        2.2635    5.4775
    M3        2.0236    6.1269
    M4        1.6394    7.5628
    M5        1.5885    7.8051

Scattering factors as a function of energy: 

   9100.000      -11.02987       3.850292    
   9147.000      -11.85682       3.818361    
   9152.000      -11.96782       3.814988    
   9157.000      -12.08507       3.811621    
   9162.000      -12.20936       3.808258    
   9167.000      -12.34155       3.804899    
   9172.000      -12.48273       3.801545    
   9177.000      -12.63418       3.798196    
   9182.000      -12.79752       3.794852    
   9187.000      -12.97475       3.791512    
   9192.000      -13.16844       3.788176    
   9197.000      -13.38189       3.784846    
   9200.000      -13.52129       3.782850    
   9202.000      -13.61965       3.781520    
   9207.000      -13.88787       3.778198    
   9212.000      -14.19541       3.774882    
   9217.000      -14.55570       3.771569    
   9222.000      -14.99041       3.768261    
   9227.000      -15.53814       3.764958    
   9232.000      -16.27825       3.761659    
   9237.000      -17.42170       3.758365    
   9242.000      -20.04126       3.755076    
   9247.000      -19.35964       10.54681    
   9252.000      -17.17891       10.53354    
   9257.000      -16.10831       10.52030    
   9262.000      -15.39145       10.50711    
   9267.000      -14.85142       10.49395    
   9272.000      -14.41789       10.48082    
   9277.000      -14.05566       10.46773    
   9282.000      -13.74461       10.45468    
   9287.000      -13.47198       10.44166    
   9292.000      -13.22939       10.42868    
   9297.000      -13.01091       10.41574    
   9300.000      -12.88953       10.40799    
   9302.000      -12.81220       10.40283    
   9307.000      -12.63003       10.38995    
   9312.000      -12.46188       10.37711    
   9317.000      -12.30579       10.36431    
   9322.000      -12.16020       10.35154    
   9327.000      -12.02377       10.33881    
   9332.000      -11.89548       10.32611    
   9337.000      -11.77442       10.31344    
   9342.000      -11.65987       10.30081    
   9400.000      -10.65393       10.15678    
   9500.000      -9.628444       9.918771    
   9600.000      -9.006279       9.693080    
   9700.000      -8.603030       9.478895    
   9800.000      -8.346704       9.275467    
   9900.000      -8.212385       9.082147    
   10000.00      -8.193102       8.898280    
   10100.00      -8.313059       8.723288    
   10200.00      -8.659757       8.556638    
   10251.00      -9.018118       8.474698    
   10256.00      -9.065849       8.466773    
   10261.00      -9.116794       8.458866    
   10266.00      -9.171310       8.450978    
   10271.00      -9.229837       8.443109    
   10276.00      -9.292901       8.435259    
   10281.00      -9.361139       8.427427    
   10286.00      -9.435340       8.419614    
   10291.00      -9.516486       8.411819    
   10296.00      -9.605813       8.404045    
   10300.00      -9.684279       8.397838    
   10301.00      -9.704982       8.396288    
   10306.00      -9.816153       8.388550    
   10311.00      -9.942315       8.380829    
   10316.00      -10.08775       8.373127    
   10321.00      -10.25888       8.365443    
   10326.00      -10.46602       8.357779    
   10331.00      -10.72732       8.350131    
   10336.00      -11.07940       8.342502    
   10341.00      -11.61625       8.334892    
   10346.00      -12.76510       8.327300    
   10351.00      -12.85498       11.72206    
   10356.00      -11.62373       11.71037    
   10361.00      -11.05451       11.69871    
   10366.00      -10.67826       11.68708    
   10371.00      -10.39592       11.67547    
   10376.00      -10.16937       11.66390    
   10381.00      -9.979914       11.65236    
   10386.00      -9.816862       11.64084    
   10391.00      -9.673650       11.62935    
   10396.00      -9.545887       11.61789    
   10400.00      -9.452718       11.60875    
   10401.00      -9.430508       11.60646    
   10406.00      -9.325284       11.59506    
   10411.00      -9.228548       11.58369    
   10416.00      -9.139017       11.57235    
   10421.00      -9.055700       11.56104    
   10426.00      -8.977759       11.54975    
   10431.00      -8.904557       11.53849    
   10436.00      -8.835554       11.52726    
   10441.00      -8.770303       11.51606    
   10446.00      -8.708426       11.50488    
   10500.00      -8.190936       11.38597    
   10600.00      -7.627955       11.17402    
   10700.00      -7.355945       10.97228    
   10773.00      -7.349561       10.83112    
   10778.00      -7.358501       10.82163    
   10783.00      -7.369203       10.81217    
