   Element 10: Ne      Atomic mass:   20.1790

Scattering factors as a function of energy:

   23200.00      1.3192657E-02  8.8918926E-03
   23300.00      1.3045399E-02  8.8089183E-03
   23400.00      1.2899773E-02  8.7270476E-03
   23500.00      1.2755760E-02  8.6462628E-03
   23600.00      1.2613334E-02  8.5665453E-03
   23700.00      1.2472472E-02  8.4878765E-03
   23800.00      1.2333154E-02  8.4102396E-03
   23900.00      1.2195352E-02  8.3336150E-03
   24000.00      1.2059045E-02  8.2579860E-03
   24100.00      1.1924213E-02  8.1833368E-03
   24200.00      1.1790833E-02  8.1096496E-03
   24300.00      1.1658889E-02  8.0369106E-03
   24400.00      1.1528352E-02  7.9651000E-03
   24500.00      1.1399208E-02  7.8942059E-03
   24600.00      1.1271433E-02  7.8242105E-03
   24700.00      1.1145010E-02  7.7551012E-03
   24800.00      1.1019921E-02  7.6868637E-03
   24900.00      1.0896144E-02  7.6194806E-03
