  Element 61: Pm      Atomic mass:  145.0000

  Edge          keV         A
    K        45.1840    0.2744
    L-I       7.4279    1.6692
    L-II      7.0128    1.7680
    L-III     6.4593    1.9195
    M1        1.6465    7.5302
    M2        1.4714    8.4263
    M3        1.3569    9.1373
    M4        1.0515   11.7912
    M5        1.0269   12.0736

Scattering factors as a function of energy: 

   6442.000      -15.74732       3.596378    
   6447.000      -16.50624       3.591892    
   6452.000      -17.66857       3.587414    
   6457.000      -20.24616       3.582946    
   6462.000      -19.89844       10.62484    
   6467.000      -17.53513       10.60747    
   6472.000      -16.40439       10.59017    
   6477.000      -15.65363       10.57291    
   6482.000      -15.09098       10.55572    
   6487.000      -14.64099       10.53859    
   6492.000      -14.26629       10.52151    
   6497.000      -13.94548       10.50449    
   6500.000      -13.77312       10.49431    
   6502.000      -13.66525       10.48753    
   6507.000      -13.41662       10.47063    
   6512.000      -13.19339       10.45378    
   6517.000      -12.99100       10.43699    
   6522.000      -12.80606       10.42025    
   6527.000      -12.63591       10.40357    
   6532.000      -12.47850       10.38695    
   6537.000      -12.33218       10.37038    
   6542.000      -12.19561       10.35387    
   6547.000      -12.06765       10.33741    
   6552.000      -11.94740       10.32101    
   6557.000      -11.83408       10.30466    
   6600.000      -11.06981       10.16627    
   6700.000      -10.08813       9.859135    
   6800.000      -9.693250       9.571168    
   6900.000      -9.806785       9.300817    
   6915.000      -9.890192       9.261697    
   6920.000      -9.924126       9.248736    
   6925.000      -9.961617       9.235816    
   6930.000      -10.00304       9.222936    
   6935.000      -10.04884       9.210094    
   6940.000      -10.09956       9.197292    
   6945.000      -10.15586       9.184529    
   6950.000      -10.21852       9.171807    
   6955.000      -10.28858       9.159122    
   6960.000      -10.36732       9.146477    
   6965.000      -10.45641       9.133869    
   6970.000      -10.55806       9.121302    
   6975.000      -10.67538       9.108770    
   6980.000      -10.81274       9.096278    
   6985.000      -10.97671       9.083823    
   6990.000      -11.17781       9.071408    
   6995.000      -11.43451       9.059029    
   7000.000      -11.78381       9.046687    
   7005.000      -12.31950       9.034383    
   7010.000      -13.45098       9.022116    
   7015.000      -13.71053       12.55768    
   7020.000      -12.34622       12.53921    
   7025.000      -11.72771       12.52079    
   7030.000      -11.31818       12.50244    
   7035.000      -11.00938       12.48416    
   7040.000      -10.76015       12.46593    
   7045.000      -10.55046       12.44777    
   7050.000      -10.36898       12.42967    
   7055.000      -10.20870       12.41163    
   7060.000      -10.06493       12.39365    
   7065.000      -9.934428       12.37574    
   7070.000      -9.814843       12.35788    
   7075.000      -9.704417       12.34009    
   7080.000      -9.601773       12.32235    
   7085.000      -9.505856       12.30468    
   7090.000      -9.415814       12.28706    
   7095.000      -9.330965       12.26951    
   7100.000      -9.250724       12.25201    
   7105.000      -9.174624       12.23457    
   7110.000      -9.102269       12.21719    
   7200.000      -8.206491       11.91422    
   7300.000      -7.731781       11.59817    
   7330.000      -7.685628       11.50732    
   7335.000      -7.683797       11.49235    
   7340.000      -7.683976       11.47743    
   7345.000      -7.686344       11.46255    
   7350.000      -7.691115       11.44773    
   7355.000      -7.698534       11.43295    
   7360.000      -7.709064       11.41822    
   7365.000      -7.722837       11.40354    
   7370.000      -7.740525       11.38890    
   7375.000      -7.762731       11.37431    
   7380.000      -7.790278       11.35977    
   7385.000      -7.824268       11.34528    
   7390.000      -7.866214       11.33083    
   7395.000      -7.918293       11.31643    
   7400.000      -7.983750       11.30208    
   7405.000      -8.067780       11.28777    
   7410.000      -8.179456       11.27350    
   7415.000      -8.336964       11.25929    
   7420.000      -8.586066       11.24511    
   7425.000      -9.122740       11.23099    
   7430.000      -9.280583       12.98417    
   7435.000      -8.569641       12.96953    
   7440.000      -8.244526       12.95494    
   7445.000      -8.025082       12.94039    
   7450.000      -7.856234       12.92589    
   7455.000      -7.717211       12.91143    
   7460.000      -7.597943       12.89701    
   7465.000      -7.492752       12.88263    
   7470.000      -7.398133       12.86830    
   7475.000      -7.311740       12.85401    
   7480.000      -7.231960       12.83976    
   7485.000      -7.157617       12.82555    
   7490.000      -7.087837       12.81139    
   7495.000      -7.021931       12.79727    
   7500.000      -6.959373       12.78319    
   7505.000      -6.899740       12.76915    
   7510.000      -6.842685       12.75515    
   7515.000      -6.787930       12.74120    
   7520.000      -6.735227       12.72728    
   7525.000      -6.684381       12.71341    
   7600.000      -6.067276       12.51011    
   7700.000      -5.468281       12.25244    
   7800.000      -4.997468       12.00908    
   7900.000      -4.605401       11.77901    
   8000.000      -4.268531       11.56132    
   8100.000      -3.973036       11.35518    
   8200.000      -3.709770       11.15984    
   8300.000      -3.472138       10.97461    
   8400.000      -3.054905       10.79815    
   8500.000      -2.845183       10.60650    
   8600.000      -2.650163       10.42190    
   8700.000      -2.465242       10.24400    
   8800.000      -2.283561       10.07250    
   8900.000      -2.089333       9.907085    
   9000.000      -1.947323       9.732113    
   9100.000      -1.815732       9.561732    
   9200.000      -1.695011       9.395905    
   9300.000      -1.581942       9.234457    
   9400.000      -1.476723       9.077217    
   9500.000      -1.378692       8.924034    
   9600.000      -1.287312       8.774767    
   9700.000      -1.203246       8.629341    
   9800.000      -1.123655       8.487659    
   9900.000      -1.049241       8.349532    
   10000.00     -0.9796202       8.214836    
   10100.00     -0.9144481       8.083459    
   10200.00     -0.8534113       7.955290    
   10300.00     -0.7962232       7.830222    
   10400.00     -0.7426239       7.708155    
   10500.00     -0.6923739       7.588991    
   10600.00     -0.6452549       7.472637    
   10700.00     -0.6010664       7.359005    
   10800.00     -0.5596222       7.248007    
   10900.00     -0.5207524       7.139562    
   11000.00     -0.4842984       7.033590    
   11100.00     -0.4501146       6.930015    
   11200.00     -0.4180659       6.828764    
   11300.00     -0.3880260       6.729767    
   11400.00     -0.3598786       6.632957    
   11500.00     -0.3335146       6.538266    
   11600.00     -0.3088329       6.445634    
   11700.00     -0.2857392       6.355001    
   11800.00     -0.2641448       6.266307    
   11900.00     -0.2439678       6.179497    
   12000.00     -0.2251303       6.094517    
   12100.00     -0.2075605       6.011314    
   12200.00     -0.1911907       5.929840    
   12300.00     -0.1759568       5.850045    
   12400.00     -0.1617995       5.771883    
   12500.00     -0.1486624       5.695308    
   12600.00     -0.1364929       5.620277    
   12700.00     -0.1252412       5.546750    
   12800.00     -0.1148605       5.474683    
   12900.00     -0.1053068       5.404039    
   13000.00     -9.9763103E-02   5.334891    
   13100.00     -9.1763660E-02   5.267117    
   13200.00     -8.4468089E-02   5.200656    
   13300.00     -7.7841341E-02   5.135474    
   13400.00     -7.1850568E-02   5.071537    
   13500.00     -6.6464439E-02   5.008813    
   13600.00     -6.1653521E-02   4.947271    
   13700.00     -5.7389900E-02   4.886882    
   13800.00     -5.3647034E-02   4.827615    
   13900.00     -5.0399926E-02   4.769443    
   14000.00     -4.7624748E-02   4.712338    
   14100.00     -4.5709040E-02   4.656286    
   14200.00     -4.3813456E-02   4.601254    
   14300.00     -4.2325065E-02   4.547212    
   14400.00     -4.1224647E-02   4.494137    
   14500.00     -4.0493883E-02   4.442004    
   14600.00     -4.0115405E-02   4.390792    
   14700.00     -4.0072694E-02   4.340479    
   14800.00     -4.0350046E-02   4.291043    
   14900.00     -4.1424412E-02   4.242471    
   15000.00     -4.2303219E-02   4.194746    
   15100.00     -4.3458849E-02   4.147839    
   15200.00     -4.4878408E-02   4.101730    
   15300.00     -4.6549663E-02   4.056401    
   15400.00     -4.8460901E-02   4.011834    
   15500.00     -5.0601028E-02   3.968012    
   15600.00     -5.2959420E-02   3.924918    
   15700.00     -5.5525944E-02   3.882536    
   15800.00     -5.8290999E-02   3.840850    
   15900.00     -6.1245348E-02   3.799845    
   16000.00     -6.4380273E-02   3.759505    
   16100.00     -6.7687370E-02   3.719816    
   16200.00     -7.1158662E-02   3.680764    
   16300.00     -7.4786454E-02   3.642335    
   16400.00     -7.8563608E-02   3.604515    
   16500.00     -8.2483098E-02   3.567292    
   16600.00     -8.6538285E-02   3.530653    
   16700.00     -9.0722844E-02   3.494585    
   16800.00     -9.5030606E-02   3.459078    
   16900.00     -9.9455945E-02   3.424117    
   17000.00     -0.1039929       3.389693    
   17100.00     -0.1086570       3.355794    
   17200.00     -0.1134026       3.322410    
   17300.00     -0.1182451       3.289530    
   17400.00     -0.1231800       3.257143    
   17500.00     -0.1282026       3.225241    
   17600.00     -0.1333089       3.193812    
   17700.00     -0.1384948       3.162847    
   17800.00     -0.1437562       3.132339    
   17900.00     -0.1490898       3.102275    
   18000.00     -0.1544918       3.072650    
   18100.00     -0.1599590       3.043453    
   18200.00     -0.1654880       3.014676    
   18300.00     -0.1710758       2.986313    
   18400.00     -0.1767195       2.958353    
   18500.00     -0.1824162       2.930790    
   18600.00     -0.1881633       2.903615    
   18700.00     -0.1939581       2.876823    
   18800.00     -0.1997981       2.850405    
   18900.00     -0.2056812       2.824354    
   19000.00     -0.2116049       2.798663    
   19100.00     -0.2175671       2.773326    
   19200.00     -0.2235658       2.748337    
   19300.00     -0.2295989       2.723688    
   19400.00     -0.2356646       2.699374    
   19500.00     -0.2417612       2.675388    
   19600.00     -0.2478869       2.651724    
   19700.00     -0.2540400       2.628377    
   19800.00     -0.2602189       2.605341    
   19900.00     -0.2664223       2.582610    
   20000.00     -0.2726487       2.560179    
   20100.00     -0.2788966       2.538042    
   20200.00     -0.2851649       2.516195    
   20300.00     -0.2914521       2.494632    
   20400.00     -0.2977574       2.473348    
   20500.00     -0.3040794       2.452338    
   20600.00     -0.3104171       2.431598    
   20700.00     -0.3167695       2.411123    
   20800.00     -0.3231356       2.390909    
   20900.00     -0.3295145       2.370950    
   21000.00     -0.3359054       2.351243    
   21100.00     -0.3423074       2.331783    
   21200.00     -0.3487198       2.312567    
   21300.00     -0.3551416       2.293589    
   21400.00     -0.3615725       2.274846    
   21500.00     -0.3680116       2.256335    
   21600.00     -0.3744583       2.238050    
   21700.00     -0.3809121       2.219990    
   21800.00     -0.3873724       2.202149    
   21900.00     -0.3940892       2.184524    
   22000.00     -0.4005613       2.167114    
   22100.00     -0.4070361       2.149912    
   22200.00     -0.4135155       2.132917    
   22300.00     -0.4199989       2.116124    
   22400.00     -0.4264857       2.099530    
   22500.00     -0.4333987       2.083135    
   22600.00     -0.4398900       2.066932    
   22700.00     -0.4463843       2.050920    
   22800.00     -0.4528814       2.035095    
   22900.00     -0.4593811       2.019453    
   23000.00     -0.4658831       2.003993    
   23100.00     -0.4723874       1.988710    
   23200.00     -0.4788938       1.973603    
   23300.00     -0.4854020       1.958670    
   23400.00     -0.4919122       1.943906    
   23500.00     -0.4984242       1.929309    
   23600.00     -0.5049380       1.914878    
   23700.00     -0.5114536       1.900609    
   23800.00     -0.5179709       1.886500    
   23900.00     -0.5244901       1.872549    
   24000.00     -0.5310112       1.858752    
   24100.00     -0.5375344       1.845109    
   24200.00     -0.5440597       1.831616    
   24300.00     -0.5505872       1.818272    
   24400.00     -0.5571174       1.805074    
   24500.00     -0.5636503       1.792020    
   24600.00     -0.5701863       1.779108    
   24700.00     -0.5767255       1.766335    
   24800.00     -0.5832682       1.753701    
   24900.00     -0.5898152       1.741202    
