  Element 48: Cd      Atomic mass:  112.4100

  Edge          keV         A
    K        26.7112    0.4642
    L-I       4.0180    3.0857
    L-II      3.7270    3.3266
    L-III     3.5375    3.5049

Scattering factors as a function of energy: 

   14000.00     -0.3949311       1.787644    
   14100.00     -0.4061392       1.765256    
   14200.00     -0.4173343       1.743291    
   14300.00     -0.4285170       1.721737    
   14400.00     -0.4396870       1.700585    
   14500.00     -0.4510230       1.679824    
   14600.00     -0.4621705       1.659446    
   14700.00     -0.4733071       1.639440    
   14800.00     -0.4844334       1.619798    
   14900.00     -0.4955498       1.600509    
   15000.00     -0.5066573       1.581566    
   15100.00     -0.5177565       1.562960    
   15200.00     -0.5288479       1.544684    
   15300.00     -0.5399279       1.526728    
   15400.00     -0.5526935       1.509110    
   15500.00     -0.5637671       1.491808    
   15600.00     -0.5748384       1.474805    
   15700.00     -0.5859076       1.458094    
   15800.00     -0.5969762       1.441668    
   15900.00     -0.6080451       1.425520    
   16000.00     -0.6191164       1.409645    
   16100.00     -0.6301937       1.394036    
   16200.00     -0.6426657       1.378701    
   16300.00     -0.6537526       1.363633    
   16400.00     -0.6648446       1.348813    
   16500.00     -0.6759456       1.334236    
   16600.00     -0.6870577       1.319896    
   16700.00     -0.6981829       1.305789    
   16800.00     -0.7093228       1.291910    
   16900.00     -0.7204798       1.278252    
   17000.00     -0.7316558       1.264812    
   17100.00     -0.7428530       1.251585    
   17200.00     -0.7540736       1.238566    
   17300.00     -0.7653196       1.225752    
   17400.00     -0.7765998       1.213136    
   17500.00     -0.7901596       1.200751    
   17600.00     -0.8015024       1.188562    
   17700.00     -0.8128793       1.176560    
   17800.00     -0.8242930       1.164742    
   17900.00     -0.8357466       1.153103    
   18000.00     -0.8472427       1.141640    
   18100.00     -0.8587840       1.130349    
   18200.00     -0.8703736       1.119227    
   18300.00     -0.8820143       1.108271    
   18400.00     -0.8937095       1.097477    
   18500.00     -0.9054624       1.086842    
   18600.00     -0.9172763       1.076363    
   18700.00     -0.9291546       1.066036    
   18800.00     -0.9411005       1.055859    
   18900.00     -0.9531183       1.045829    
   19000.00     -0.9652115       1.035943    
   19100.00     -0.9773840       1.026198    
   19200.00     -0.9896400       1.016592    
   19300.00      -1.001983       1.007122    
