  Element 40: Zr      Atomic mass:   91.2200

  Edge          keV         A
    K        17.9976    0.6889
    L-I       2.5316    4.8975
    L-II      2.3067    5.3750
    L-III     2.2223    5.5791

Scattering factors as a function of energy: 

   17955.00      -5.366268      0.5341434    
   17960.00      -5.491154      0.5338708    
   17965.00      -5.634192      0.5335983    
   17970.00      -5.801332      0.5333261    
   17975.00      -6.002422      0.5330540    
   17980.00      -6.254395      0.5327822    
   17985.00      -6.591977      0.5325105    
   17990.00      -7.103530      0.5322391    
   17995.00      -8.191940      0.5319679    
   18000.00      -8.282978       3.735508    
   18005.00      -7.130785       3.733458    
   18010.00      -6.600930       3.731410    
   18015.00      -6.252527       3.729364    
   18020.00      -5.992099       3.727320    
   18025.00      -5.784032       3.725280    
   18030.00      -5.610548       3.723240    
   18035.00      -5.461806       3.721204    
   18040.00      -5.331486       3.719170    
   18045.00      -5.215569       3.717138    
   18050.00      -5.111124       3.715109    
   18055.00      -5.016028       3.713081    
   18060.00      -4.928790       3.711057    
   18065.00      -4.848138       3.709034    
   18070.00      -4.773190       3.707014    
   18075.00      -4.703132       3.704995    
   18080.00      -4.637405       3.702980    
   18085.00      -4.575476       3.700967    
   18090.00      -4.516902       3.698955    
   18095.00      -4.461375       3.696947    
   18100.00      -4.408550       3.694940    
   18200.00      -3.683474       3.655283    
   18300.00      -3.250273       3.616511    
   18400.00      -2.939430       3.578598    
   18500.00      -2.696783       3.541520    
   18600.00      -2.497897       3.505253    
   18700.00      -2.329605       3.469773    
   18800.00      -2.183974       3.435061    
   18900.00      -2.055821       3.401093    
   19000.00      -1.941632       3.367848    
   19100.00      -1.838817       3.335308    
   19200.00      -1.745480       3.303453    
   19300.00      -1.660167       3.272266    
   19400.00      -1.581733       3.241726    
   19500.00      -1.509265       3.211818    
   19600.00      -1.442024       3.182525    
   19700.00      -1.379398       3.153830    
   19800.00      -1.320879       3.125719    
   19900.00      -1.266033       3.098175    
   20000.00      -1.214495       3.071184    
   20100.00      -1.165949       3.044732    
   20200.00      -1.120124       3.018806    
   20300.00      -1.076781       2.993392    
   20400.00      -1.035709       2.968477    
   20500.00     -0.9967245       2.944049    
   20600.00     -0.9596635       2.920095    
   20700.00     -0.9243795       2.896605    
   20800.00     -0.8907421       2.873568    
   20900.00     -0.8586319       2.850971    
   21000.00     -0.8279431       2.828804    
   21100.00     -0.7985790       2.807057    
   21200.00     -0.7704518       2.785720    
   21300.00     -0.7434819       2.764785    
   21400.00     -0.7175949       2.744239    
   21500.00     -0.6927240       2.724076    
   21600.00     -0.6688075       2.704286    
   21700.00     -0.6457884       2.684860    
   21800.00     -0.6236143       2.665792    
   21900.00     -0.6022357       2.647070    
   22000.00     -0.5816079       2.628689    
   22100.00     -0.5616887       2.610641    
   22200.00     -0.5424391       2.592918    
   22300.00     -0.5238228       2.575513    
   22400.00     -0.5058051       2.558419    
   22500.00     -0.4883544       2.541630    
   22600.00     -0.4714407       2.525137    
   22700.00     -0.4550360       2.508937    
   22800.00     -0.4391142       2.493021    
   22900.00     -0.4236498       2.477385    
   23000.00     -0.4086198       2.462021    
   23100.00     -0.3940018       2.446924    
   23200.00     -0.3797751       2.432089    
   23300.00     -0.3659193       2.417511    
   23400.00     -0.2857906       2.403091    
   23500.00     -0.2713985       2.386090    
   23600.00     -0.2574705       2.369267    
   23700.00     -0.2439419       2.352618    
   23800.00     -0.2307981       2.336141    
   23900.00     -0.2180250       2.319834    
   24000.00     -0.2056099       2.303694    
   24100.00     -0.1935405       2.287719    
   24200.00     -0.1818050       2.271906    
   24300.00     -0.1703924       2.256255    
   24400.00     -0.1592916       2.240761    
   24500.00     -0.1484925       2.225424    
   24600.00     -0.1379855       2.210240    
   24700.00     -0.1277611       2.195209    
   24800.00     -0.1178106       2.180328    
   24900.00     -0.1081250       2.165594    
