  Element 56: Ba      Atomic mass:  137.3300

  Edge          keV         A
    K        37.4406    0.3311
    L-I       5.9888    2.0703
    L-II      5.6236    2.2047
    L-III     5.2470    2.3630
    M1        1.2928    9.5904
    M2        1.1367   10.9074
    M3        1.0622   11.6724

Scattering factors as a function of energy: 

   10600.00     -2.7154114E-02   5.382121    
   10700.00     -1.7075775E-02   5.298376    
   10800.00     -8.0576921E-03   5.216606    
   10900.00     -3.6694357E-05   5.136748    
   11000.00      7.0465417E-03   5.058742    
   11100.00      1.3247244E-02   4.982531    
   11200.00      1.8617107E-02   4.908059    
   11300.00      2.1749232E-02   4.835309    
   11400.00      2.5566766E-02   4.764229    
   11500.00      2.8693721E-02   4.694735    
   11600.00      3.1169929E-02   4.626780    
   11700.00      3.3032782E-02   4.560318    
   11800.00      3.4317438E-02   4.495305    
   11900.00      3.5056859E-02   4.431698    
   12000.00      3.3950329E-02   4.369469    
   12100.00      3.3660602E-02   4.308615    
   12200.00      3.2915786E-02   4.249051    
   12300.00      3.1741701E-02   4.190738    
   12400.00      3.0162703E-02   4.133644    
   12500.00      2.8201673E-02   4.077731    
   12600.00      2.5880219E-02   4.022968    
   12700.00      2.3218723E-02   3.969324    
   12800.00      2.0236334E-02   3.916766    
   12900.00      1.6951218E-02   3.865267    
   13000.00      1.3380407E-02   3.814796    
   13100.00      9.5400689E-03   3.765326    
   13200.00      5.4454831E-03   3.716831    
   13300.00      1.1109675E-03   3.669284    
   13400.00     -3.4497925E-03   3.622661    
   13500.00     -8.2240263E-03   3.576937    
   13600.00     -1.3199534E-02   3.532089    
   13700.00     -1.8364772E-02   3.488095    
   13800.00     -2.3708964E-02   3.444932    
   13900.00     -2.9221723E-02   3.402580    
   14000.00     -3.4893420E-02   3.361018    
   14100.00     -4.0714785E-02   3.320226    
   14200.00     -4.6677042E-02   3.280185    
   14300.00     -5.2772041E-02   3.240876    
   14400.00     -5.8991838E-02   3.202282    
   14500.00     -6.5329090E-02   3.164384    
   14600.00     -7.1776323E-02   3.127166    
   14700.00     -7.8601547E-02   3.090612    
   14800.00     -8.5248053E-02   3.054708    
   14900.00     -9.1987126E-02   3.019436    
   15000.00     -9.9206395E-02   2.984783    
   15100.00     -0.1061099       2.950734    
   15200.00     -0.1130887       2.917274    
   15300.00     -0.1201381       2.884388    
   15400.00     -0.1272535       2.852064    
   15500.00     -0.1344309       2.820288    
   15600.00     -0.1416659       2.789048    
   15700.00     -0.1489547       2.758332    
   15800.00     -0.1562938       2.728127    
   15900.00     -0.1636795       2.698424    
   16000.00     -0.1711089       2.669209    
   16100.00     -0.1785786       2.640473    
   16200.00     -0.1860857       2.612205    
   16300.00     -0.1936274       2.584395    
   16400.00     -0.2012013       2.557033    
   16500.00     -0.2088048       2.530108    
   16600.00     -0.2164354       2.503612    
   16700.00     -0.2240912       2.477535    
   16800.00     -0.2317697       2.451869    
