  Element 67: Ho      Atomic mass:  164.9304

  Edge          keV         A
    K        55.6177    0.2229
    L-I       9.3942    1.3198
    L-II      8.9178    1.3903
    L-III     8.0711    1.5362
    M1        2.1283    5.8255
    M2        1.9228    6.4481
    M3        1.7412    7.1206
    M4        1.3915    8.9101
    M5        1.3514    9.1745

Scattering factors as a function of energy: 

   8850.000      -9.680772       8.834957    
   8855.000      -9.751709       8.827641    
   8860.000      -9.829691       8.820363    
   8865.000      -9.915963       8.813127    
   8870.000      -10.01216       8.805931    
   8875.000      -10.12047       8.798776    
   8880.000      -10.24389       8.791661    
   8885.000      -10.38669       8.784587    
   8890.000      -10.55529       8.777553    
   8895.000      -10.75996       8.770558    
   8900.000      -11.01862       8.763593    
   8905.000      -11.36653       8.755280    
   8910.000      -11.89599       8.746979    
   8915.000      -13.00587       8.738688    
   8920.000      -13.26799       12.18805    
   8925.000      -11.94601       12.17487    
   8930.000      -11.35031       12.16173    
   8935.000      -10.95795       12.14861    
   8940.000      -10.66350       12.13552    
   8945.000      -10.42684       12.12245    
   8950.000      -10.22850       12.10942    
   8955.000      -10.05744       12.09640    
   8960.000      -9.906842       12.08342    
   8965.000      -9.772163       12.07046    
   8970.000      -9.650245       12.05753    
   8975.000      -9.538794       12.04462    
   8980.000      -9.436111       12.03174    
   8985.000      -9.340841       12.01889    
   8990.000      -9.251968       12.00606    
   8995.000      -9.168668       11.99326    
   9000.000      -9.090267       11.98049    
   9005.000      -9.016214       11.96774    
   9010.000      -8.946050       11.95501    
   9015.000      -8.879386       11.94232    
   9100.000      -8.081142       11.73033    
   9200.000      -7.578029       11.48994    
   9297.000      -7.421097       11.26560    
   9300.000      -7.423469       11.25879    
   9302.000      -7.425406       11.25426    
   9307.000      -7.431573       11.24294    
   9312.000      -7.439786       11.23165    
   9317.000      -7.450264       11.22038    
   9322.000      -7.463273       11.20913    
   9327.000      -7.479141       11.19790    
   9332.000      -7.498271       11.18669    
   9337.000      -7.521167       11.17550    
   9342.000      -7.548477       11.16434    
   9347.000      -7.581041       11.15320    
   9352.000      -7.619988       11.14207    
   9357.000      -7.667065       11.13097    
   9362.000      -7.723990       11.11989    
   9367.000      -7.794627       11.10884    
   9372.000      -7.884314       11.09780    
   9377.000      -8.002738       11.08678    
   9382.000      -8.169783       11.07579    
   9387.000      -8.437933       11.06481    
   9392.000      -9.067738       11.05386    
   9397.000      -8.916597       12.77152    
   9400.000      -8.503256       12.76467    
   9402.000      -8.331771       12.76011    
   9407.000      -8.038497       12.74872    
   9412.000      -7.836514       12.73735    
   9417.000      -7.679978       12.72600    
   9422.000      -7.550766       12.71467    
   9427.000      -7.439839       12.70336    
   9432.000      -7.342034       12.69207    
   9437.000      -7.254119       12.68080    
   9442.000      -7.173939       12.66955    
   9447.000      -7.099993       12.65833    
   9452.000      -7.031154       12.64712    
   9457.000      -6.966607       12.63593    
   9462.000      -6.905716       12.62476    
   9467.000      -6.847980       12.61361    
   9472.000      -6.792996       12.60248    
   9477.000      -6.740438       12.59137    
   9482.000      -6.690034       12.58027    
   9487.000      -6.641561       12.56920    
   9492.000      -6.594836       12.55815    
   9500.000      -6.523283       12.54051    
   9600.000      -5.830191       12.32407    
   9700.000      -5.326464       12.11497    
   9800.000      -4.917689       11.91283    
   9900.000      -4.570215       11.71733    
   10000.00      -4.267158       11.52815    
   10100.00      -3.998438       11.34500    
   10200.00      -3.757382       11.16761    
   10300.00      -3.539244       10.99571    
   10400.00      -3.340493       10.82907    
   10500.00      -3.171454       10.66757    
   10600.00      -3.004435       10.51210    
   10700.00      -2.850019       10.36134    
   10800.00      -2.706740       10.21510    
   10900.00      -2.573372       10.07319    
   11000.00      -2.448864       9.935450    
   11100.00      -2.332319       9.801705    
   11200.00      -2.222958       9.671812    
   11300.00      -2.120095       9.545623    
   11400.00      -2.023130       9.423005    
   11500.00      -1.931529       9.303827    
   11600.00      -1.697573       9.187083    
   11700.00      -1.610176       9.061290    
   11800.00      -1.527699       8.938007    
   11900.00      -1.449803       8.817167    
   12000.00      -1.376188       8.698702    
   12100.00      -1.306581       8.582549    
   12200.00      -1.240740       8.468648    
   12300.00      -1.193580       8.358025    
   12400.00      -1.135073       8.249747    
   12500.00      -1.079619       8.143606    
   12600.00      -1.027039       8.039544    
   12700.00     -0.9771665       7.937508    
   12800.00     -0.9298478       7.837442    
   12900.00     -0.8849413       7.739297    
   13000.00     -0.8423139       7.643021    
   13100.00     -0.8018430       7.548567    
   13200.00     -0.7634140       7.455888    
   13300.00     -0.7269194       7.364939    
   13400.00     -0.6922596       7.275678    
   13500.00     -0.6593406       7.188059    
   13600.00     -0.6280748       7.102044    
   13700.00     -0.5983804       7.017593    
   13800.00     -0.5701796       6.934667    
   13900.00     -0.5434002       6.853229    
   14000.00     -0.5179735       6.773242    
   14100.00     -0.4938356       6.694672    
   14200.00     -0.4709259       6.617486    
   14300.00     -0.4491867       6.541650    
   14400.00     -0.4285647       6.467132    
   14500.00     -0.4090083       6.393901    
   14600.00     -0.3904695       6.321927    
   14700.00     -0.3729028       6.251182    
   14800.00     -0.3562646       6.181636    
   14900.00     -0.3405142       6.113263    
   15000.00     -0.3256127       6.046035    
   15100.00     -0.3115231       5.979928    
   15200.00     -0.2982107       5.914915    
   15300.00     -0.2856420       5.850971    
   15400.00     -0.2737856       5.788075    
   15500.00     -0.2626113       5.726201    
   15600.00     -0.2520905       5.665328    
   15700.00     -0.2421962       5.605435    
   15800.00     -0.2329022       5.546499    
   15900.00     -0.2241841       5.488500    
   16000.00     -0.2160182       5.431418    
   16100.00     -0.2083820       5.375234    
   16200.00     -0.2033312       5.319968    
   16300.00     -0.1967000       5.265594    
   16400.00     -0.1905351       5.212059    
   16500.00     -0.1848179       5.159350    
   16600.00     -0.1795307       5.107447    
   16700.00     -0.1746566       5.056334    
   16800.00     -0.1701793       5.005996    
   16900.00     -0.1660832       4.956416    
   17000.00     -0.1623535       4.907578    
   17100.00     -0.1589759       4.859468    
   17200.00     -0.1559370       4.812072    
   17300.00     -0.1532236       4.765375    
   17400.00     -0.1508231       4.719362    
   17500.00     -0.1487237       4.674020    
   17600.00     -0.1469139       4.629337    
   17700.00     -0.1453826       4.585299    
   17800.00     -0.1441194       4.541895    
   17900.00     -0.1477555       4.499203    
   18000.00     -0.1470189       4.457170    
   18100.00     -0.1465174       4.415733    
   18200.00     -0.1462422       4.374882    
   18300.00     -0.1461847       4.334606    
   18400.00     -0.1463367       4.294892    
   18500.00     -0.1466903       4.255731    
   18600.00     -0.1472381       4.217111    
   18700.00     -0.1479728       4.179024    
   18800.00     -0.1506036       4.141465    
   18900.00     -0.1517070       4.104463    
   19000.00     -0.1529760       4.067964    
   19100.00     -0.1544043       4.031958    
   19200.00     -0.1559860       3.996438    
   19300.00     -0.1577153       3.961395    
   19400.00     -0.1595869       3.926819    
   19500.00     -0.1615954       3.892702    
   19600.00     -0.1637356       3.859035    
   19700.00     -0.1660028       3.825812    
   19800.00     -0.1683920       3.793024    
   19900.00     -0.1708990       3.760663    
   20000.00     -0.1735191       3.728721    
   20100.00     -0.1762483       3.697192    
   20200.00     -0.1790825       3.666068    
   20300.00     -0.1820177       3.635343    
   20400.00     -0.1850503       3.605008    
   20500.00     -0.1881766       3.575058    
   20600.00     -0.1913930       3.545486    
   20700.00     -0.1946962       3.516286    
   20800.00     -0.1980830       3.487451    
   20900.00     -0.2015503       3.458975    
   21000.00     -0.2050951       3.430852    
   21100.00     -0.2087143       3.403076    
   21200.00     -0.2124053       3.375641    
   21300.00     -0.2161653       3.348543    
   21400.00     -0.2199918       3.321774    
   21500.00     -0.2238822       3.295329    
   21600.00     -0.2278341       3.269204    
   21700.00     -0.2318453       3.243394    
   21800.00     -0.2359132       3.217892    
   21900.00     -0.2400360       3.192695    
   22000.00     -0.2442115       3.167796    
   22100.00     -0.2484377       3.143192    
   22200.00     -0.2527126       3.118878    
   22300.00     -0.2570342       3.094849    
   22400.00     -0.2614010       3.071100    
   22500.00     -0.2658111       3.047627    
   22600.00     -0.2702627       3.024427    
   22700.00     -0.2747545       3.001493    
   22800.00     -0.2792845       2.978824    
   22900.00     -0.2838516       2.956413    
   23000.00     -0.2884541       2.934258    
   23100.00     -0.2930907       2.912354    
   23200.00     -0.2977597       2.890698    
   23300.00     -0.3026122       2.869286    
   23400.00     -0.3073424       2.848114    
   23500.00     -0.3121023       2.827178    
   23600.00     -0.3168900       2.806475    
   23700.00     -0.3217045       2.786002    
   23800.00     -0.3265446       2.765755    
   23900.00     -0.3314093       2.745730    
   24000.00     -0.3362977       2.725925    
   24100.00     -0.3412087       2.706335    
   24200.00     -0.3461414       2.686959    
   24300.00     -0.3510949       2.667792    
   24400.00     -0.3560685       2.648832    
   24500.00     -0.3610612       2.630075    
   24600.00     -0.3660724       2.611520    
   24700.00     -0.3711012       2.593162    
   24800.00     -0.3761469       2.574999    
   24900.00     -0.3812089       2.557029    
