  Element 50: Sn      Atomic mass:  118.6900

  Edge          keV         A
    K        29.2001    0.4246
    L-I       4.4647    2.7770
    L-II      4.1561    2.9832
    L-III     3.9288    3.1558

Scattering factors as a function of energy: 

   21300.00      -1.033803      0.9997833    
   21400.00      -1.045270      0.9913708    
   21500.00      -1.056825      0.9830652    
   21600.00      -1.068470      0.9748646    
   21700.00      -1.080210      0.9667673    
   21800.00      -1.092049      0.9587715    
   21900.00      -1.103990      0.9508754    
   22000.00      -1.116039      0.9430773    
   22100.00      -1.128201      0.9353758    
   22200.00      -1.140479      0.9277690    
   22300.00      -1.152878      0.9202557    
   22400.00      -1.165406      0.9128339    
   22500.00      -1.178065      0.9055024    
   22600.00      -1.190863      0.8982597    
   22700.00      -1.203805      0.8911043    
   22800.00      -1.216898      0.8840349    
   22900.00      -1.230147      0.8770499    
   23000.00      -1.243560      0.8701481    
   23100.00      -1.257144      0.8633280    
   23200.00      -1.270907      0.8565885    
   23300.00      -1.284855      0.8499284    
   23400.00      -1.298998      0.8433461    
   23500.00      -1.313344      0.8368406    
   23600.00      -1.327903      0.8304106    
   23700.00      -1.342683      0.8240550    
   23800.00      -1.357695      0.8177728    
   23900.00      -1.372950      0.8115625    
   24000.00      -1.388459      0.8054233    
   24100.00      -1.404234      0.7993538    
   24200.00      -1.420288      0.7933533    
   24300.00      -1.436634      0.7874206    
   24400.00      -1.453287      0.7815545    
   24500.00      -1.470262      0.7757542    
   24600.00      -1.487575      0.7700186    
   24700.00      -1.505244      0.7643468    
   24800.00      -1.523286      0.7587379    
   24900.00      -1.541722      0.7531908    
