  Element 57: La      Atomic mass:  138.9055

  Edge          keV         A
    K        38.9246    0.3185
    L-I       6.2663    1.9786
    L-II      5.8906    2.1048
    L-III     5.4827    2.2614
    M1        1.3613    9.1078
    M2        1.2044   10.2943
    M3        1.1234   11.0365

Scattering factors as a function of energy: 

   6239.000      -8.186407       11.61829    
   6244.000      -8.267777       11.60220    
   6249.000      -8.378744       11.58615    
   6254.000      -8.539527       11.57014    
   6259.000      -8.803096       11.55418    
   6264.000      -9.426500       11.53825    
   6269.000      -9.305331       13.30972    
   6274.000      -8.677212       13.29322    
   6279.000      -8.361211       13.27676    
   6284.000      -8.141422       13.26034    
   6289.000      -7.969331       13.24396    
   6294.000      -7.825894       13.22761    
   6299.000      -7.701655       13.21131    
   6300.000      -7.678581       13.20805    
   6304.000      -7.591193       13.19504    
   6309.000      -7.491146       13.17881    
   6314.000      -7.399262       13.16262    
   6319.000      -7.313973       13.14646    
   6324.000      -7.234114       13.13035    
   6329.000      -7.158830       13.11427    
   6334.000      -7.087456       13.09822    
   6339.000      -7.019468       13.08222    
   6344.000      -6.954452       13.06625    
   6349.000      -6.892054       13.05032    
   6354.000      -6.831998       13.03443    
   6359.000      -6.774047       13.01857    
   6364.000      -6.718008       13.00275    
   6400.000      -6.358160       12.88991    
   6500.000      -5.591795       12.58600    
   6600.000      -5.005198       12.29539    
   6700.000      -4.522897       12.01726    
   6800.000      -4.112245       11.75082    
   6900.000      -3.755228       11.49537    
   7000.000      -3.440352       11.25024    
   7100.000      -3.159649       11.01483    
   7200.000      -2.834547       10.78121    
   7300.000      -2.603443       10.55291    
   7400.000      -2.393859       10.33226    
   7500.000      -2.202994       10.11890    
   7600.000      -2.028556       9.912477    
   7700.000      -1.826330       9.710340    
   7800.000      -1.677601       9.511095    
   7900.000      -1.540995       9.317595    
   8000.000      -1.415344       9.129616    
   8100.000      -1.299641       8.946941    
   8200.000      -1.215755       8.770880    
   8300.000      -1.118467       8.601179    
   8400.000      -1.028518       8.436403    
   8500.000     -0.9452928       8.276357    
   8600.000     -0.8682409       8.120859    
   8700.000     -0.7968718       7.969741    
   8800.000     -0.7307435       7.822833    
   8900.000     -0.6694605       7.679981    
   9000.000     -0.6125937       7.541767    
   9100.000     -0.5598046       7.407331    
   9200.000     -0.5107961       7.276537    
   9300.000     -0.4652959       7.149249    
   9400.000     -0.4230576       7.025342    
   9500.000     -0.3838539       6.904692    
   9600.000     -0.3474778       6.787187    
   9700.000     -0.3137390       6.672716    
   9800.000     -0.2824617       6.561172    
   9900.000     -0.2534849       6.452456    
   10000.00     -0.2266592       6.346470    
   10100.00     -0.2018472       6.243122    
   10200.00     -0.1789218       6.142324    
   10300.00     -0.1577645       6.043991    
   10400.00     -0.1382662       5.948041    
   10500.00     -0.1203249       5.854398    
   10600.00     -0.1038463       5.762986    
   10700.00     -8.8742673E-02   5.673734    
   10800.00     -7.4931666E-02   5.586573    
   10900.00     -6.2337168E-02   5.501437    
   11000.00     -5.2210085E-02   5.418286    
   11100.00     -4.1875381E-02   5.337081    
   11200.00     -3.2552976E-02   5.257721    
   11300.00     -2.4184426E-02   5.180150    
   11400.00     -1.6715340E-02   5.104312    
   11500.00     -1.0094476E-02   5.030156    
   11600.00     -4.2739972E-03   4.957632    
   11700.00      7.9099974E-04   4.886692    
   11800.00      3.6768452E-03   4.817300    
   11900.00      7.3301033E-03   4.749457    
   12000.00      1.0350295E-02   4.683063    
