  Element 89: Ac      Atomic mass:  227.0278

  Edge          keV         A
    K       106.7553    0.1161
    L-I      19.8400    0.6249
    L-II     19.0832    0.6497
    L-III    15.8710    0.7812
    M1        5.0020    2.4787
    M2        4.6560    2.6629
    M3        3.9090    3.1718
    M4        3.3702    3.6788
    M5        3.2190    3.8516
    N1        1.2690    9.7702
    N2        1.0800   11.4800

Scattering factors as a function of energy: 

   8700.000      -3.886124       10.46840    
   8800.000      -3.894275       10.28359    
   8900.000      -3.905430       10.10375    
   9000.000      -3.916152       9.930882    
   9100.000      -3.928816       9.762647    
   9200.000      -3.943322       9.598877    
   9300.000      -3.959583       9.439407    
   9400.000      -3.978755       9.284150    
   9500.000      -3.998516       9.132922    
   9600.000      -4.019797       8.985576    
   9700.000      -4.042538       8.841974    
   9800.000      -4.066680       8.701985    
   9900.000      -4.092176       8.565487    
   10000.00      -4.118979       8.432357    
   10100.00      -4.148120       8.302538    
   10200.00      -4.177501       8.175877    
   10300.00      -4.208081       8.052263    
   10400.00      -4.239832       7.931599    
   10500.00      -4.272734       7.813785    
   10600.00      -4.306768       7.698730    
   10700.00      -4.341920       7.586348    
   10800.00      -4.378180       7.476550    
   10900.00      -4.415543       7.369256    
   11000.00      -4.454005       7.264388    
   11100.00      -4.493568       7.161870    
   11200.00      -4.534237       7.061632    
   11300.00      -4.576022       6.963601    
   11400.00      -4.618935       6.867713    
   11500.00      -4.663099       6.773902    
   11600.00      -4.708325       6.682107    
   11700.00      -4.754742       6.592270    
   11800.00      -4.802379       6.504332    
   11900.00      -4.851273       6.418238    
   12000.00      -4.903591       6.333945    
   12100.00      -4.955141       6.251409    
   12200.00      -5.008074       6.170565    
   12300.00      -5.062451       6.091362    
   12400.00      -5.118335       6.013759    
   12500.00      -5.175797       5.937707    
   12600.00      -5.234915       5.863166    
   12700.00      -5.298702       5.790104    
   12800.00      -5.361427       5.718497    
   12900.00      -5.426098       5.648282    
   13000.00      -5.492840       5.579420    
   13100.00      -5.561788       5.511876    
   13200.00      -5.633094       5.445615    
   13300.00      -5.706930       5.380604    
   13400.00      -5.783487       5.316811    
   13500.00      -5.862984       5.254204    
   13600.00      -5.945666       5.192752    
   13700.00      -6.031816       5.132427    
   13800.00      -6.121755       5.073200    
   13900.00      -6.215857       5.015044    
   14000.00      -6.315509       4.957942    
   14100.00      -6.419294       4.901868    
   14200.00      -6.528758       4.846787    
   14300.00      -6.644608       4.792675    
   14400.00      -6.767686       4.739509    
   14500.00      -6.899017       4.687265    
   14600.00      -7.039871       4.635921    
   14700.00      -7.194258       4.585507    
   14800.00      -7.359258       4.535952    
   14900.00      -7.539927       4.487235    
   15000.00      -7.739720       4.439336    
   15100.00      -7.963367       4.392236    
   15200.00      -8.217596       4.345918    
   15300.00      -8.512460       4.300363    
   15400.00      -8.863907       4.255553    
   15500.00      -9.299560       4.211473    
   15600.00      -9.873715       4.168105    
   15700.00      -10.71850       4.125434    
   15774.00      -11.76483       4.094297    
   15779.00      -11.86284       4.092207    
   15784.00      -11.96640       4.090118    
   15789.00      -12.07613       4.088031    
   15794.00      -12.19286       4.085946    
   15799.00      -12.31751       4.083861    
   15800.00      -12.34350       4.083445    
   15804.00      -12.45123       4.081779    
   15809.00      -12.59543       4.079699    
   15814.00      -12.75187       4.077620    
   15819.00      -12.92282       4.075542    
   15824.00      -13.11121       4.073467    
   15829.00      -13.32099       4.071393    
   15834.00      -13.55754       4.069321    
   15839.00      -13.82880       4.067251    
   15844.00      -14.14654       4.065182    
   15849.00      -14.52995       4.063114    
   15854.00      -15.01318       4.061049    
   15859.00      -15.66677       4.058985    
   15864.00      -16.67954       4.056922    
   15869.00      -19.03732       4.054862    
   15874.00      -18.28742       9.987927    
   15879.00      -16.42908       9.982911    
   15884.00      -15.50766       9.977898    
   15889.00      -14.88919       9.972887    
   15894.00      -14.42274       9.967880    
   15899.00      -14.04801       9.962876    
   15900.00      -13.98115       9.961876    
