  Element 45: Rh      Atomic mass:  102.9055

  Edge          keV         A
    K        23.2199    0.5340
    L-I       3.4119    3.6339
    L-II      3.1461    3.9409
    L-III     3.0038    4.1276

Scattering factors as a function of energy: 

   21300.00      -2.007709      0.6422694    
   21400.00      -2.051966      0.6367880    
   21500.00      -2.098876      0.6313769    
   21600.00      -2.148776      0.6260349    
   21700.00      -2.202066      0.6207607    
   21800.00      -2.259897      0.6155540    
   21900.00      -2.321526      0.6104140    
   22000.00      -2.388359      0.6053386    
   22100.00      -2.461323      0.6003264    
   22200.00      -2.541611      0.5953766    
   22300.00      -2.630789      0.5904882    
   22400.00      -2.730981      0.5856599    
   22500.00      -2.845146      0.5808909    
   22600.00      -2.977598      0.5761802    
   22700.00      -3.134965      0.5715267    
   22800.00      -3.328202      0.5669298    
   22900.00      -3.577406      0.5623882    
   23000.00      -3.925900      0.5579013    
   23100.00      -4.499771      0.5534680    
   23122.00      -4.693714      0.5524998    
   23127.00      -4.744025      0.5522801    
   23132.00      -4.797159      0.5520605    
   23137.00      -4.853469      0.5518411    
   23142.00      -4.913374      0.5516218    
   23147.00      -4.977305      0.5514027    
   23152.00      -5.045887      0.5511836    
   23157.00      -5.119778      0.5509647    
   23162.00      -5.199922      0.5507459    
   23167.00      -5.287384      0.5505273    
   23172.00      -5.383695      0.5503088    
   23177.00      -5.490731      0.5500904    
   23182.00      -5.611203      0.5498722    
   23187.00      -5.748984      0.5496540    
   23192.00      -5.909683      0.5494361    
   23197.00      -6.102556      0.5492182    
   23200.00      -6.239835      0.5490875    
   23202.00      -6.343397      0.5490005    
   23207.00      -6.664284      0.5487828    
   23212.00      -7.145240      0.5485654    
   23217.00      -8.129757      0.5483481    
   23222.00      -8.458675       3.650104    
   23227.00      -7.253163       3.648633    
   23232.00      -6.724236       3.647163    
   23237.00      -6.380579       3.645696    
   23242.00      -6.125194       3.644229    
   23247.00      -5.921881       3.642764    
   23252.00      -5.752777       3.641300    
   23257.00      -5.608054       3.639838    
   23262.00      -5.481483       3.638376    
   23267.00      -5.368944       3.636917    
   23272.00      -5.267683       3.635458    
   23277.00      -5.175563       3.634001    
   23282.00      -5.091116       3.632546    
   23287.00      -5.013093       3.631091    
   23292.00      -4.940630       3.629638    
   23297.00      -4.872931       3.628186    
   23300.00      -4.834384       3.627316    
   23302.00      -4.809445       3.626736    
   23307.00      -4.749653       3.625288    
   23312.00      -4.693123       3.623840    
   23317.00      -4.639552       3.622394    
   23400.00      -4.009283       3.598582    
   23500.00      -3.553246       3.570375    
   23600.00      -3.235044       3.542684    
   23700.00      -2.990013       3.515496    
   23800.00      -2.790632       3.488801    
   23900.00      -2.622554       3.462587    
   24000.00      -2.477342       3.436844    
   24100.00      -2.349596       3.411560    
   24200.00      -2.235647       3.386726    
   24300.00      -2.132887       3.362333    
   24400.00      -2.039377       3.338369    
   24500.00      -1.953669       3.314826    
   24600.00      -1.874614       3.291694    
   24700.00      -1.801307       3.268965    
   24800.00      -1.733019       3.246631    
   24900.00      -1.669145       3.224683    
