  Element 75: Re      Atomic mass:  186.2070

  Edge          keV         A
    K        71.6764    0.1730
    L-I      12.5267    0.9898
    L-II     11.9587    1.0368
    L-III    10.5353    1.1768
    M1        2.9317    4.2291
    M2        2.6816    4.6235
    M3        2.3673    5.2374
    M4        1.9489    6.3618
    M5        1.8829    6.5847

Scattering factors as a function of energy: 

   11871.00      -8.934281       8.341637    
   11876.00      -8.988049       8.335587    
   11881.00      -9.045592       8.329544    
   11886.00      -9.107432       8.323506    
   11891.00      -9.174164       8.317476    
   11896.00      -9.246531       8.311452    
   11900.00      -9.309094       8.306638    
   11901.00      -9.325465       8.305434    
   11906.00      -9.412151       8.299423    
   11911.00      -9.508128       8.293419    
   11916.00      -9.615449       8.287421    
   11921.00      -9.736913       8.281431    
   11926.00      -9.876597       8.275447    
   11931.00      -10.04054       8.269468    
   11936.00      -10.23843       8.263496    
   11941.00      -10.48728       8.257531    
   11946.00      -10.82134       8.251573    
   11951.00      -11.32800       8.245621    
   11956.00      -12.39596       8.239675    
   11961.00      -12.56307       11.46259    
   11966.00      -11.36858       11.45447    
   11971.00      -10.82548       11.44635    
   11976.00      -10.46846       11.43825    
   11981.00      -10.20142       11.43015    
   11986.00      -9.987638       11.42207    
   11991.00      -9.809144       11.41399    
   11996.00      -9.655773       11.40592    
   12000.00      -9.546856       11.39947    
   12001.00      -9.521217       11.39786    
   12006.00      -9.401310       11.38981    
   12011.00      -9.293086       11.38177    
   12016.00      -9.194450       11.37373    
   12021.00      -9.103814       11.36571    
   12026.00      -9.019959       11.35769    
   12031.00      -8.941930       11.34968    
   12036.00      -8.868961       11.34169    
   12041.00      -8.800432       11.33370    
   12046.00      -8.735845       11.32572    
   12051.00      -8.674747       11.31774    
   12056.00      -8.616797       11.30978    
   12100.00      -8.205853       11.24007    
   12200.00      -7.630594       11.08409    
   12300.00      -7.316003       10.93143    
   12400.00      -7.219546       10.78200    
   12429.00      -7.252605       10.73925    
   12434.00      -7.262850       10.73191    
   12439.00      -7.274763       10.72457    
   12444.00      -7.288520       10.71725    
   12449.00      -7.304333       10.70993    
   12454.00      -7.322455       10.70261    
   12459.00      -7.343191       10.69531    
   12464.00      -7.366930       10.68801    
   12469.00      -7.394143       10.68072    
   12474.00      -7.425438       10.67344    
   12479.00      -7.461605       10.66617    
   12484.00      -7.503695       10.65890    
   12489.00      -7.553158       10.65164    
   12494.00      -7.612066       10.64439    
   12499.00      -7.683512       10.63715    
   12500.00      -7.699707       10.63570    
   12504.00      -7.772505       10.62991    
   12509.00      -7.887774       10.62269    
   12514.00      -8.046921       10.61547    
   12519.00      -8.294848       10.60825    
   12524.00      -8.831315       10.60105    
   12529.00      -8.902956       12.25160    
   12534.00      -8.278144       12.24411    
   12539.00      -7.987692       12.23664    
   12544.00      -7.792641       12.22917    
   12549.00      -7.643707       12.22171    
   12554.00      -7.522164       12.21425    
   12559.00      -7.418725       12.20681    
   12564.00      -7.328191       12.19937    
   12569.00      -7.247331       12.19193    
   12574.00      -7.173997       12.18451    
   12579.00      -7.106693       12.17709    
   12584.00      -7.044343       12.16968    
   12589.00      -6.986110       12.16227    
   12594.00      -6.931380       12.15487    
   12599.00      -6.879662       12.14748    
   12600.00      -6.869640       12.14600    
   12604.00      -6.830565       12.14010    
   12609.00      -6.783769       12.13272    
   12614.00      -6.739011       12.12535    
   12619.00      -6.696073       12.11799    
   12624.00      -6.654778       12.11063    
   12700.00      -6.155131       11.99967    
   12800.00      -5.683146       11.85610    
   12900.00      -5.307895       11.71517    
   13000.00      -4.990320       11.57683    
   13100.00      -4.712449       11.44100    
   13200.00      -4.464355       11.30762    
   13300.00      -4.239818       11.17663    
   13400.00      -4.034608       11.04795    
