  Element 28: Ni      Atomic mass:   58.6900

  Edge          keV         A
    K         8.3328    1.4879
    L-I       1.0081   12.2988

Scattering factors as a function of energy: 

   19800.00      0.3382377      0.8900563    
   19900.00      0.3376369      0.8819610    
   20000.00      0.3370086      0.8739735    
   20100.00      0.3363539      0.8660919    
   20200.00      0.3356739      0.8583143    
   20300.00      0.3349697      0.8506390    
   20400.00      0.3342421      0.8430640    
   20500.00      0.3334922      0.8355876    
   20600.00      0.3327208      0.8282082    
   20700.00      0.3319290      0.8209241    
   20800.00      0.3311175      0.8137337    
   20900.00      0.3302871      0.8066353    
   21000.00      0.3294387      0.7996272    
   21100.00      0.3285730      0.7927082    
   21200.00      0.3276907      0.7858766    
   21300.00      0.3267925      0.7791311    
   21400.00      0.3258784      0.7724701    
   21500.00      0.3239159      0.7658927    
   21600.00      0.3229596      0.7594026    
   21700.00      0.3220059      0.7529928    
   21800.00      0.3210402      0.7466622    
   21900.00      0.3200627      0.7404092    
   22000.00      0.3190738      0.7342327    
   22100.00      0.3180740      0.7281314    
   22200.00      0.3170639      0.7221040    
   22300.00      0.3160440      0.7161497    
   22400.00      0.3150147      0.7102668    
   22500.00      0.3139764      0.7044545    
   22600.00      0.3129297      0.6987115    
   22700.00      0.3118750      0.6930369    
   22800.00      0.3108127      0.6874295    
   22900.00      0.3097432      0.6818882    
   23000.00      0.3086668      0.6764120    
   23100.00      0.3075839      0.6709999    
   23200.00      0.3064950      0.6656510    
   23300.00      0.3054003      0.6603642    
   23400.00      0.3043002      0.6551386    
   23500.00      0.3031951      0.6499731    
   23600.00      0.3020851      0.6448670    
   23700.00      0.3009707      0.6398193    
   23800.00      0.2998521      0.6348292    
   23900.00      0.2987296      0.6298957    
   24000.00      0.2976034      0.6250180    
   24100.00      0.2964739      0.6201952    
   24200.00      0.2953413      0.6154267    
   24300.00      0.2942057      0.6107115    
   24400.00      0.2930675      0.6060488    
   24500.00      0.2919269      0.6014379    
   24600.00      0.2907841      0.5968779    
   24700.00      0.2896392      0.5923683    
   24800.00      0.2884926      0.5879083    
   24900.00      0.2873443      0.5834970    
