  Element 82: Pb      Atomic mass:  207.2000

  Edge          keV         A
    K        88.0045    0.1409
    L-I      15.8608    0.7817
    L-II     15.2000    0.8157
    L-III    13.0352    0.9511
    M1        3.8507    3.2198
    M2        3.5542    3.4884
    M3        3.0664    4.0433
    M4        2.5856    4.7952
    M5        2.4840    4.9913

Scattering factors as a function of energy: 

   5500.000      -4.180268       15.27384    
   5600.000      -4.085308       14.86888    
   5700.000      -4.002445       14.48022    
   5800.000      -3.930537       14.10695    
   5900.000      -3.868577       13.74826    
   6000.000      -3.815672       13.40336    
   6100.000      -3.771028       13.07153    
   6200.000      -3.747177       12.75290    
   6300.000      -3.717288       12.44644    
   6400.000      -3.693676       12.15117    
   6500.000      -3.675838       11.86655    
   6600.000      -3.663323       11.59205    
   6700.000      -3.655725       11.32718    
   6800.000      -3.652680       11.07147    
   6900.000      -3.653862       10.82450    
   7000.000      -3.658974       10.58587    
   7100.000      -3.667754       10.35518    
   7200.000      -3.692973       10.13300    
   7300.000      -3.708660       9.918172    
   7400.000      -3.727306       9.710296    
   7500.000      -3.748738       9.509064    
   7600.000      -3.772803       9.314188    
   7700.000      -3.799365       9.125395    
   7800.000      -3.847746       8.942866    
   7900.000      -3.878862       8.766081    
   8000.000      -3.912127       8.594642    
   8100.000      -3.947464       8.428327    
   8200.000      -3.998738       8.267003    
   8300.000      -4.037871       8.110578    
   8400.000      -4.078898       7.958678    
   8500.000      -4.121785       7.811122    
   8600.000      -4.166505       7.667742    
   8700.000      -4.213049       7.528379    
   8800.000      -4.263678       7.392890    
   8900.000      -4.313832       7.261123    
   9000.000      -4.364697       7.134562    
   9100.000      -4.417167       7.011460    
   9200.000      -4.471261       6.891689    
   9300.000      -4.527005       6.775124    
   9400.000      -4.584430       6.661649    
   9500.000      -4.643582       6.551150    
   9600.000      -4.704510       6.443522    
   9700.000      -4.767277       6.338663    
   9800.000      -4.831954       6.236474    
   9900.000      -4.898623       6.136864    
   10000.00      -4.967663       6.039743    
   10100.00      -5.038640       5.945026    
   10200.00      -5.111938       5.852633    
   10300.00      -5.187699       5.762484    
   10400.00      -5.266083       5.674505    
   10500.00      -5.347272       5.588624    
   10600.00      -5.431471       5.504773    
   10700.00      -5.518916       5.422887    
   10800.00      -5.610406       5.342906    
   10900.00      -5.705198       5.264778    
   11000.00      -5.804165       5.188432    
   11100.00      -5.907712       5.113814    
   11200.00      -6.016246       5.040871    
   11300.00      -6.131982       4.969586    
   11400.00      -6.252499       4.899878    
   11500.00      -6.380071       4.831696    
   11600.00      -6.515643       4.764994    
   11700.00      -6.660361       4.699729    
   11800.00      -6.815650       4.635858    
   11900.00      -6.983290       4.573340    
   12000.00      -7.165565       4.512136    
   12100.00      -7.365558       4.452208    
   12200.00      -7.587848       4.393530    
   12300.00      -7.836529       4.336058    
   12400.00      -8.120387       4.279756    
   12500.00      -8.451629       4.224592    
   12600.00      -8.850162       4.170534    
   12700.00      -9.351839       4.117553    
   12800.00      -10.03179       4.065618    
   12900.00      -11.09598       4.014702    
   12938.00      -11.73231       3.995615    
   12943.00      -11.83432       3.993114    
   12948.00      -11.94207       3.990616    
   12953.00      -12.05624       3.988120    
   12958.00      -12.17765       3.985626    
   12963.00      -12.30726       3.983135    
   12968.00      -12.44626       3.980646    
   12973.00      -12.59608       3.978160    
   12978.00      -12.75859       3.975677    
   12983.00      -12.93611       3.973195    
   12988.00      -13.13166       3.970716    
   12993.00      -13.34931       3.968240    
   12998.00      -13.59464       3.965765    
   13000.00      -13.70220       3.964777    
   13003.00      -13.87569       3.963294    
   13008.00      -14.20459       3.960824    
   13013.00      -14.60081       3.958358    
   13018.00      -15.09923       3.955893    
   13023.00      -15.77094       3.953431    
   13028.00      -16.80370       3.950971    
   13033.00      -19.12954       3.948514    
   13038.00      -18.66969       10.13475    
   13043.00      -16.64524       10.12825    
   13048.00      -15.66456       10.12175    
   13053.00      -15.01069       10.11527    
   13058.00      -14.51925       10.10878    
   13063.00      -14.12514       10.10231    
   13068.00      -13.79607       10.09584    
   13073.00      -13.51355       10.08937    
   13078.00      -13.26600       10.08292    
   13083.00      -13.04570       10.07646    
   13088.00      -12.84722       10.07002    
   13093.00      -12.66662       10.06358    
   13098.00      -12.50098       10.05714    
   13100.00      -12.43834       10.05457    
   13103.00      -12.34796       10.05071    
   13108.00      -12.20578       10.04429    
   13113.00      -12.07302       10.03787    
   13118.00      -11.94852       10.03146    
   13123.00      -11.83130       10.02506    
   13128.00      -11.72056       10.01866    
   13133.00      -11.61564       10.01226    
   13200.00      -10.57346       9.927151    
   13300.00      -9.638274       9.802046    
   13400.00      -9.016306       9.679270    
   13500.00      -8.559631       9.558688    
   13600.00      -8.206438       9.440249    
   13700.00      -7.925482       9.323904    
   13800.00      -7.698913       9.209602    
   13900.00      -7.515745       9.097299    
   14000.00      -7.368952       8.986945    
   14100.00      -7.254039       8.878498    
   14200.00      -7.168299       8.771915    
   14300.00      -7.110453       8.667152    
   14400.00      -7.082293       8.564181    
   14500.00      -7.081901       8.462958    
   14600.00      -7.114468       8.363437    
   14700.00      -7.186444       8.265581    
   14800.00      -7.309612       8.169353    
   14900.00      -7.506956       8.074718    
   15000.00      -7.830964       7.981640    
   15100.00      -8.450047       7.890086    
