  Element 44: Ru      Atomic mass:  101.0700

  Edge          keV         A
    K        22.1172    0.5606
    L-I       3.2240    3.8457
    L-II      2.9669    4.1789
    L-III     2.8379    4.3689

Scattering factors as a function of energy: 

   13300.00     -0.6247763       1.368039    
   13400.00     -0.6381167       1.349889    
   13500.00     -0.6514678       1.332102    
   13600.00     -0.6648328       1.314669    
   13700.00     -0.6782145       1.297580    
   13800.00     -0.6916166       1.280826    
   13900.00     -0.7050430       1.264399    
   14000.00     -0.7201256       1.248299    
   14100.00     -0.7336261       1.232533    
   14200.00     -0.7471575       1.217070    
   14300.00     -0.7607265       1.201900    
   14400.00     -0.7743369       1.187017    
   14500.00     -0.7879935       1.172412    
   14600.00     -0.8017004       1.158080    
   14700.00     -0.8154621       1.144013    
   14800.00     -0.8292835       1.130204    
   14900.00     -0.8431693       1.116648    
   15000.00     -0.8571248       1.103338    
   15100.00     -0.8711551       1.090268    
   15200.00     -0.8852656       1.077432    
   15300.00     -0.8994623       1.064825    
   15400.00     -0.9137507       1.052441    
   15500.00     -0.9281372       1.040274    
   15600.00     -0.9426281       1.028320    
   15700.00     -0.9572300       1.016575    
   15800.00     -0.9719500       1.005031    
   15900.00     -0.9867951      0.9936862    
   16000.00      -1.001773      0.9825346    
   16100.00      -1.016892      0.9715722    
   16200.00      -1.032159      0.9607945    
   16300.00      -1.047584      0.9501977    
   16400.00      -1.063176      0.9397772    
   16500.00      -1.078945      0.9295293    
   16600.00      -1.094899      0.9194502    
   16700.00      -1.111051      0.9095360    
   16800.00      -1.127410      0.8997835    
   16900.00      -1.143988      0.8901886    
   17000.00      -1.160799      0.8807482    
   17100.00      -1.177855      0.8714589    
   17200.00      -1.195170      0.8623174    
   17300.00      -1.212758      0.8533208    
   17400.00      -1.230636      0.8444656    
   17500.00      -1.248819      0.8357490    
   17600.00      -1.267326      0.8271682    
   17700.00      -1.286174      0.8187202    
   17800.00      -1.305385      0.8104024    
   17900.00      -1.324980      0.8022119    
   18000.00      -1.344981      0.7941461    
   18100.00      -1.365414      0.7862027    
   18200.00      -1.386304      0.7783789    
   18300.00      -1.407682      0.7706726    
   18400.00      -1.429577      0.7630811    
   18500.00      -1.452023      0.7556024    
   18600.00      -1.475057      0.7482339    
   18700.00      -1.498719      0.7409738    
   18800.00      -1.523049      0.7338198    
   18900.00      -1.548098      0.7267697    
   19000.00      -1.573916      0.7198216    
   19100.00      -1.600559      0.7129735    
   19200.00      -1.628091      0.7062234    
   19300.00      -1.656581      0.6995696    
   19400.00      -1.686105      0.6930101    
   19500.00      -1.716750      0.6865431    
   19600.00      -1.749229      0.6801671    
   19700.00      -1.782413      0.6738819    
   19800.00      -1.817042      0.6676843    
   19900.00      -1.853255      0.6615722    
   20000.00      -1.891211      0.6555443    
   20100.00      -1.931090      0.6495990    
   20200.00      -1.973101      0.6437348    
   20300.00      -2.017488      0.6379502    
   20400.00      -2.064537      0.6322437    
   20500.00      -2.114587      0.6266140    
   20600.00      -2.168041      0.6210595    
   20700.00      -2.225388      0.6155791    
   20800.00      -2.287225      0.6101714    
   20900.00      -2.354297      0.6048350    
   21000.00      -2.427539      0.5995687    
   21100.00      -2.508157      0.5943713    
   21200.00      -2.597737      0.5892416    
   21300.00      -2.698424      0.5841784    
   21400.00      -2.813221      0.5791804    
   21500.00      -2.946507      0.5742466    
   21600.00      -3.105022      0.5693760    
   21700.00      -3.299940      0.5645673    
   21800.00      -3.551818      0.5598197    
   21900.00      -3.905269      0.5551319    
   22000.00      -4.491697      0.5505030    
   22020.00      -4.671601      0.5495842    
   22025.00      -4.722508      0.5493549    
   22030.00      -4.776338      0.5491256    
   22035.00      -4.833394      0.5488966    
   22040.00      -4.894126      0.5486676    
   22045.00      -4.958982      0.5484389    
   22050.00      -5.028579      0.5482103    
   22055.00      -5.103683      0.5479818    
   22060.00      -5.185158      0.5477535    
   22065.00      -5.274240      0.5475252    
   22070.00      -5.372393      0.5472972    
   22075.00      -5.481736      0.5470693    
