  Element 43: Tc      Atomic mass:   98.0000

  Edge          keV         A
    K        21.0440    0.5892
    L-I       3.0425    4.0751
    L-II      2.7932    4.4388
    L-III     2.6769    4.6316

Scattering factors as a function of energy: 

   17500.00      -1.429940      0.7589507    
   17600.00      -1.453568      0.7511376    
   17700.00      -1.478417      0.7434462    
   17800.00      -1.503391      0.7358751    
   17900.00      -1.529116      0.7284200    
   18000.00      -1.555645      0.7210788    
   18100.00      -1.583040      0.7138489    
   18200.00      -1.611368      0.7067283    
   18300.00      -1.640704      0.6997147    
   18400.00      -1.671132      0.6928058    
   18500.00      -1.702745      0.6859996    
   18600.00      -1.735648      0.6792940    
   18700.00      -1.769959      0.6726871    
   18800.00      -1.805812      0.6661770    
   18900.00      -1.843360      0.6597617    
   19000.00      -1.882777      0.6534392    
   19100.00      -1.924266      0.6472079    
   19200.00      -1.968060      0.6410660    
   19300.00      -2.014433      0.6350118    
   19400.00      -2.063711      0.6290435    
   19500.00      -2.116280      0.6231596    
   19600.00      -2.172604      0.6173583    
   19700.00      -2.233251      0.6116383    
   19800.00      -2.298922      0.6059980    
   19900.00      -2.370500      0.6004358    
   20000.00      -2.449112      0.5949503    
   20100.00      -2.536234      0.5895401    
   20200.00      -2.633847      0.5842037    
   20300.00      -2.744690      0.5789400    
   20400.00      -2.872723      0.5737475    
   20500.00      -3.023937      0.5686249    
   20600.00      -3.208048      0.5635709    
   20700.00      -3.442376      0.5585844    
   20800.00      -3.762559      0.5536642    
   20900.00      -4.263068      0.5488089    
   20946.00      -4.633654      0.5465971    
   20951.00      -4.684373      0.5463575    
   20956.00      -4.737942      0.5461180    
   20961.00      -4.794736      0.5458786    
   20966.00      -4.855113      0.5456396    
   20971.00      -4.919597      0.5454006    
   20976.00      -4.988721      0.5451618    
   20981.00      -5.063253      0.5449231    
   20986.00      -5.144029      0.5446846    
   20991.00      -5.232211      0.5444463    
   20996.00      -5.329308      0.5442080    
   21000.00      -5.414653      0.5440176    
   21001.00      -5.437208      0.5439700    
   21006.00      -5.558683      0.5437321    
   21011.00      -5.697475      0.5434944    
   21016.00      -5.859425      0.5432568    
   21021.00      -6.053550      0.5430194    
   21026.00      -6.295836      0.5427822    
   21031.00      -6.618170      0.5425451    
   21036.00      -7.099761      0.5423082    
   21041.00      -8.075149      0.5420713    
   21046.00      -8.488514       3.679960    
   21051.00      -7.234139       3.678334    
   21056.00      -6.693270       3.676709    
   21061.00      -6.342886       3.675085    
   21066.00      -6.083135       3.673463    
   21071.00      -5.876448       3.671843    
   21076.00      -5.704635       3.670223    
   21081.00      -5.557647       3.668606    
   21086.00      -5.429082       3.666989    
   21091.00      -5.314878       3.665375    
   21096.00      -5.212052       3.663761    
   21100.00      -5.136609       3.662471    
   21101.00      -5.118587       3.662149    
   21106.00      -5.032846       3.660538    
   21111.00      -4.953693       3.658929    
   21116.00      -4.880151       3.657322    
   21121.00      -4.811444       3.655715    
   21126.00      -4.747015       3.654110    
   21131.00      -4.686311       3.652506    
   21136.00      -4.628962       3.650904    
   21141.00      -4.574572       3.649303    
   21200.00      -4.083670       3.630521    
   21300.00      -3.565972       3.599126    
   21400.00      -3.217544       3.568274    
   21500.00      -2.954003       3.537952    
   21600.00      -2.741866       3.508149    
   21700.00      -2.564351       3.478853    
   21800.00      -2.411822       3.450052    
   21900.00      -2.278210       3.421735    
   22000.00      -2.159451       3.393891    
   22100.00      -2.052710       3.366511    
   22200.00      -1.955816       3.339583    
   22300.00      -1.867245       3.313099    
   22400.00      -1.785755       3.287047    
   22500.00      -1.710374       3.261420    
   22600.00      -1.640323       3.236207    
   22700.00      -1.574961       3.211401    
   22800.00      -1.513761       3.186992    
   22900.00      -1.456276       3.162972    
   23000.00      -1.402130       3.139333    
   23100.00      -1.351002       3.116066    
   23200.00      -1.302614       3.093165    
   23300.00      -1.256724       3.070622    
   23400.00      -1.213119       3.048428    
   23500.00      -1.171614       3.026578    
   23600.00      -1.132045       3.005064    
   23700.00      -1.094263       2.983879    
   23800.00      -1.058138       2.963017    
