  Element 78: Pt      Atomic mass:  195.0800

  Edge          keV         A
    K        78.3948    0.1582
    L-I      13.8799    0.8933
    L-II     13.2726    0.9341
    L-III    11.5637    1.0722
    M1        3.2960    3.7617
    M2        3.0265    4.0966
    M3        2.6454    4.6868
    M4        2.2019    5.6308
    M5        2.1216    5.8439

Scattering factors as a function of energy: 

   13957.00      -6.783422       11.95069    
   13962.00      -6.738428       11.94405    
   13967.00      -6.695442       11.93741    
   13972.00      -6.654245       11.93077    
   13977.00      -6.614657       11.92414    
   14000.00      -6.449380       11.89373    
   14100.00      -5.912013       11.76292    
   14200.00      -5.516387       11.63441    
   14300.00      -5.193544       11.50813    
   14400.00      -4.914230       11.38406    
   14500.00      -4.667275       11.26212    
   14600.00      -4.445160       11.14224    
   14700.00      -4.242990       11.02439    
   14800.00      -4.057346       10.90851    
   14900.00      -3.885727       10.79456    
   15000.00      -3.726211       10.68249    
   15100.00      -3.577309       10.57225    
   15200.00      -3.437799       10.46381    
   15300.00      -3.306687       10.35712    
   15400.00      -3.183146       10.25214    
   15500.00      -3.066468       10.14883    
   15600.00      -2.956053       10.04715    
   15700.00      -2.851379       9.947079    
   15800.00      -2.751991       9.848564    
   15900.00      -2.657488       9.751577    
   16000.00      -2.567515       9.656083    
   16100.00      -2.481756       9.562050    
   16200.00      -2.399928       9.469445    
   16300.00      -2.321777       9.378242    
   16400.00      -2.247069       9.288404    
   16500.00      -2.175596       9.199907    
   16600.00      -2.107167       9.112720    
   16700.00      -2.041607       9.026818    
   16800.00      -1.978757       8.942174    
   16900.00      -1.918465       8.858759    
   17000.00      -1.860599       8.776549    
   17100.00      -1.805030       8.695521    
   17200.00      -1.751640       8.615650    
   17300.00      -1.679969       8.536372    
   17400.00      -1.630188       8.457534    
   17500.00      -1.582341       8.379753    
   17600.00      -1.536339       8.303009    
   17700.00      -1.492099       8.227283    
   17800.00      -1.449545       8.152558    
   17900.00      -1.408604       8.078814    
   18000.00      -1.369206       8.006032    
   18100.00      -1.349900       7.934780    
   18200.00      -1.313854       7.864939    
   18300.00      -1.279130       7.796047    
   18400.00      -1.245672       7.728084    
   18500.00      -1.213428       7.661034    
   18600.00      -1.182350       7.594880    
   18700.00      -1.152391       7.529606    
   18800.00      -1.123508       7.465198    
   18900.00      -1.095658       7.401636    
   19000.00      -1.068801       7.338908    
   19100.00      -1.042901       7.276999    
   19200.00      -1.017920       7.215893    
   19300.00     -0.9938266       7.155578    
   19400.00     -0.9705856       7.096037    
   19500.00     -0.9481669       7.037259    
   19600.00     -0.9265408       6.979229    
   19700.00     -0.9056790       6.921936    
   19800.00     -0.8855549       6.865366    
   19900.00     -0.8661418       6.809507    
   20000.00     -0.8474154       6.754345    
   20100.00     -0.8293520       6.699871    
   20200.00     -0.8119289       6.646071    
   20300.00     -0.7951247       6.592937    
   20400.00     -0.7789180       6.540453    
