  Element 87: Fr      Atomic mass:  223.0000

  Edge          keV         A
    K       101.1370    0.1226
    L-I      18.6390    0.6652
    L-II     17.9065    0.6924
    L-III    15.0312    0.8248
    M1        4.6520    2.6652
    M2        4.3270    2.8654
    M3        3.6630    3.3848
    M4        3.1362    3.9533
    M5        2.9997    4.1332
    N1        1.1530   10.7532

Scattering factors as a function of energy: 

   4680.000      -10.30741       24.09885    
   4685.000      -10.22840       24.06659    
   4690.000      -10.15710       24.03447    
   4695.000      -10.09164       24.00248    
   4700.000      -10.03079       23.97063    
   4705.000      -9.973661       23.93892    
   4710.000      -9.919615       23.90733    
   4715.000      -9.868169       23.87588    
   4720.000      -9.818958       23.84457    
   4725.000      -9.771680       23.81339    
   4730.000      -9.726104       23.78234    
   4735.000      -9.682035       23.75142    
   4740.000      -9.639322       23.72064    
   4745.000      -9.597823       23.68999    
   4750.000      -9.557428       23.65947    
   4800.000      -8.688217       23.32062    
   4900.000      -8.063573       22.64346    
   5000.000      -7.556241       21.99775    
   5100.000      -7.121896       21.38163    
   5200.000      -6.744274       20.79314    
   5300.000      -6.412197       20.23058    
   5400.000      -6.118002       19.69241    
   5500.000      -5.856015       19.17717    
   5600.000      -5.621826       18.68353    
   5700.000      -5.394772       18.20800    
   5800.000      -5.205087       17.75060    
   5900.000      -5.034709       17.31102    
   6000.000      -4.857559       16.88828    
   6100.000      -4.723835       16.47966    
   6200.000      -4.600448       16.08656    
   6300.000      -4.481340       15.70771    
   6400.000      -4.382202       15.34204    
   6500.000      -4.293653       14.98941    
   6600.000      -4.214771       14.64919    
   6700.000      -4.144736       14.32079    
   6800.000      -4.082815       14.00363    
   6900.000      -4.027988       13.69720    
   7000.000      -3.980396       13.40099    
   7100.000      -3.939143       13.11455    
   7200.000      -3.903752       12.83743    
   7300.000      -3.873791       12.56922    
   7400.000      -3.860097       12.31015    
   7500.000      -3.840059       12.05945    
   7600.000      -3.824333       11.81657    
   7700.000      -3.812630       11.58117    
   7800.000      -3.804685       11.35293    
   7900.000      -3.800259       11.13156    
   8000.000      -3.799134       10.91677    
   8100.000      -3.801115       10.70830    
   8200.000      -3.806022       10.50589    
   8300.000      -3.813695       10.30931    
   8400.000      -3.823992       10.11832    
   8500.000      -3.836784       9.932700    
   8600.000      -3.851964       9.752256    
   8700.000      -3.879967       9.577095    
   8800.000      -3.899886       9.407090    
   8900.000      -3.921988       9.241709    
   9000.000      -3.944241       9.082593    
   9100.000      -3.968158       8.927785    
   9200.000      -3.993669       8.777125    
   9300.000      -4.020712       8.630459    
   9400.000      -4.049716       8.487672    
   9500.000      -4.079752       8.348605    
   9600.000      -4.111169       8.213127    
   9700.000      -4.143929       8.081113    
   9800.000      -4.177998       7.952438    
   9900.000      -4.213351       7.826990    
   10000.00      -4.249966       7.704654    
   10100.00      -4.287825       7.585327    
   10200.00      -4.326918       7.468909    
   10300.00      -4.367237       7.355299    
   10400.00      -4.408778       7.244408    
   10500.00      -4.451547       7.136144    
   10600.00      -4.495547       7.030422    
   10700.00      -4.540792       6.927163    
   10800.00      -4.587297       6.826285    
   10900.00      -4.636654       6.727729    
   11000.00      -4.685791       6.631416    
   11100.00      -4.736265       6.537269    
   11200.00      -4.788116       6.445222    
   11300.00      -4.841392       6.355210    
   11400.00      -4.898312       6.267192    
   11500.00      -4.954616       6.181097    
   11600.00      -5.012506       6.096859    
   11700.00      -5.072053       6.014425    
   11800.00      -5.133342       5.933740    
   11900.00      -5.196460       5.854754    
   12000.00      -5.261512       5.777417    
   12100.00      -5.328609       5.701682    
   12200.00      -5.397880       5.627505    
   12300.00      -5.469467       5.554839    
   12400.00      -5.543530       5.483645    
   12500.00      -5.620250       5.413879    
   12600.00      -5.699832       5.345504    
