  Element 83: Bi      Atomic mass:  208.9804

  Edge          keV         A
    K        90.5259    0.1370
    L-I      16.3875    0.7566
    L-II     15.7111    0.7892
    L-III    13.4186    0.9240
    M1        3.9991    3.1003
    M2        3.6963    3.3543
    M3        3.1769    3.9027
    M4        2.6876    4.6132
    M5        2.5796    4.8063

Scattering factors as a function of energy: 

   4200.000      -8.454723       23.44649    
   4300.000      -7.871591       22.66938    
   4400.000      -7.394400       21.94609    
   4500.000      -6.992716       21.27279    
   4600.000      -6.648894       20.64635    
   4700.000      -6.350883       20.06429    
   4800.000      -6.089580       19.52464    
   4900.000      -5.495907       18.95515    
   5000.000      -5.254785       18.40763    
   5100.000      -5.041008       17.88397    
   5200.000      -4.850085       17.38216    
   5300.000      -4.682981       16.90322    
   5400.000      -4.528401       16.44434    
   5500.000      -4.397033       16.00401    
   5600.000      -4.280892       15.58166    
   5700.000      -4.178467       15.17627    
   5800.000      -4.088429       14.78693    
   5900.000      -4.009617       14.41275    
   6000.000      -3.941001       14.05295    
   6100.000      -3.881670       13.70676    
   6200.000      -3.830813       13.37349    
   6300.000      -3.787709       13.05247    
   6400.000      -3.765460       12.74365    
   6500.000      -3.736136       12.44655    
   6600.000      -3.712898       12.16000    
   6700.000      -3.695128       11.88349    
   6800.000      -3.682408       11.61654    
   6900.000      -3.674364       11.35871    
   7000.000      -3.670657       11.10956    
   7100.000      -3.670982       10.86870    
   7200.000      -3.675064       10.63575    
   7300.000      -3.682655       10.41036    
   7400.000      -3.706085       10.19226    
   7500.000      -3.720348       9.981960    
   7600.000      -3.737453       9.778292    
   7700.000      -3.757238       9.580973    
   7800.000      -3.779556       9.389733    
   7900.000      -3.804275       9.204321    
   8000.000      -3.834429       9.024497    
   8100.000      -3.863691       8.850245    
   8200.000      -3.895027       8.681140    
   8300.000      -3.942483       8.517069    
   8400.000      -3.977570       8.357896    
   8500.000      -4.014524       8.203268    
   8600.000      -4.053295       8.053011    
   8700.000      -4.093827       7.906957    
   8800.000      -4.149415       7.765162    
   8900.000      -4.193278       7.627263    
   9000.000      -4.238110       7.494664    
   9100.000      -4.284457       7.365685    
   9200.000      -4.332314       7.240191    
   9300.000      -4.381684       7.118052    
   9400.000      -4.432575       6.999147    
   9500.000      -4.485006       6.883357    
   9600.000      -4.538999       6.770571    
   9700.000      -4.594587       6.660684    
   9800.000      -4.651809       6.553591    
   9900.000      -4.710712       6.449197    
   10000.00      -4.771356       6.347407    
   10100.00      -4.833804       6.248134    
   10200.00      -4.898134       6.151293    
   10300.00      -4.964432       6.056800    
   10400.00      -5.032799       5.964580    
   10500.00      -5.103347       5.874555    
   10600.00      -5.176204       5.786655    
   10700.00      -5.251514       5.700813    
   10800.00      -5.329442       5.616961    
   10900.00      -5.410171       5.535036    
   11000.00      -5.493913       5.454977    
   11100.00      -5.581299       5.376727    
   11200.00      -5.672440       5.300236    
   11300.00      -5.766808       5.225456    
   11400.00      -5.865374       5.152324    
   11500.00      -5.968550       5.080789    
   11600.00      -6.076820       5.010804    
   11700.00      -6.192361       4.942346    
   11800.00      -6.312651       4.875366    
   11900.00      -6.440074       4.809805    
   12000.00      -6.575602       4.745619    
   12100.00      -6.720999       4.682771    
   12200.00      -6.876561       4.621224    
   12300.00      -7.044715       4.560938    
   12400.00      -7.227821       4.501878    
   12500.00      -7.428988       4.444010    
   12600.00      -7.652406       4.387300    
   12700.00      -7.903921       4.331719    
   12800.00      -8.193146       4.277239    
   12900.00      -8.531008       4.223834    
   13000.00      -8.940278       4.171465    
   13100.00      -9.460824       4.120108    
   13200.00      -10.17902       4.069735    
   13300.00      -11.34844       4.020319    
   13321.00      -11.72250       4.010061    
   13326.00      -11.82356       4.007624    
   13331.00      -11.93030       4.005190    
   13336.00      -12.04337       4.002759    
   13341.00      -12.16355       4.000329    
   13346.00      -12.29184       3.997902    
   13351.00      -12.42938       3.995477    
   13356.00      -12.57759       3.993055    
   13361.00      -12.73826       3.990635    
   13366.00      -12.91366       3.988217    
   13371.00      -13.10675       3.985801    
   13376.00      -13.32146       3.983388    
   13381.00      -13.56318       3.980977    
   13386.00      -13.83976       3.978568    
   13391.00      -14.16280       3.976162    
   13396.00      -14.55101       3.973758    
   13400.00      -14.92970       3.971836    
   13401.00      -15.03726       3.971356    
   13406.00      -15.68798       3.968956    
   13411.00      -16.67375       3.966558    
   13416.00      -18.76895       3.964163    
   13421.00      -18.94117       10.12504    
   13426.00      -16.72545       10.11864    
   13431.00      -15.70765       10.11224    
   13436.00      -15.03865       10.10585    
   13441.00      -14.53917       10.09947    
   13446.00      -14.14030       10.09309    
   13451.00      -13.80813       10.08672    
   13456.00      -13.52348       10.08035    
   13461.00      -13.27440       10.07399    
   13466.00      -13.05300       10.06764    
   13471.00      -12.85367       10.06129    
   13476.00      -12.67242       10.05495    
   13481.00      -12.50623       10.04861    
   13486.00      -12.35281       10.04228    
   13491.00      -12.21031       10.03596    
