  Element 65: Tb      Atomic mass:  158.9254

  Edge          keV         A
    K        51.9957    0.2385
    L-I       8.7080    1.4238
    L-II      8.2516    1.5025
    L-III     7.5140    1.6500
    M1        1.9675    6.3016
    M2        1.7677    7.0139
    M3        1.6113    7.6947
    M4        1.2750    9.7243
    M5        1.2412    9.9891

Scattering factors as a function of energy: 

   6400.000      -6.478666       4.743159    
   6500.000      -6.692951       4.626827    
   6600.000      -6.928895       4.514825    
   6700.000      -7.191360       4.406935    
   6800.000      -7.487113       4.302953    
   6900.000      -7.825961       4.202687    
   7000.000      -8.233658       4.106040    
   7100.000      -8.713602       4.013139    
   7200.000      -9.322188       3.923439    
   7300.000      -10.15926       3.836790    
   7400.000      -11.52484       3.753052    
   7417.000      -11.87447       3.739097    
   7422.000      -11.98907       3.735008    
   7427.000      -12.11010       3.730925    
   7432.000      -12.23832       3.726849    
   7437.000      -12.37463       3.722781    
   7442.000      -12.52016       3.718719    
   7447.000      -12.67622       3.714663    
   7452.000      -12.84447       3.710615    
   7457.000      -13.02695       3.706573    
   7462.000      -13.22632       3.702539    
   7467.000      -13.44603       3.698510    
   7472.000      -13.69254       3.694489    
   7477.000      -13.96878       3.690477    
   7482.000      -14.28511       3.686471    
   7487.000      -14.65574       3.682472    
   7492.000      -15.10309       3.678480    
   7497.000      -15.66713       3.674494    
   7500.000      -16.09239       3.672106    
   7502.000      -16.43033       3.670515    
   7507.000      -17.61389       3.666543    
   7512.000      -20.37206       3.662577    
   7517.000      -19.48834       10.61232    
   7522.000      -17.30342       10.59584    
   7527.000      -16.21862       10.57942    
   7532.000      -15.49027       10.56307    
   7537.000      -14.94111       10.54679    
   7542.000      -14.50025       10.53056    
   7547.000      -14.13198       10.51441    
   7552.000      -13.81590       10.49831    
   7557.000      -13.53914       10.48228    
   7562.000      -13.29315       10.46631    
   7567.000      -13.07183       10.45041    
   7572.000      -12.87080       10.43456    
   7577.000      -12.68674       10.41878    
   7582.000      -12.51712       10.40306    
   7587.000      -12.35989       10.38740    
   7592.000      -12.21345       10.37181    
   7597.000      -12.07649       10.35627    
   7600.000      -11.99841       10.34698    
