  Element 85: At      Atomic mass:  210.0000

  Edge          keV         A
    K        95.7299    0.1295
    L-I      17.4930    0.7088
    L-II     16.7847    0.7387
    L-III    14.2135    0.8723
    M1        4.3170    2.8720
    M2        4.0080    3.0934
    M3        3.4260    3.6189
    M4        2.9087    4.2625
    M5        2.7867    4.4491
    N1        1.0420   11.8987

Scattering factors as a function of energy: 

   4415.000      -9.580131       23.92152    
   4500.000      -8.517166       23.29320    
   4600.000      -7.946021       22.55697    
   4700.000      -7.480018       21.86882    
   4800.000      -7.088398       21.22527    
   4900.000      -6.753293       20.62346    
   5000.000      -6.462970       20.06101    
   5100.000      -6.208864       19.53597    
   5200.000      -5.984254       19.04677    
   5300.000      -5.439170       18.53337    
   5400.000      -5.227856       18.03572    
   5500.000      -5.039197       17.55877    
   5600.000      -4.860345       17.10103    
   5700.000      -4.712772       16.66143    
   5800.000      -4.578471       16.23933    
   5900.000      -4.440426       15.83232    
   6000.000      -4.333619       15.44064    
   6100.000      -4.238790       15.06376    
   6200.000      -4.154841       14.70092    
   6300.000      -4.080804       14.35141    
   6400.000      -4.015816       14.01457    
   6500.000      -3.959109       13.68975    
   6600.000      -3.909996       13.37638    
   6700.000      -3.867865       13.07391    
   6800.000      -3.832161       12.78182    
   6900.000      -3.814060       12.50007    
   7000.000      -3.790006       12.22826    
   7100.000      -3.770970       11.96547    
   7200.000      -3.756590       11.71129    
   7300.000      -3.746535       11.46534    
   7400.000      -3.740510       11.22726    
   7500.000      -3.738243       10.99670    
   7600.000      -3.739491       10.77334    
   7700.000      -3.744035       10.55686    
   7800.000      -3.751674       10.34699    
   7900.000      -3.762229       10.14345    
   8000.000      -3.775540       9.945971    
   8100.000      -3.803668       9.755015    
   8200.000      -3.822305       9.569798    
   8300.000      -3.843269       9.389961    
   8400.000      -3.866468       9.215294    
   8500.000      -3.891834       9.045591    
   8600.000      -3.919337       8.880663    
   8700.000      -3.951521       8.720432    
   8800.000      -3.983783       8.564673    
   8900.000      -4.027172       8.413172    
   9000.000      -4.060479       8.267594    
   9100.000      -4.095289       8.125981    
   9200.000      -4.131571       7.988183    
   9300.000      -4.169289       7.854060    
   9400.000      -4.208416       7.723477    
   9500.000      -4.248932       7.596307    
   9600.000      -4.290821       7.472426    
   9700.000      -4.334074       7.351722    
   9800.000      -4.378689       7.234078    
   9900.000      -4.424668       7.119392    
   10000.00      -4.472025       7.007559    
   10100.00      -4.521984       6.898500    
   10200.00      -4.572200       6.792110    
   10300.00      -4.623845       6.688296    
   10400.00      -4.676952       6.586974    
   10500.00      -4.731563       6.488061    
   10600.00      -4.787721       6.391478    
   10700.00      -4.845482       6.297152    
   10800.00      -4.904910       6.205008    
   10900.00      -4.966072       6.114979    
   11000.00      -5.029052       6.026996    
   11100.00      -5.093940       5.940998    
   11200.00      -5.160836       5.856922    
   11300.00      -5.229859       5.774709    
   11400.00      -5.301136       5.694304    
   11500.00      -5.374814       5.615650    
   11600.00      -5.451057       5.538697    
   11700.00      -5.530050       5.463394    
   11800.00      -5.612005       5.389691    
   11900.00      -5.697159       5.317543    
   12000.00      -5.785788       5.246904    
   12100.00      -5.878891       5.177736    
   12200.00      -5.975457       5.110007    
   12300.00      -6.076564       5.043662    
   12400.00      -6.182706       4.978662    
   12500.00      -6.294448       4.914970    
   12600.00      -6.412446       4.852550    
   12700.00      -6.539481       4.791411    
   12800.00      -6.672606       4.731478    
   12900.00      -6.814940       4.672717    
   13000.00      -6.967948       4.615094    
   13100.00      -7.133473       4.558580    
   13200.00      -7.313881       4.503146    
   13300.00      -7.512291       4.448764    
   13400.00      -7.732912       4.395406    
   13500.00      -7.981640       4.343045    
   13600.00      -8.267077       4.291656    
   13700.00      -8.602495       4.241215    
   13800.00      -9.009974       4.191696    
   13900.00      -9.531746       4.143079    
   14000.00      -10.25445       4.095354    
   14100.00      -11.44796       4.048484    
   14116.00      -11.73611       4.041063    
   14121.00      -11.83605       4.038748    
   14126.00      -11.94160       4.036435    
   14131.00      -12.05340       4.034125    
   14136.00      -12.17229       4.031816    
   14141.00      -12.29919       4.029510    
   14146.00      -12.43525       4.027205    
   14151.00      -12.58189       4.024903    
   14156.00      -12.74088       4.022603    
   14161.00      -12.91446       4.020305    
   14166.00      -13.10559       4.018008    
   14171.00      -13.31813       4.015715    
   14176.00      -13.55756       4.013422    
   14181.00      -13.83155       4.011133    
   14186.00      -14.15173       4.008845    
   14191.00      -14.53675       4.006559    
   14196.00      -15.01948       4.004275    
   14200.00      -15.51847       4.002450    
   14201.00      -15.66662       4.001993    
   14206.00      -16.65049       3.999713    
   14211.00      -18.77038       3.997435    
   14216.00      -18.78389       10.08086    
   14221.00      -16.65016       10.07502    
   14226.00      -15.65602       10.06917    
   14231.00      -15.00018       10.06333    
   14236.00      -14.50968       10.05749    
   14241.00      -14.11757       10.05166    
   14246.00      -13.79081       10.04583    
   14251.00      -13.51066       10.04001    
   14256.00      -13.26546       10.03420    
   14261.00      -13.04736       10.02838    
   14266.00      -12.85099       10.02258    
   14271.00      -12.67238       10.01677    
   14276.00      -12.50859       10.01097    
   14281.00      -12.35734       10.00518    
   14286.00      -12.21684       9.999390    
   14291.00      -12.08567       9.993605    
   14296.00      -11.96268       9.987825    
   14300.00      -11.86949       9.983204    
   14301.00      -11.84688       9.982050    
   14306.00      -11.73749       9.976278    
   14311.00      -11.63383       9.970512    
   14400.00      -10.35685       9.868639    
   14500.00      -9.516752       9.755883    
   14600.00      -8.939369       9.644900    
   14700.00      -8.505151       9.535655    
   14800.00      -8.162370       9.428110    
   14900.00      -7.888709       9.322287    
   15000.00      -7.658689       9.218141    
   15100.00      -7.466952       9.115597    
   15200.00      -7.306787       9.014625    
   15300.00      -7.173581       8.915190    
   15400.00      -7.064157       8.817265    
   15500.00      -6.976358       8.720819    
   15600.00      -6.908837       8.625822    
   15700.00      -6.860932       8.532250    
   15800.00      -6.832641       8.440072    
   15900.00      -6.824669       8.349263    
   16000.00      -6.838590       8.259796    
   16100.00      -6.877154       8.171646    
   16200.00      -6.944902       8.084788    
   16300.00      -7.049377       7.999199    
   16400.00      -7.203800       7.914853    
   16500.00      -7.433844       7.831727    
   16600.00      -7.799659       7.749799    
   16687.00      -8.380060       7.679490    
   16692.00      -8.428990       7.675477    
   16697.00      -8.480801       7.671465    
   16700.00      -8.513392       7.669060    
   16702.00      -8.535784       7.667459    
   16707.00      -8.594380       7.663453    
   16712.00      -8.657021       7.659451    
   16717.00      -8.724303       7.655453    
   16722.00      -8.796968       7.651456    
   16727.00      -8.875847       7.647463    
   16732.00      -8.962132       7.643472    
   16737.00      -9.057227       7.639484    
   16742.00      -9.163163       7.635499    
   16747.00      -9.282553       7.631518    
   16752.00      -9.419337       7.627538    
   16757.00      -9.579187       7.623562    
   16762.00      -9.771396       7.619589    
   16767.00      -10.01229       7.615618    
   16772.00      -10.33435       7.611651    
   16777.00      -10.82117       7.607686    
   16782.00      -11.84297       7.603724    
   16787.00      -12.00667       10.67894    
   16792.00      -10.87152       10.67369    
   16797.00      -10.35719       10.66844    
   16800.00      -10.14179       10.66530    
   16802.00      -10.02030       10.66320    
   16807.00      -9.769053       10.65796    
   16812.00      -9.568419       10.65272    
   16817.00      -9.401421       10.64749    
   16822.00      -9.258243       10.64225    
   16827.00      -9.132984       10.63703    
   16832.00      -9.021562       10.63180    
   16837.00      -8.921278       10.62658    
   16842.00      -8.830070       10.62137    
   16847.00      -8.746397       10.61615    
   16852.00      -8.669162       10.61095    
   16857.00      -8.597394       10.60574    
   16862.00      -8.530422       10.60054    
   16867.00      -8.467602       10.59534    
   16872.00      -8.408496       10.59014    
   16877.00      -8.352654       10.58495    
   16882.00      -8.299778       10.57976    
   16900.00      -8.129698       10.56111    
   17000.00      -7.511731       10.45830    
   17100.00      -7.159916       10.35683    
   17200.00      -6.951234       10.25670    
   17300.00      -6.866171       10.15787    
   17396.00      -6.971739       10.06424    
   17400.00      -6.983147       10.06037    
   17401.00      -6.986144       10.05940    
   17406.00      -7.002083       10.05456    
   17411.00      -7.019719       10.04973    
   17416.00      -7.039268       10.04490    
   17421.00      -7.060961       10.04007    
   17426.00      -7.085114       10.03524    
   17431.00      -7.112077       10.03042    
   17436.00      -7.142334       10.02560    
   17441.00      -7.176453       10.02079    
   17446.00      -7.215215       10.01597    
   17451.00      -7.259670       10.01116    
   17456.00      -7.311209       10.00636    
   17461.00      -7.371923       10.00155    
   17466.00      -7.444868       9.996756    
   17471.00      -7.535125       9.991958    
   17476.00      -7.651580       9.987165    
   17481.00      -7.812819       9.982373    
   17486.00      -8.068208       9.977587    
   17491.00      -8.676050       9.972803    
   17496.00      -8.467931       11.52245    
   17500.00      -8.040200       11.51846    
   17501.00      -7.972044       11.51746    
   17506.00      -7.721222       11.51247    
   17511.00      -7.549784       11.50749    
   17516.00      -7.418097       11.50251    
   17521.00      -7.310483       11.49753    
   17526.00      -7.218964       11.49256    
   17531.00      -7.138970       11.48759    
   17536.00      -7.067708       11.48262    
   17541.00      -7.003218       11.47765    
   17546.00      -6.944208       11.47269    
   17551.00      -6.889657       11.46773    
   17556.00      -6.838875       11.46277    
   17561.00      -6.791255       11.45782    
   17566.00      -6.746390       11.45287    
   17571.00      -6.703905       11.44792    
   17576.00      -6.663493       11.44297    
   17581.00      -6.624948       11.43803    
   17586.00      -6.588040       11.43309    
   17591.00      -6.552629       11.42816    
   17600.00      -6.492172       11.41928    
   17700.00      -5.986660       11.32125    
   17800.00      -5.628214       11.22437    
   17900.00      -5.338137       11.12860    
   18000.00      -5.089815       11.03394    
   18100.00      -4.870590       10.94036    
   18200.00      -4.673279       10.84785    
   18300.00      -4.493332       10.75640    
   18400.00      -4.327630       10.66598    
   18500.00      -4.199218       10.57690    
   18600.00      -4.056322       10.48991    
   18700.00      -3.922326       10.40394    
   18800.00      -3.799148       10.31903    
   18900.00      -3.680114       10.23511    
   19000.00      -3.568183       10.15216    
   19100.00      -3.461235       10.07017    
   19200.00      -3.359529       9.989116    
   19300.00      -3.262632       9.908995    
   19400.00      -3.170167       9.829783    
   19500.00      -3.081805       9.751470    
   19600.00      -2.997256       9.674040    
   19700.00      -2.916262       9.597479    
   19800.00      -2.838594       9.521775    
   19900.00      -2.764042       9.446913    
   20000.00      -2.692421       9.372880    
   20100.00      -2.623562       9.299664    
   20200.00      -2.557311       9.227251    
   20300.00      -2.493528       9.155633    
   20400.00      -2.432081       9.084793    
   20500.00      -2.372854       9.014722    
   20600.00      -2.315737       8.945408    
   20700.00      -2.260628       8.876839    
   20800.00      -2.207434       8.809006    
   20900.00      -2.156068       8.741896    
   21000.00      -2.106448       8.675498    
   21100.00      -2.058499       8.609804    
   21200.00      -2.012150       8.544803    
   21300.00      -1.967335       8.480484    
   21400.00      -1.923991       8.416838    
   21500.00      -1.882060       8.353855    
   21600.00      -1.841487       8.291526    
   21700.00      -1.802221       8.229840    
   21800.00      -1.764225       8.168793    
   21900.00      -1.741187       8.108877    
   22000.00      -1.705783       8.049719    
   22100.00      -1.671481       7.991183    
   22200.00      -1.638253       7.933261    
   22300.00      -1.607117       7.875950    
   22400.00      -1.575894       7.819234    
   22500.00      -1.545627       7.763105    
   22600.00      -1.516283       7.707555    
   22700.00      -1.487831       7.652575    
   22800.00      -1.482091       7.598731    
   22900.00      -1.455763       7.545856    
   23000.00      -1.430214       7.493552    
   23100.00      -1.405416       7.441813    
   23200.00      -1.381344       7.390630    
   23300.00      -1.357975       7.339995    
   23400.00      -1.335285       7.289899    
   23500.00      -1.313254       7.240335    
   23600.00      -1.291859       7.191295    
   23700.00      -1.271080       7.142771    
   23800.00      -1.250900       7.094756    
   23900.00      -1.231298       7.047243    
   24000.00      -1.212258       7.000224    
   24100.00      -1.193761       6.953692    
   24200.00      -1.175792       6.907641    
   24300.00      -1.158335       6.862064    
   24400.00      -1.141375       6.816954    
   24500.00      -1.124895       6.772304    
   24600.00      -1.108884       6.728107    
   24700.00      -1.093326       6.684360    
   24800.00      -1.078209       6.641054    
   24900.00      -1.063520       6.598182    
