  Element 42: Mo      Atomic mass:   95.9400

  Edge          keV         A
    K        19.9995    0.6199
    L-I       2.8655    4.3268
    L-II      2.6251    4.7230
    L-III     2.5202    4.9196

Scattering factors as a function of energy: 

   18700.00      -2.224648      0.6092981    
   18800.00      -2.292915      0.6033843    
   18900.00      -2.367567      0.5975565    
   19000.00      -2.449873      0.5918134    
   19100.00      -2.541516      0.5861533    
   19200.00      -2.644785      0.5805745    
   19300.00      -2.762901      0.5750756    
   19400.00      -2.900613      0.5696548    
   19500.00      -3.065315      0.5643107    
   19600.00      -3.269459      0.5590420    
   19700.00      -3.536528      0.5538471    
   19800.00      -3.919547      0.5487248    
   19900.00      -4.588991      0.5436735    
   19902.00      -4.608744      0.5435731    
   19907.00      -4.659973      0.5433225    
   19912.00      -4.714139      0.5430720    
   19917.00      -4.771545      0.5428218    
   19922.00      -4.832644      0.5425715    
   19927.00      -4.897883      0.5423216    
   19932.00      -4.967879      0.5420719    
   19937.00      -5.043397      0.5418223    
   19942.00      -5.125300      0.5415729    
   19947.00      -5.214820      0.5413235    
   19952.00      -5.313414      0.5410745    
   19957.00      -5.423189      0.5408255    
   19962.00      -5.546861      0.5405768    
   19967.00      -5.688475      0.5403283    
   19972.00      -5.854123      0.5400798    
   19977.00      -6.053358      0.5398316    
   19982.00      -6.303398      0.5395836    
   19987.00      -6.638634      0.5393357    
   19992.00      -7.148751      0.5390880    
   19997.00      -8.247688      0.5388404    
   20000.00      -9.877834       3.697668    
   20002.00      -8.257196       3.696972    
   20007.00      -7.149676       3.695235    
   20012.00      -6.633367       3.693500    
   20017.00      -6.292441       3.691766    
   20022.00      -6.037413       3.690033    
   20027.00      -5.833336       3.688302    
   20032.00      -5.663227       3.686574    
   20037.00      -5.517220       3.684845    
   20042.00      -5.389370       3.683120    
   20047.00      -5.275548       3.681395    
   20052.00      -5.173023       3.679673    
   20057.00      -5.079704       3.677952    
   20062.00      -4.994028       3.676232    
   20067.00      -4.914879       3.674514    
   20072.00      -4.841271       3.672797    
   20077.00      -4.772519       3.671083    
   20082.00      -4.707968       3.669369    
   20087.00      -4.647171       3.667658    
   20092.00      -4.589692       3.665948    
   20097.00      -4.535160       3.664240    
   20100.00      -4.503746       3.663215    
   20200.00      -3.782050       3.629395    
   20300.00      -3.353334       3.596191    
   20400.00      -3.046166       3.563589    
   20500.00      -2.806379       3.531574    
   20600.00      -2.609674       3.500132    
   20700.00      -2.443007       3.469250    
   20800.00      -2.298544       3.438915    
   20900.00      -2.171193       3.409113    
   21000.00      -2.057457       3.379832    
   21100.00      -1.954842       3.351061    
   21200.00      -1.861471       3.322787    
   21300.00      -1.775924       3.294999    
   21400.00      -1.697085       3.267686    
   21500.00      -1.624067       3.240838    
   21600.00      -1.556147       3.214443    
   21700.00      -1.492733       3.188493    
   21800.00      -1.433330       3.162976    
   21900.00      -1.377519       3.137883    
   22000.00      -1.324947       3.113206    
   22100.00      -1.275308       3.088934    
   22200.00      -1.228338       3.065060    
   22300.00      -1.183809       3.041575    
   22400.00      -1.141516       3.018469    
   22500.00      -1.101283       2.995736    
   22600.00      -1.062951       2.973367    
   22700.00      -1.026379       2.951355    
   22800.00     -0.9914415       2.929692    
   22900.00     -0.9580242       2.908370    
   23000.00     -0.9260248       2.887383    
   23100.00     -0.8953503       2.866725    
   23200.00     -0.8659164       2.846387    
   23300.00     -0.8376464       2.826364    
   23400.00     -0.8104689       2.806649    
   23500.00     -0.7843196       2.787236    
   23600.00     -0.7591392       2.768119    
   23700.00     -0.7348729       2.749292    
   23800.00     -0.7114704       2.730749    
   23900.00     -0.6888839       2.712485    
   24000.00     -0.6670705       2.694494    
   24100.00     -0.6459897       2.676771    
   24200.00     -0.6256039       2.659310    
   24300.00     -0.6058782       2.642107    
   24400.00     -0.5867793       2.625157    
   24500.00     -0.5682767       2.608454    
   24600.00     -0.5503417       2.591994    
   24700.00     -0.5329473       2.575773    
   24800.00     -0.5160684       2.559786    
   24900.00     -0.4996805       2.544028    
