  Element 74: W       Atomic mass:  183.8500

  Edge          keV         A
    K        69.5250    0.1783
    L-I      12.0998    1.0247
    L-II     11.5440    1.0740
    L-III    10.2068    1.2147
    M1        2.8196    4.3972
    M2        2.5749    4.8151
    M3        2.2810    5.4355
    M4        1.8716    6.6245
    M5        1.8092    6.8530

Scattering factors as a function of energy: 

   11472.00      -9.131292       8.237786    
   11477.00      -9.199520       8.231094    
   11482.00      -9.273537       8.224416    
   11487.00      -9.354308       8.217751    
   11492.00      -9.443049       8.211102    
   11497.00      -9.541404       8.204464    
   11500.00      -9.605893       8.200488    
   11502.00      -9.651508       8.197841    
   11507.00      -9.776338       8.191231    
   11512.00      -9.920170       8.184635    
   11517.00      -10.08948       8.178052    
   11522.00      -10.29474       8.171483    
   11527.00      -10.55463       8.164928    
   11532.00      -10.90765       8.158387    
   11537.00      -11.45715       8.151859    
   11542.00      -12.74213       8.145344    
   11547.00      -12.32656       11.38424    
   11552.00      -11.30610       11.37539    
   11557.00      -10.79811       11.36656    
   11562.00      -10.45594       11.35775    
   11567.00      -10.19706       11.34895    
   11572.00      -9.988491       11.34017    
   11577.00      -9.813594       11.33140    
   11582.00      -9.662899       11.32265    
   11587.00      -9.530440       11.31392    
   11592.00      -9.412224       11.30520    
   11597.00      -9.305449       11.29650    
   11600.00      -9.245997       11.29128    
   11602.00      -9.208071       11.28781    
   11607.00      -9.118555       11.27914    
   11612.00      -9.035719       11.27049    
   11617.00      -8.958645       11.26185    
   11622.00      -8.886558       11.25323    
   11627.00      -8.818865       11.24463    
   11632.00      -8.755068       11.23604    
   11637.00      -8.694748       11.22746    
   11642.00      -8.637555       11.21890    
   11700.00      -8.131178       11.12076    
   11800.00      -7.619513       10.95635    
   11900.00      -7.357186       10.79776    
   12000.00      -7.344687       10.64473    
   12002.00      -7.348502       10.64173    
   12007.00      -7.359129       10.63422    
   12012.00      -7.371437       10.62673    
   12017.00      -7.385604       10.61925    
   12022.00      -7.401841       10.61179    
   12027.00      -7.420402       10.60434    
   12032.00      -7.441592       10.59690    
   12037.00      -7.465800       10.58948    
   12042.00      -7.493498       10.58206    
   12047.00      -7.525294       10.57467    
   12052.00      -7.561977       10.56728    
   12057.00      -7.604600       10.55991    
   12062.00      -7.654611       10.55255    
   12067.00      -7.714077       10.54520    
   12072.00      -7.786084       10.53787    
   12077.00      -7.875618       10.53054    
   12082.00      -7.991353       10.52324    
   12087.00      -8.150715       10.51594    
   12092.00      -8.397880       10.50866    
   12097.00      -8.925546       10.50139    
   12100.00      -10.31947       12.16490    
   12102.00      -9.041004       12.16187    
   12107.00      -8.396538       12.15430    
   12112.00      -8.100979       12.14674    
   12117.00      -7.904796       12.13919    
   12122.00      -7.754748       12.13165    
   12127.00      -7.632476       12.12413    
   12132.00      -7.528574       12.11662    
   12137.00      -7.437747       12.10912    
   12142.00      -7.356708       12.10163    
   12147.00      -7.283283       12.09416    
   12152.00      -7.215954       12.08670    
   12157.00      -7.153632       12.07925    
