  Element 29: Cu      Atomic mass:   63.5460

  Edge          keV         A
    K         8.9789    1.3808
    L-I       1.0961   11.3114

Scattering factors as a function of energy: 

   22000.00      0.3285317      0.8380047    
   22100.00      0.3278016      0.8310997    
   22200.00      0.3270535      0.8242779    
   22300.00      0.3262883      0.8175381    
   22400.00      0.3255064      0.8108786    
   22500.00      0.3247086      0.8042984    
   22600.00      0.3238955      0.7977962    
   22700.00      0.3230677      0.7913707    
   22800.00      0.3222259      0.7850209    
   22900.00      0.3213706      0.7787454    
   23000.00      0.3205023      0.7725431    
   23100.00      0.3196217      0.7664129    
   23200.00      0.3187293      0.7603536    
   23300.00      0.3178262      0.7543644    
   23400.00      0.3158236      0.7484457    
   23500.00      0.3149025      0.7425987    
   23600.00      0.3139694      0.7368183    
   23700.00      0.3130264      0.7311036    
   23800.00      0.3120743      0.7254537    
   23900.00      0.3111135      0.7198673    
   24000.00      0.3101443      0.7143437    
   24100.00      0.3091672      0.7088820    
   24200.00      0.3081825      0.7034811    
   24300.00      0.3071906      0.6981403    
   24400.00      0.3061918      0.6928586    
   24500.00      0.3051865      0.6876351    
   24600.00      0.3041749      0.6824690    
   24700.00      0.3031575      0.6773595    
   24800.00      0.3021345      0.6723057    
   24900.00      0.3011061      0.6673068    
