  Element 34: Se      Atomic mass:   78.9600

  Edge          keV         A
    K        12.6578    0.9795
    L-I       1.6539    7.4965
    L-II      1.4762    8.3989
    L-III     1.4358    8.6352

Scattering factors as a function of energy: 

   12565.00      -4.395659      0.5096931    
   12570.00      -4.451833      0.5093233    
   12575.00      -4.511420      0.5089539    
   12580.00      -4.574848      0.5085849    
   12585.00      -4.642631      0.5082163    
   12590.00      -4.715391      0.5078480    
   12595.00      -4.793897      0.5074802    
   12600.00      -4.879107      0.5071128    
   12605.00      -4.972221      0.5067459    
   12610.00      -5.074862      0.5063793    
   12615.00      -5.189123      0.5060131    
   12620.00      -5.317906      0.5056473    
   12625.00      -5.465356      0.5052819    
   12630.00      -5.637684      0.5049169    
   12635.00      -5.844824      0.5045523    
   12640.00      -6.104173      0.5041881    
   12645.00      -6.450631      0.5038243    
   12650.00      -6.972532      0.5034610    
   12655.00      -8.055866      0.5030980    
   12660.00      -8.319967       3.846461    
   12665.00      -7.052211       3.843189    
   12670.00      -6.486044       3.839924    
   12675.00      -6.116062       3.836665    
   12680.00      -5.840367       3.833412    
   12685.00      -5.620319       3.830165    
   12690.00      -5.437082       3.826925    
   12695.00      -5.279947       3.823691    
   12700.00      -5.142355       3.820462    
   12705.00      -5.019933       3.817240    
   12710.00      -4.909632       3.814023    
   12715.00      -4.809239       3.810813    
   12720.00      -4.717100       3.807608    
   12725.00      -4.631943       3.804410    
   12730.00      -4.552786       3.801219    
   12735.00      -4.478802       3.798032    
   12740.00      -4.409359       3.794852    
   12745.00      -4.343923       3.791677    
   12750.00      -4.282052       3.788509    
   12755.00      -4.223371       3.785346    
   12800.00      -3.798312       3.757148    
   12900.00      -3.196559       3.696152    
   13000.00      -2.802631       3.637367    
   13100.00      -2.509892       3.580694    
   13200.00      -2.277710       3.526041    
   13300.00      -2.086093       3.473317    
   13400.00      -1.923630       3.422441    
   13500.00      -1.783213       3.373332    
   13600.00      -1.660060       3.325916    
   13700.00      -1.550805       3.280123    
   13800.00      -1.452978       3.235884    
   13900.00      -1.364714       3.193137    
   14000.00      -1.284563       3.151821    
   14100.00      -1.211377       3.111879    
   14200.00      -1.144231       3.073256    
   14300.00      -1.082363       3.035902    
   14400.00      -1.025144       2.999767    
   14500.00     -0.9720428       2.964804    
