  Element 80: Hg      Atomic mass:  200.5900

  Edge          keV         A
    K        83.1023    0.1492
    L-I      14.8393    0.8355
    L-II     14.2087    0.8726
    L-III    12.2839    1.0093
    M1        3.5616    3.4811
    M2        3.2785    3.7817
    M3        2.8471    4.3548
    M4        2.3849    5.1987
    M5        2.2949    5.4026

Scattering factors as a function of energy: 

   14812.00      -7.559528       10.32538    
   14817.00      -7.650050       10.31947    
   14822.00      -7.767035       10.31356    
   14827.00      -7.928784       10.30766    
   14832.00      -8.183125       10.30176    
   14837.00      -8.761988       10.29587    
   14842.00      -8.669857       11.90261    
   14847.00      -8.119075       11.89646    
   14852.00      -7.849563       11.89031    
   14857.00      -7.666625       11.88416    
   14862.00      -7.526479       11.87802    
   14867.00      -7.411977       11.87189    
   14872.00      -7.314545       11.86576    
   14877.00      -7.229344       11.85963    
   14882.00      -7.153335       11.85351    
   14887.00      -7.084493       11.84740    
   14892.00      -7.021399       11.84129    
   14897.00      -6.963021       11.83519    
   14900.00      -6.929933       11.83153    
   14902.00      -6.908575       11.82909    
   14907.00      -6.857318       11.82299    
   14912.00      -6.809402       11.81690    
   14917.00      -6.763672       11.81082    
   14922.00      -6.720166       11.80474    
   14927.00      -6.678613       11.79867    
   14932.00      -6.638800       11.79260    
   14937.00      -6.600550       11.78653    
   15000.00      -6.208257       11.71057    
   15100.00      -5.760926       11.59160    
   15200.00      -5.412697       11.47459    
   15300.00      -5.120500       11.35947    
   15400.00      -4.865824       11.24621    
   15500.00      -4.640821       11.13479    
   15600.00      -4.435335       11.02515    
   15700.00      -4.247364       10.91724    
   15800.00      -4.074021       10.81102    
   15900.00      -3.913169       10.70645    
   16000.00      -3.748187       10.60320    
   16100.00      -3.607373       10.50086    
   16200.00      -3.475063       10.40005    
   16300.00      -3.350391       10.30072    
   16400.00      -3.232617       10.20284    
   16500.00      -3.121121       10.10639    
   16600.00      -3.015365       10.01134    
   16700.00      -2.914886       9.917647    
   16800.00      -2.819279       9.825300    
   16900.00      -2.728180       9.734264    
   17000.00      -2.641274       9.644513    
   17100.00      -2.558277       9.556022    
   17200.00      -2.478933       9.468766    
   17300.00      -2.403013       9.382722    
   17400.00      -2.330307       9.297864    
   17500.00      -2.260627       9.214169    
   17600.00      -2.193799       9.131616    
   17700.00      -2.129666       9.050181    
   17800.00      -2.068082       8.969847    
   17900.00      -2.008910       8.890588    
   18000.00      -1.952030       8.812385    
   18100.00      -1.897324       8.735219    
   18200.00      -1.844688       8.659072    
   18300.00      -1.794022       8.583923    
   18400.00      -1.745228       8.509755    
   18500.00      -1.687282       8.436376    
   18600.00      -1.641754       8.363505    
   18700.00      -1.597901       8.291547    
   18800.00      -1.555642       8.220487    
   18900.00      -1.514906       8.150306    
   19000.00      -1.475631       8.080992    
   19100.00      -1.437760       8.012528    
   19200.00      -1.401236       7.944902    
   19300.00      -1.385169       7.878191    
   19400.00      -1.351643       7.813217    
   19500.00      -1.319275       7.749071    
   19600.00      -1.288020       7.685739    
   19700.00      -1.257836       7.623206    
   19800.00      -1.228681       7.561460    
   19900.00      -1.200517       7.500485    
   20000.00      -1.173307       7.440269    
   20100.00      -1.147015       7.380800    
   20200.00      -1.121608       7.322064    
   20300.00      -1.097055       7.264050    
   20400.00      -1.073325       7.206745    
   20500.00      -1.050388       7.150137    
   20600.00      -1.028218       7.094215    
   20700.00      -1.006786       7.038967    
   20800.00     -0.9860699       6.984384    
   20900.00     -0.9660429       6.930452    
   21000.00     -0.9466828       6.877162    
   21100.00     -0.9279670       6.824503    
   21200.00     -0.9098744       6.772466    
   21300.00     -0.8923848       6.721040    
   21400.00     -0.8754780       6.670216    
   21500.00     -0.8591356       6.619983    
   21600.00     -0.8433393       6.570333    
   21700.00     -0.8280718       6.521256    
   21800.00     -0.8133168       6.472744    
   21900.00     -0.7990577       6.424787    
