  Element 53: I       Atomic mass:  126.9045

  Edge          keV         A
    K        33.1694    0.3738
    L-I       5.1881    2.3898
    L-II      4.8521    2.5553
    L-III     4.5571    2.7207
    M1        1.0721   11.5646

Scattering factors as a function of energy: 

   16700.00     -0.3715052       1.967050    
   16800.00     -0.3804191       1.946427    
   16900.00     -0.3893296       1.926128    
   17000.00     -0.3982359       1.906149    
   17100.00     -0.4071378       1.886482    
   17200.00     -0.4160350       1.867121    
   17300.00     -0.4249271       1.848059    
   17400.00     -0.4338146       1.829290    
   17500.00     -0.4441447       1.810812    
   17600.00     -0.4530208       1.792623    
   17700.00     -0.4618888       1.774710    
   17800.00     -0.4707508       1.757067    
   17900.00     -0.4796073       1.739688    
   18000.00     -0.4884581       1.722568    
   18100.00     -0.4973035       1.705702    
   18200.00     -0.5061436       1.689084    
   18300.00     -0.5149785       1.672710    
   18400.00     -0.5238087       1.656575    
   18500.00     -0.5326344       1.640674    
   18600.00     -0.5414557       1.625003    
   18700.00     -0.5502732       1.609556    
   18800.00     -0.5590871       1.594332    
   18900.00     -0.5678979       1.579323    
   19000.00     -0.5767061       1.564527    
   19100.00     -0.5855121       1.549939    
   19200.00     -0.5943164       1.535556    
   19300.00     -0.6031194       1.521374    
   19400.00     -0.6119220       1.507389    
   19500.00     -0.6207247       1.493596    
   19600.00     -0.6295283       1.479994    
   19700.00     -0.6383365       1.466577    
   19800.00     -0.6490917       1.453359    
   19900.00     -0.6578974       1.440334    
   20000.00     -0.6667030       1.427485    
   20100.00     -0.6755121       1.414809    
   20200.00     -0.6843253       1.402302    
   20300.00     -0.6931435       1.389961    
   20400.00     -0.7019680       1.377784    
   20500.00     -0.7107993       1.365767    
   20600.00     -0.7196384       1.353907    
   20700.00     -0.7284861       1.342203    
   20800.00     -0.7373431       1.330650    
   20900.00     -0.7462104       1.319247    
   21000.00     -0.7550836       1.307991    
   21100.00     -0.7657067       1.296898    
   21200.00     -0.7746062       1.285952    
   21300.00     -0.7835211       1.275146    
   21400.00     -0.7924520       1.264476    
   21500.00     -0.8013995       1.253941    
   21600.00     -0.8103648       1.243538    
   21700.00     -0.8193491       1.233264    
   21800.00     -0.8283534       1.223119    
   21900.00     -0.8373793       1.213099    
