  Element 31: Ga      Atomic mass:   69.7200

  Edge          keV         A
    K        10.3671    1.1959
    L-I       1.2977    9.5542
    L-II      1.1423   10.8539
    L-III     1.1154   11.1157

Scattering factors as a function of energy: 

   23800.00      0.3203978      0.9320825    
   23900.00      0.3200224      0.9250281    
   24000.00      0.3196232      0.9180520    
   24100.00      0.3192016      0.9111528    
   24200.00      0.3187584      0.9043294    
   24300.00      0.3182942      0.8975810    
   24400.00      0.3175611      0.8909068    
   24500.00      0.3170580      0.8843057    
   24600.00      0.3165355      0.8777761    
   24700.00      0.3159943      0.8713171    
   24800.00      0.3154348      0.8649277    
   24900.00      0.3148576      0.8586066    
