  Element 23: V       Atomic mass:   50.9415

  Edge          keV         A
    K         5.4651    2.2687

Scattering factors as a function of energy: 

   23100.00      0.2183881      0.3120176    
   23200.00      0.2170990      0.3094055    
   23300.00      0.2158176      0.3068249    
   23400.00      0.2145439      0.3042752    
   23500.00      0.2132782      0.3017561    
   23600.00      0.2120212      0.2992671    
   23700.00      0.2090367      0.2968114    
   23800.00      0.2078080      0.2944029    
   23900.00      0.2065757      0.2920227    
   24000.00      0.2053505      0.2896706    
   24100.00      0.2041328      0.2873460    
   24200.00      0.2029226      0.2850486    
   24300.00      0.2017200      0.2827779    
   24400.00      0.2005249      0.2805335    
   24500.00      0.1993372      0.2783150    
   24600.00      0.1981570      0.2761220    
   24700.00      0.1969842      0.2739541    
   24800.00      0.1958187      0.2718110    
   24900.00      0.1946605      0.2696922    
