  Element 38: Sr      Atomic mass:   87.6200

  Edge          keV         A
    K        16.1046    0.7699
    L-I       2.2163    5.5942
    L-II      2.0068    6.1782
    L-III     1.9396    6.3923

Scattering factors as a function of energy: 

   10800.00     -0.8504980       1.080712    
   10900.00     -0.8696508       1.063048    
   11000.00     -0.8889529       1.045821    
   11100.00     -0.9084187       1.029016    
   11200.00     -0.9280635       1.012620    
   11300.00     -0.9479036      0.9966189    
   11400.00     -0.9679558      0.9810007    
   11500.00     -0.9882386      0.9657526    
   11600.00      -1.008771      0.9508630    
   11700.00      -1.029573      0.9363207    
   11800.00      -1.050666      0.9221147    
   11900.00      -1.072074      0.9082345    
   12000.00      -1.093820      0.8946702    
   12100.00      -1.115932      0.8814120    
   12200.00      -1.138437      0.8684509    
   12300.00      -1.161366      0.8557776    
   12400.00      -1.184751      0.8433839    
   12500.00      -1.208627      0.8312613    
   12600.00      -1.233032      0.8194018    
   12700.00      -1.258008      0.8077980    
   12800.00      -1.283599      0.7964422    
   12900.00      -1.309855      0.7853275    
   13000.00      -1.336829      0.7744468    
   13100.00      -1.364580      0.7637938    
   13200.00      -1.393172      0.7533619    
   13300.00      -1.422678      0.7431449    
   13400.00      -1.453176      0.7331371    
   13500.00      -1.484756      0.7233325    
   13600.00      -1.517517      0.7137257    
   13700.00      -1.551569      0.7043114    
   13800.00      -1.587039      0.6950842    
   13900.00      -1.624070      0.6860393    
   14000.00      -1.662824      0.6771718    
   14100.00      -1.703489      0.6684770    
   14200.00      -1.746281      0.6599506    
   14300.00      -1.791454      0.6515879    
   14400.00      -1.839302      0.6433849    
   14500.00      -1.890178      0.6353375    
   14600.00      -1.944503      0.6274416    
   14700.00      -2.002784      0.6196935    
   14800.00      -2.065649      0.6120895    
   14900.00      -2.133874      0.6046259    
   15000.00      -2.208444      0.5972993    
   15100.00      -2.290630      0.5901062    
   15200.00      -2.382111      0.5830436    
   15300.00      -2.485174      0.5761082    
   15400.00      -2.603031      0.5692968    
   15500.00      -2.740410      0.5626065    
   15600.00      -2.904659      0.5560344    
   15700.00      -3.108120      0.5495779    
   15800.00      -3.373945      0.5432340    
   15900.00      -3.753898      0.5370002    
   16000.00      -4.410354      0.5308739    
   16007.00      -4.479045      0.5304490    
