  Element 64: Gd      Atomic mass:  157.2500

  Edge          keV         A
   8438.000      -7.125960       12.69038    
   8443.000      -7.062728       12.67946    
   8448.000      -7.002718       12.66856    
   8453.000      -6.945518       12.65770    
   8458.000      -6.890792       12.64686    
   8463.000      -6.838263       12.63606    
   8468.000      -6.787699       12.62529    
   8473.000      -6.738915       12.61455    
   8500.000      -6.499931       12.55706    
   8600.000      -5.819720       12.35158    
   8700.000      -5.297190       12.15726    
   8800.000      -4.852252       11.97341    
   8900.000      -4.448730       11.79941    
   9000.000      -4.120497       11.59798    
   9100.000      -3.827585       11.40135    
   9200.000      -3.563534       11.20937    
   9300.000      -3.323714       11.02188    
   9400.000      -3.104584       10.83874    
   9500.000      -2.906575       10.66009    
   9600.000      -2.721674       10.48565    
   9700.000      -2.550751       10.31525    
   9800.000      -2.392317       10.14875    
   9900.000      -2.245123       9.986033    
   10000.00      -2.108101       9.826982    
   10100.00      -1.980332       9.671480    
   10200.00      -1.861020       9.519423    
   10300.00      -1.749462       9.370701    
   10400.00      -1.650775       9.225722    
   10500.00      -1.553215       9.083977    
   10600.00      -1.461713       8.945320    
   10700.00      -1.375834       8.809662    
   10800.00      -1.295181       8.676910    
   10900.00      -1.243302       8.547243    
   11000.00      -1.173105       8.422345    
   11100.00      -1.107003       8.300242    
   11200.00      -1.044728       8.180852    
   11300.00     -0.9860294       8.064089    
   11400.00     -0.9306801       7.949877    
   11500.00     -0.8784689       7.838140    
   11600.00     -0.8292034       7.728805    
   11700.00     -0.7827057       7.621804    
   11800.00     -0.7388104       7.517066    
   11900.00     -0.6973661       7.414531    
   12000.00     -0.6582307       7.314133    
   12100.00     -0.6212735       7.215812    
   12200.00     -0.5863727       7.119511    
   12300.00     -0.5534141       7.025173    
   12400.00     -0.5222925       6.932745    
   12500.00     -0.4929083       6.842173    
   12600.00     -0.4651694       6.753407    
   12700.00     -0.4389894       6.666400    
   12800.00     -0.4142868       6.581103    
   12900.00     -0.3909861       6.497472    
   13000.00     -0.3690154       6.415461    
   13100.00     -0.3483079       6.335029    
   13200.00     -0.3288007       6.256136    
   13300.00     -0.3104341       6.178740    
   13400.00     -0.2931525       6.102804    
   13500.00     -0.2769029       6.028289    
   13600.00     -0.2616357       5.955162    
   13700.00     -0.2473041       5.883386    
   13800.00     -0.2338635       5.812927    
   13900.00     -0.2212722       5.743754    
   14000.00     -0.2094902       5.675833    
   14100.00     -0.1984802       5.609136    
   14200.00     -0.1882066       5.543632    
   14300.00     -0.1786356       5.479291    
   14400.00     -0.1697355       5.416087    
   14500.00     -0.1608481       5.353989    
   14600.00     -0.1531967       5.292952    
   14700.00     -0.1461304       5.232974    
   14800.00     -0.1396231       5.174027    
   14900.00     -0.1336503       5.116091    
   15000.00     -0.1281883       5.059138    
   15100.00     -0.1232148       5.003149    
   15200.00     -0.1187087       4.948101    
   15300.00     -0.1146495       4.893972    
   15400.00     -0.1110180       4.840742    
   15500.00     -0.1077958       4.788390    
   15600.00     -0.1049651       4.736897    
   15700.00     -0.1025090       4.686245    
   15800.00     -0.1004080       4.636415    
   15900.00     -0.1018228       4.587430    
   16000.00     -0.1004074       4.539299    
   16100.00     -9.9311963E-02   4.491935    
   16200.00     -9.8516650E-02   4.445324    
   16300.00     -9.8008171E-02   4.399450    
   16400.00     -9.7768158E-02   4.354296    
   16500.00     -9.7795121E-02   4.309847    
   16600.00     -9.8076724E-02   4.266088    
   16700.00     -9.8600119E-02   4.223006    
   16800.00     -9.9933587E-02   4.180595    
   16900.00     -0.1009163       4.138841    
   17000.00     -0.1021114       4.097722    
   17100.00     -0.1035099       4.057224    
   17200.00     -0.1051034       4.017336    
   17300.00     -0.1068839       3.978045    
   17400.00     -0.1088437       3.939338    
   17500.00     -0.1109753       3.901204    
   17600.00     -0.1132717       3.863631    
   17700.00     -0.1157260       3.826609    
   17800.00     -0.1183316       3.790127    
   17900.00     -0.1210825       3.754172    
   18000.00     -0.1239725       3.718737    
   18100.00     -0.1269960       3.683809    
   18200.00     -0.1301473       3.649380    
   18300.00     -0.1334212       3.615441    
   18400.00     -0.1368128       3.581980    
   18500.00     -0.1403170       3.548990    
   18600.00     -0.1439292       3.516462    
   18700.00     -0.1476449       3.484386    
   18800.00     -0.1514598       3.452755    
   18900.00     -0.1553698       3.421559    
   19000.00     -0.1593710       3.390791    
   19100.00     -0.1634594       3.360443    
   19200.00     -0.1676315       3.330507    
   19300.00     -0.1718836       3.300977    
   19400.00     -0.1762126       3.271843    
   19500.00     -0.1806151       3.243099    
   19600.00     -0.1850879       3.214738    
   19700.00     -0.1896282       3.186753    
   19800.00     -0.1942329       3.159138    
   19900.00     -0.1988995       3.131886    
   20000.00     -0.2036252       3.104990    
   20100.00     -0.2084075       3.078444    
   20200.00     -0.2132439       3.052241    
   20300.00     -0.2181320       3.026377    
   20400.00     -0.2230697       3.000845    
