  Element 35: Br      Atomic mass:   79.9040

  Edge          keV         A
    K        13.4737    0.9202
    L-I       1.7820    6.9576
    L-II      1.5960    7.7684
    L-III     1.5499    7.9995

Scattering factors as a function of energy: 

   17700.00     -0.2386642       2.411631    
   17800.00     -0.2200637       2.389238    
   17900.00     -0.2021517       2.367152    
   18000.00     -0.1848962       2.345368    
   18100.00     -0.1682671       2.323879    
   18200.00     -0.1522363       2.302680    
   18300.00     -0.1367778       2.281768    
   18400.00     -0.1218661       2.261135    
   18500.00     -0.1074782       2.240777    
   18600.00     -9.3591973E-02   2.220689    
   18700.00     -8.0186605E-02   2.200867    
   18800.00     -6.7242645E-02   2.181305    
   18900.00     -5.4740969E-02   2.161999    
   19000.00     -4.2664181E-02   2.142945    
   19100.00     -3.0995546E-02   2.124138    
   19200.00     -1.9719193E-02   2.105574    
   19300.00     -8.8202460E-03   2.087249    
   19400.00      1.7160318E-03   2.069158    
   19500.00      1.1903057E-02   2.051297    
   19600.00      2.1753797E-02   2.033664    
   19700.00      3.1280607E-02   2.016252    
   19800.00      4.0495086E-02   1.999061    
   19900.00      4.9408816E-02   1.982084    
   20000.00      5.8032334E-02   1.965319    
   20100.00      6.6375874E-02   1.948762    
   20200.00      7.4449211E-02   1.932410    
   20300.00      8.2261547E-02   1.916259    
   20400.00      8.9822128E-02   1.900306    
   20500.00      9.7139359E-02   1.884548    
   20600.00      0.1042214       1.868982    
   20700.00      0.1110762       1.853604    
   20800.00      0.1177111       1.838412    
   20900.00      0.1241335       1.823402    
   21000.00      0.1303503       1.808571    
   21100.00      0.1363682       1.793917    
   21200.00      0.1421934       1.779437    
   21300.00      0.1478320       1.765128    
   21400.00      0.1532902       1.750988    
   21500.00      0.1585734       1.737013    
   21600.00      0.1636872       1.723201    
   21700.00      0.1686368       1.709550    
   21800.00      0.1734270       1.696058    
   21900.00      0.1780631       1.682720    
   22000.00      0.1825495       1.669536    
   22100.00      0.1868907       1.656503    
   22200.00      0.1910911       1.643619    
   22300.00      0.1951549       1.630881    
   22400.00      0.1990861       1.618287    
   22500.00      0.2028886       1.605835    
   22600.00      0.2065662       1.593523    
   22700.00      0.2101225       1.581349    
   22800.00      0.2135609       1.569311    
   22900.00      0.2168849       1.557406    
   23000.00      0.2200977       1.545632    
   23100.00      0.2232025       1.533989    
   23200.00      0.2262023       1.522473    
   23300.00      0.2291000       1.511084    
   23400.00      0.2318984       1.499818    
   23500.00      0.2346004       1.488675    
   23600.00      0.2372086       1.477653    
   23700.00      0.2397255       1.466749    
   23800.00      0.2421535       1.455963    
   23900.00      0.2444951       1.445292    
   24000.00      0.2467526       1.434734    
   24100.00      0.2489282       1.424289    
   24200.00      0.2510241       1.413955    
   24300.00      0.2530422       1.403730    
   24400.00      0.2549846       1.393612    
   24500.00      0.2568533       1.383600    
   24600.00      0.2586500       1.373693    
   24700.00      0.2603765       1.363889    
   24800.00      0.2620345       1.354187    
   24900.00      0.2636256       1.344585    
