  Element 17: Cl      Atomic mass:   35.4530

  Edge          keV         A
    K         2.8224    4.3929

Scattering factors as a function of energy: 

   21200.00      0.1085421      0.1080446    
   21300.00      0.1076644      0.1070200    
   21400.00      0.1067955      0.1060093    
   21500.00      0.1059351      0.1050123    
   21600.00      0.1050832      0.1040289    
   21700.00      0.1042397      0.1030587    
   21800.00      0.1034045      0.1021016    
   21900.00      0.1025774      0.1011573    
   22000.00      0.1017584      0.1002255    
   22100.00      0.1009474      9.9306099E-02
   22200.00      0.1001442      9.8398849E-02
   22300.00      9.9348783E-02  9.7503543E-02
   22400.00      9.8561004E-02  9.6619941E-02
   22500.00      9.7780786E-02  9.5747873E-02
   22600.00      9.7008027E-02  9.4887130E-02
   22700.00      9.6242636E-02  9.4037525E-02
   22800.00      9.5484540E-02  9.3198873E-02
   22900.00      9.4733603E-02  9.2370979E-02
   23000.00      9.3989767E-02  9.1553658E-02
   23100.00      9.3252927E-02  9.0746738E-02
   23200.00      9.2523009E-02  8.9950047E-02
   23300.00      9.1799937E-02  8.9163437E-02
   23400.00      9.1083594E-02  8.8386700E-02
   23500.00      9.0373911E-02  8.7619692E-02
   23600.00      8.9670807E-02  8.6862259E-02
   23700.00      8.8974208E-02  8.6114235E-02
   23800.00      8.8284031E-02  8.5375480E-02
   23900.00      8.7600186E-02  8.4645830E-02
   24000.00      8.6922601E-02  8.3925135E-02
   24100.00      8.6251199E-02  8.3213262E-02
   24200.00      8.5585915E-02  8.2510069E-02
   24300.00      8.4926672E-02  8.1815422E-02
   24400.00      8.4273383E-02  8.1129164E-02
   24500.00      8.3625987E-02  8.0451176E-02
   24600.00      8.2984410E-02  7.9781331E-02
   24700.00      8.2348585E-02  7.9119489E-02
   24800.00      8.1718445E-02  7.8465551E-02
   24900.00      8.1093915E-02  7.7819355E-02
