  Element 41: Nb      Atomic mass:   92.9064

  Edge          keV         A
    K        18.9856    0.6530
    L-I       2.6977    4.5959
    L-II      2.4647    5.0304
    L-III     2.3705    5.2303

Scattering factors as a function of energy: 

   18400.00      -2.884268      0.5670381    
   18500.00      -3.053924      0.5614350    
   18600.00      -3.265580      0.5559151    
   18700.00      -3.545327      0.5504766    
   18800.00      -3.954175      0.5451182    
   18888.00      -4.576367      0.5404674    
   18893.00      -4.627791      0.5402051    
   18898.00      -4.682164      0.5399427    
   18900.00      -4.704791      0.5398380    
   18903.00      -4.739789      0.5396807    
   18908.00      -4.801121      0.5394188    
   18913.00      -4.866606      0.5391572    
   18918.00      -4.936864      0.5388957    
   18923.00      -5.012662      0.5386344    
   18928.00      -5.094864      0.5383733    
   18933.00      -5.184703      0.5381123    
   18938.00      -5.283638      0.5378517    
   18943.00      -5.393775      0.5375911    
   18948.00      -5.517832      0.5373308    
   18953.00      -5.659846      0.5370707    
   18958.00      -5.825897      0.5368107    
   18963.00      -6.025498      0.5365509    
   18968.00      -6.275767      0.5362913    
   18973.00      -6.610766      0.5360320    
   18978.00      -7.118745      0.5357727    
   18983.00      -8.198587      0.5355138    
   18988.00      -8.288133       3.713848    
   18993.00      -7.145859       3.711994    
   18998.00      -6.620686       3.710143    
   19000.00      -6.468221       3.709403    
   19003.00      -6.275135       3.708293    
   19008.00      -6.017072       3.706445    
   19013.00      -5.810760       3.704599    
   19018.00      -5.638890       3.702755    
   19023.00      -5.491433       3.700912    
   19028.00      -5.362351       3.699072    
   19033.00      -5.247456       3.697232    
   19038.00      -5.143983       3.695396    
   19043.00      -5.049813       3.693561    
   19048.00      -4.963364       3.691727    
   19053.00      -4.883508       3.689896    
   19058.00      -4.809247       3.688066    
   19063.00      -4.739888       3.686239    
   19068.00      -4.674770       3.684412    
   19073.00      -4.613442       3.682588    
   19078.00      -4.555462       3.680766    
   19083.00      -4.500457       3.678945    
   19100.00      -4.332199       3.672768    
   19200.00      -3.669086       3.636852    
   19300.00      -3.259603       3.601636    
   19400.00      -2.961674       3.567102    
   19500.00      -2.727207       3.533231    
   19600.00      -2.533932       3.500008    
   19700.00      -2.369663       3.467416    
   19800.00      -2.226989       3.435440    
   19900.00      -2.101056       3.404063    
   20000.00      -1.988463       3.373271    
   20100.00      -1.886835       3.343050    
   20200.00      -1.794338       3.313386    
   20300.00      -1.709584       3.284266    
   20400.00      -1.631480       3.255676    
   20500.00      -1.559154       3.227603    
   20600.00      -1.491895       3.200035    
   20700.00      -1.429119       3.172961    
   20800.00      -1.370337       3.146369    
   20900.00      -1.315133       3.120247    
   21000.00      -1.263157       3.094584    
   21100.00      -1.214105       3.069370    
   21200.00      -1.167716       3.044595    
   21300.00      -1.123759       3.020249    
   21400.00      -1.082034       2.996321    
   21500.00      -1.042362       2.972803    
   21600.00      -1.004586       2.949686    
