  Element 70: Yb      Atomic mass:  173.0400

  Edge          keV         A
    K        61.3323    0.2022
    L-I      10.4864    1.1823
    L-II      9.9782    1.2426
    L-III     8.9436    1.3863
    M1        2.3981    5.1701
    M2        2.1730    5.7057
    M3        1.9498    6.3588
    M4        1.5763    7.8655
    M5        1.5278    8.1152

Scattering factors as a function of energy: 

   10051.00      -9.088756       11.64938    
   10056.00      -9.010402       11.63769    
   10061.00      -8.936766       11.62604    
   10066.00      -8.867315       11.61441    
   10071.00      -8.801606       11.60281    
   10076.00      -8.739265       11.59124    
   10100.00      -8.478120       11.53610    
   10200.00      -7.782770       11.31331    
   10300.00      -7.434357       11.10125    
   10389.00      -7.381725       10.92104    
   10394.00      -7.390441       10.91114    
   10399.00      -7.400162       10.90127    
   10400.00      -7.402347       10.89930    
   10404.00      -7.411914       10.89142    
   10409.00      -7.425856       10.88160    
   10414.00      -7.442243       10.87180    
   10419.00      -7.461399       10.86203    
   10424.00      -7.483714       10.85227    
   10429.00      -7.509684       10.84254    
   10434.00      -7.539939       10.83284    
   10439.00      -7.575304       10.82316    
   10444.00      -7.616878       10.81350    
   10449.00      -7.666178       10.80386    
   10454.00      -7.725381       10.79425    
   10459.00      -7.797750       10.78466    
   10464.00      -7.888586       10.77509    
   10469.00      -8.007109       10.76555    
   10474.00      -8.172593       10.75603    
   10479.00      -8.434106       10.74653    
   10484.00      -9.025846       10.73706    
   10489.00      -8.967136       12.43097    
   10494.00      -8.368098       12.42117    
   10499.00      -8.076774       12.41138    
   10500.00      -8.031916       12.40943    
   10504.00      -7.878484       12.40162    
   10509.00      -7.725998       12.39189    
   10514.00      -7.600887       12.38217    
   10519.00      -7.494026       12.37247    
   10524.00      -7.400220       12.36280    
   10529.00      -7.316234       12.35315    
   10534.00      -7.239909       12.34352    
   10539.00      -7.169751       12.33391    
   10544.00      -7.104634       12.32433    
   10549.00      -7.043749       12.31476    
   10554.00      -6.986464       12.30522    
   10559.00      -6.932278       12.29569    
   10564.00      -6.880794       12.28619    
   10569.00      -6.831687       12.27671    
   10574.00      -6.784690       12.26725    
   10579.00      -6.739580       12.25781    
   10584.00      -6.696176       12.24840    
   10600.00      -6.566941       12.21840    
   10700.00      -5.954669       12.03569    
   10800.00      -5.509679       11.86082    
   10900.00      -5.149305       11.69341    
   11000.00      -4.843219       11.53305    
   11100.00      -4.576098       11.37938    
   11200.00      -4.338783       11.23208    
   11300.00      -4.125201       11.09082    
   11400.00      -3.931046       10.95532    
   11500.00      -3.753101       10.82530    
   11600.00      -3.588875       10.70052    
   11700.00      -3.171187       10.56396    
   11800.00      -3.021217       10.42526    
   11900.00      -2.881563       10.29021    
   12000.00      -2.751123       10.15867    
   12100.00      -2.628964       10.03053    
   12200.00      -2.514287       9.905655    
   12300.00      -2.406393       9.783937    
   12400.00      -2.304676       9.665269    
   12500.00      -2.208598       9.549544    
   12600.00      -2.117684       9.436668    
   12700.00      -2.031512       9.326549    
   12800.00      -1.949699       9.219094    
   12900.00      -1.871902       9.114223    
   13000.00      -1.662341       9.008868    
   13100.00      -1.587588       8.898130    
   13200.00      -1.516622       8.789327    
   13300.00      -1.449214       8.682406    
   13400.00      -1.385159       8.577329    
   13500.00      -1.324268       8.474049    
   13600.00      -1.266366       8.372523    
   13700.00      -1.235054       8.273897    
   13800.00      -1.183376       8.177576    
   13900.00      -1.134144       8.082968    
   14000.00      -1.087226       7.990029    
   14100.00      -1.042501       7.898721    
   14200.00     -0.9998555       7.809006    
   14300.00     -0.9591838       7.720845    
   14400.00     -0.9203874       7.634203    
   14500.00     -0.8833733       7.549043    
   14600.00     -0.8480548       7.465331    
   14700.00     -0.8143509       7.383034    
   14800.00     -0.7821845       7.302120    
   14900.00     -0.7514843       7.222558    
   15000.00     -0.7221819       7.144315    
   15100.00     -0.6942136       7.067363    
   15200.00     -0.6675196       6.991674    
   15300.00     -0.6420422       6.917220    
   15400.00     -0.6177284       6.843972    
   15500.00     -0.5945266       6.771904    
   15600.00     -0.5723890       6.700991    
   15700.00     -0.5512701       6.631208    
   15800.00     -0.5311262       6.562531    
   15900.00     -0.5119166       6.494935    
   16000.00     -0.4936020       6.428398    
   16100.00     -0.4761456       6.362896    
   16200.00     -0.4595120       6.298410    
   16300.00     -0.4436682       6.234918    
   16400.00     -0.4285816       6.172397    
   16500.00     -0.4142222       6.110828    
   16600.00     -0.4005611       6.050192    
   16700.00     -0.3875706       5.990470    
   16800.00     -0.3752248       5.931645    
   16900.00     -0.3634980       5.873695    
   17000.00     -0.3523665       5.816604    
   17100.00     -0.3418075       5.760355    
   17200.00     -0.3317990       5.704933    
   17300.00     -0.3223204       5.650320    
   17400.00     -0.3133512       5.596498    
   17500.00     -0.3048727       5.543455    
   17600.00     -0.2968663       5.491173    
   17700.00     -0.2893147       5.439639    
   17800.00     -0.2822011       5.388840    
   17900.00     -0.2779482       5.338768    
   18000.00     -0.2716730       5.289466    
   18100.00     -0.2657874       5.240856    
   18200.00     -0.2602773       5.192925    
   18300.00     -0.2551293       5.145661    
   18400.00     -0.2503302       5.099049    
   18500.00     -0.2458675       5.053078    
   18600.00     -0.2417293       5.007736    
   18700.00     -0.2379040       4.963012    
   18800.00     -0.2343807       4.918894    
   18900.00     -0.2311485       4.875371    
   19000.00     -0.2281974       4.832432    
   19100.00     -0.2255175       4.790067    
   19200.00     -0.2230993       4.748264    
   19300.00     -0.2209338       4.707016    
   19400.00     -0.2190121       4.666310    
   19500.00     -0.2173259       4.626138    
   19600.00     -0.2158671       4.586490    
   19700.00     -0.2146278       4.547357    
   19800.00     -0.2136007       4.508730    
   19900.00     -0.2127783       4.470600    
   20000.00     -0.2157680       4.433002    
   20100.00     -0.2153500       4.395939    
   20200.00     -0.2151142       4.359348    
   20300.00     -0.2150546       4.323222    
   20400.00     -0.2151650       4.287550    
   20500.00     -0.2154398       4.252326    
   20600.00     -0.2158733       4.217543    
   20700.00     -0.2164603       4.183192    
   20800.00     -0.2171955       4.149267    
   20900.00     -0.2180740       4.115759    
   21000.00     -0.2199824       4.082670    
   21100.00     -0.2211403       4.050002    
   21200.00     -0.2224270       4.017732    
   21300.00     -0.2238382       3.985854    
   21400.00     -0.2253696       3.954360    
   21500.00     -0.2270174       3.923245    
   21600.00     -0.2287775       3.892503    
   21700.00     -0.2306461       3.862127    
   21800.00     -0.2326197       3.832112    
   21900.00     -0.2346948       3.802451    
   22000.00     -0.2368680       3.773140    
   22100.00     -0.2391359       3.744172    
   22200.00     -0.2414954       3.715542    
   22300.00     -0.2439435       3.687246    
   22400.00     -0.2464771       3.659276    
   22500.00     -0.2490935       3.631629    
   22600.00     -0.2517899       3.604300    
   22700.00     -0.2545635       3.577283    
   22800.00     -0.2574118       3.550574    
   22900.00     -0.2603324       3.524168    
   23000.00     -0.2633227       3.498060    
   23100.00     -0.2663805       3.472245    
   23200.00     -0.2695034       3.446720    
   23300.00     -0.2726893       3.421480    
   23400.00     -0.2759362       3.396520    
   23500.00     -0.2792418       3.371837    
   23600.00     -0.2826043       3.347426    
   23700.00     -0.2860218       3.323283    
   23800.00     -0.2894923       3.299405    
   23900.00     -0.2930141       3.275786    
   24000.00     -0.2965855       3.252424    
   24100.00     -0.3002048       3.229315    
   24200.00     -0.3038704       3.206455    
   24300.00     -0.3075805       3.183840    
   24400.00     -0.3113339       3.161467    
   24500.00     -0.3151289       3.139332    
   24600.00     -0.3191672       3.117432    
   24700.00     -0.3230409       3.095765    
   24800.00     -0.3269525       3.074325    
   24900.00     -0.3309005       3.053111    
