  Element 15: P       Atomic mass:   30.9738

  Edge          keV         A
    K         2.1455    5.7788

Scattering factors as a function of energy: 

   19200.00      8.7022513E-02  7.8292966E-02
   19300.00      8.6225562E-02  7.7464357E-02
   19400.00      8.5437730E-02  7.6648340E-02
   19500.00      8.4658884E-02  7.5844683E-02
   19600.00      8.3888888E-02  7.5053133E-02
   19700.00      8.3127610E-02  7.4273452E-02
   19800.00      8.2374938E-02  7.3505431E-02
   19900.00      8.1630707E-02  7.2748810E-02
   20000.00      8.0894805E-02  7.2003379E-02
   20100.00      8.0167107E-02  7.1268916E-02
   20200.00      7.9447493E-02  7.0545219E-02
   20300.00      7.8735851E-02  6.9832087E-02
   20400.00      7.8032047E-02  6.9129296E-02
   20500.00      7.7335961E-02  6.8436667E-02
   20600.00      7.6647498E-02  6.7754000E-02
   20700.00      7.5966537E-02  6.7081109E-02
   20800.00      7.5292975E-02  6.6417821E-02
   20900.00      7.4626692E-02  6.5763943E-02
   21000.00      7.3967583E-02  6.5119296E-02
   21100.00      7.3315553E-02  6.4483725E-02
   21200.00      7.2670497E-02  6.3857056E-02
   21300.00      7.2032325E-02  6.3239135E-02
   21400.00      7.1400918E-02  6.2629782E-02
   21500.00      7.0776187E-02  6.2028851E-02
   21600.00      7.0158035E-02  6.1436191E-02
   21700.00      6.9546379E-02  6.0851652E-02
   21800.00      6.8941124E-02  6.0275104E-02
   21900.00      6.8342164E-02  5.9706379E-02
   22000.00      6.7749433E-02  5.9145346E-02
   22100.00      6.7162827E-02  5.8591872E-02
   22200.00      6.6582263E-02  5.8045823E-02
   22300.00      6.6007674E-02  5.7507083E-02
   22400.00      6.5438956E-02  5.6975495E-02
   22500.00      6.4876035E-02  5.6450952E-02
   22600.00      6.4318828E-02  5.5933330E-02
   22700.00      6.3767262E-02  5.5422511E-02
   22800.00      6.3221276E-02  5.4918382E-02
   22900.00      6.2680759E-02  5.4420818E-02
   23000.00      6.2145654E-02  5.3929709E-02
   23100.00      6.1615888E-02  5.3444948E-02
   23200.00      6.1091386E-02  5.2966431E-02
