ALV-5000/E-WIN Data
ALV-5000/EPP-WIN Data
Date :	"04.12.2007"
Time :	"16:47:21"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     632.80000
Angle [°]       :	      50.00100
Duration [s]    :	        60
Runs            :	         1
Mode            :	"SINGLE AUTO CH0"
MeanCR0 [kHz]   :	     344.97168
MeanCR1 [kHz]   :	       0.00000

"Correlation"
       9.14063	     306.68118
       9.37500	     329.48260
       9.60938	     349.89755
       9.84375	     283.74744
      10.07813	     311.42419
      10.31250	     362.73907
      10.54688	     376.10144
      10.78125	     337.54697
      11.01563	     311.73584
      11.25000	     298.29663
      11.48438	     354.12399
      11.71875	     382.66736
      11.95313	     360.73688
      12.18750	     376.05023
      12.42188	     337.81168
      12.65625	     330.46875
      12.89063	     312.80313
      13.12500	     340.01453
      13.35938	     350.83676
      13.59375	     357.58197
      13.82813	     311.61203
      14.06250	     398.86017
      14.29688	     369.50992
      14.53125	     345.60281
      14.76563	     327.43768
      15.00000	     362.58966
      15.23438	     296.67862
      15.46875	     335.43802
      15.70313	     350.59341
      15.93750	     340.68906
      16.17188	     368.51523
      16.40625	     330.04611
      16.64063	     368.92078
      16.87500	     296.15353
      17.10938	     325.58487
      17.34375	     342.65286
      17.57813	     346.37979
      17.81250	     354.43137
      18.04688	     310.32703
      18.28125	     338.66977
      18.51563	     353.76965
      18.75000	     346.18341
      18.98438	     347.16959
      19.21875	     370.10333
      19.45313	     348.24539
      19.68750	     364.72424
      19.92188	     438.07635
      20.15625	     277.75787
      20.39063	     336.33881
      20.62500	     329.71741
      20.85938	     289.11801
      21.09375	     340.47986
      21.32813	     298.99249
      21.56250	     298.27954
      21.79688	     339.98465
      22.03125	     343.99335
      22.26563	     346.77682
      22.50000	     367.42233
      22.73438	     374.09924
      22.96875	     330.31506
      23.20313	     312.88852
      23.43750	     303.86783
      23.67188	     358.64499
      23.90625	     344.75754
      24.14063	     368.14807
      24.37500	     371.42676
      24.60938	     324.96158
      24.84375	     362.88425
      25.07813	     343.56644
      25.31250	     359.48175
      25.54688	     270.03500
      25.78125	     344.25378
      26.01563	     462.47440
      26.25000	     446.68292
      26.48438	     327.89874
      26.71875	     326.03741
      26.95313	     377.91583
      27.18750	     278.08658
      27.42188	     306.44214
      27.65625	     358.81149
      27.89063	     406.39090
      28.12500	     324.87622
      28.35938	     335.11359
      28.59375	     320.21005
      28.82813	     327.94998
      29.06250	     284.99829
      29.29688	     278.24454
      29.53125	     350.29031
      29.76563	     395.72235
      30.00000	     339.24609
      30.23438	     301.29355
      30.46875	     297.86118
      30.70313	     356.16891
      30.93750	     338.94299
      31.17188	     383.40591
      31.40625	     360.45511
      31.64063	     412.83301
      31.87500	     336.93222
      32.10938	     320.41071
      32.34375	     368.15234
      32.57813	     327.98840
      32.81250	     342.82361
      33.04688	     296.48224
      33.28125	     359.76352
      33.51563	     356.77512
      33.75000	     351.44299
      33.98438	     346.92197
      34.21875	     311.84683
      34.45313	     341.18427
      34.68750	     339.79681
      34.92188	     346.76828
      35.15625	     367.12775
      35.39063	     357.95340
      35.62500	     349.47491
      35.85938	     298.51010
      36.09375	     316.27820
      36.32813	     329.26913
      36.56250	     348.25821
      36.79688	     366.03485
      37.03125	     326.34906
      37.26563	     345.89313
      37.50000	     336.01437
      37.73438	     374.69690
      37.96875	     341.28674
      38.20313	     327.42062
      38.43750	     408.84564
      38.67188	     300.91360
      38.90625	     364.54492
      39.14063	     351.24661
      39.37500	     355.97681
      39.60938	     374.80365
      39.84375	     354.78143
      40.07813	     317.98584
      40.31250	     351.37466
      40.54688	     347.61359
      40.78125	     415.34753
      41.01563	     276.28928
      41.25000	     353.57755
      41.48438	     325.39276
      41.71875	     351.66925
      41.95313	     313.51181
      42.18750	     406.94162
      42.42188	     377.29254
      42.65625	     369.60812
      42.89063	     345.95288
      43.12500	     374.84631
      43.35938	     298.97971
      43.59375	     352.75360
      43.82813	     368.43839
      44.06250	     313.78503
      44.29688	     339.76266
      44.53125	     265.40302
      44.76563	     329.47406
      45.00000	     307.69299
      45.23438	     313.66550
      45.46875	     324.50906
      45.70313	     362.52991
      45.93750	     304.17947
      46.17188	     377.42062
      46.40625	     330.32788
      46.64063	     404.43564
      46.87500	     376.63083
      47.10938	     351.24234
      47.34375	     338.85760
      47.57813	     328.88065
      47.81250	     326.43872
      48.04688	     372.36597
      48.28125	     396.25174
      48.51563	     351.25513
      48.75000	     334.22986
      48.98438	     341.06473
      49.21875	     357.47098
      49.45313	     358.94809
      49.68750	     363.13611
      49.92188	     336.18085
      50.15625	     284.83182
      50.39063	     416.27393
      50.62500	     450.15372
      50.85938	     319.27512
      51.09375	     341.64532
      51.32813	     361.35162
      51.56250	     345.76505
      51.79688	     376.25940
      52.03125	     339.46381
      52.26563	     363.90457
      52.50000	     323.32651
      52.73438	     378.11221
      52.96875	     310.71979
      53.20313	     275.61478
      53.43750	     281.34393
      53.67188	     314.18204
      53.90625	     294.57822
      54.14063	     366.47458
      54.37500	     327.45050
      54.60938	     388.40506
      54.84375	     314.18631
      55.07813	     353.69281
      55.31250	     390.17676
      55.54688	     343.61768
      55.78125	     322.84412
      56.01563	     356.94589
      56.25000	     320.10760
      56.48438	     366.68802
      56.71875	     321.35846
      56.95313	     354.81985
      57.18750	     440.49695
      57.42188	     328.12500
      57.65625	     334.34085
      57.89063	     362.12860
      58.12500	     321.64020
      58.35938	     366.18427
      58.59375	     355.58405
      58.82813	     368.89517
      59.06250	     347.31046
      59.29688	     355.78467
      59.53125	     320.10760
      59.76563	     357.72287

Monitor Diode	 595403.42

"Cumulant 1.Order"
FluctuationFreq. [1/ms]	 4.0443E-001
DiffCoefficient [µm²/s]	 3.2362E+000
Hydrodyn. Radius [nm]	 7.5788E+001

"Cumulant 2.Order"
FluctuationFreq. [1/ms]	 4.3039E-001
DiffCoefficient [µm²/s]	 3.4439E+000
Hydrodyn. Radius [nm]	 7.1217E+001
Expansion Parameter µ2	 3.1591E-002

"Cumulant 3.Order"
FluctuationFreq. [1/ms]	 4.2358E-001
DiffCoefficient [µm²/s]	 3.3894E+000
Hydrodyn. Radius [nm]	 7.2362E+001
Expansion Parameter µ2	 1.0501E-002
Expansion Parameter µ3	-2.0052E-002

"StandardDeviation"
  1.25000E-004	  7.67491E-003
  2.50000E-004	  7.67551E-003
  3.75000E-004	  7.67614E-003
  5.00000E-004	  7.67676E-003
  6.25000E-004	  7.67738E-003
  7.50000E-004	  7.67800E-003
  8.75000E-004	  7.67860E-003
  1.00000E-003	  7.67923E-003
  1.12500E-003	  7.67782E-003
  1.25000E-003	  7.67729E-003
  1.37500E-003	  7.67709E-003
  1.50000E-003	  7.67671E-003
  1.62500E-003	  7.67638E-003
  1.75000E-003	  7.67602E-003
  1.87500E-003	  7.67559E-003
  2.00000E-003	  7.60718E-003
  2.25000E-003	  7.60730E-003
  2.50000E-003	  7.60736E-003
  2.75000E-003	  7.60728E-003
  3.00000E-003	  7.60726E-003
  3.25000E-003	  7.60728E-003
  3.50000E-003	  7.60731E-003
  3.75000E-003	  7.60735E-003
  4.00000E-003	  7.57275E-003
  4.50000E-003	  7.57220E-003
  5.00000E-003	  7.57217E-003
  5.50000E-003	  7.57216E-003
  6.00000E-003	  7.57214E-003
  6.50000E-003	  7.57210E-003
  7.00000E-003	  7.57208E-003
  7.50000E-003	  7.57201E-003
  8.00000E-003	  7.55489E-003
  9.00000E-003	  7.55377E-003
  1.00000E-002	  7.55371E-003
  1.10000E-002	  7.55363E-003
  1.20000E-002	  7.55353E-003
  1.30000E-002	  7.55345E-003
  1.40000E-002	  7.55334E-003
  1.50000E-002	  7.55326E-003
  1.60000E-002	  7.54345E-003
  1.80000E-002	  7.54116E-003
  2.00000E-002	  7.54097E-003
  2.20000E-002	  7.54079E-003
  2.40000E-002	  7.54058E-003
  2.60000E-002	  7.54030E-003
  2.80000E-002	  7.54001E-003
  3.00000E-002	  7.53975E-003
  3.20000E-002	  7.53379E-003
  3.60000E-002	  7.52937E-003
  4.00000E-002	  7.52878E-003
  4.40000E-002	  7.52827E-003
  4.80000E-002	  7.52758E-003
  5.20000E-002	  7.52685E-003
  5.60000E-002	  7.52602E-003
  6.00000E-002	  7.52527E-003
  6.40000E-002	  7.51997E-003
  7.20000E-002	  7.51142E-003
  8.00000E-002	  7.51011E-003
  8.80000E-002	  7.50854E-003
  9.60000E-002	  7.50668E-003
  1.04000E-001	  7.50500E-003
  1.12000E-001	  7.50300E-003
  1.20000E-001	  7.50089E-003
  1.28000E-001	  7.49539E-003
  1.44000E-001	  7.47767E-003
  1.60000E-001	  7.47308E-003
  1.76000E-001	  7.46813E-003
  1.92000E-001	  7.46223E-003
  2.08000E-001	  7.45693E-003
  2.24000E-001	  7.45066E-003
  2.40000E-001	  7.44385E-003
  2.56000E-001	  7.42714E-003
  2.88000E-001	  7.38866E-003
  3.20000E-001	  7.37354E-003
  3.52000E-001	  7.35695E-003
  3.84000E-001	  7.34059E-003
  4.16000E-001	  7.32125E-003
  4.48000E-001	  7.30232E-003
  4.80000E-001	  7.28122E-003
  5.12000E-001	  7.24957E-003
  5.76000E-001	  7.17543E-003
  6.40000E-001	  7.12611E-003
  7.04000E-001	  7.07521E-003
  7.68000E-001	  7.01812E-003
  8.32000E-001	  6.96239E-003
  8.96000E-001	  6.90259E-003
  9.60000E-001	  6.84421E-003
  1.02400E+000	  6.81016E-003
  1.15200E+000	  6.65751E-003
  1.28000E+000	  6.53142E-003
  1.40800E+000	  6.40234E-003
  1.53600E+000	  6.27869E-003
  1.66400E+000	  6.15711E-003
  1.79200E+000	  6.03467E-003
  1.92000E+000	  5.91136E-003
  2.01600E+000	  5.79880E-003
  2.27200E+000	  5.57365E-003
  2.52800E+000	  5.38383E-003
  2.78400E+000	  5.22566E-003
  3.04000E+000	  5.08289E-003
  3.29600E+000	  4.95439E-003
  3.55200E+000	  4.83716E-003
  3.80800E+000	  4.73203E-003
  4.06400E+000	  4.61180E-003
  4.57600E+000	  4.43775E-003
  5.08800E+000	  4.32023E-003
  5.60000E+000	  4.22589E-003
  6.11200E+000	  4.16539E-003
  6.62400E+000	  3.85805E-003
  7.13600E+000	  3.85805E-003
  7.64800E+000	  3.85805E-003
  8.16000E+000	  3.67783E-003
  9.18400E+000	  3.67783E-003
  1.02080E+001	  3.67783E-003
  1.12320E+001	  3.67783E-003
  1.22560E+001	  3.67783E-003
  1.32800E+001	  3.67783E-003
  1.43040E+001	  3.67783E-003
  1.53280E+001	  3.67783E-003
  1.63520E+001	  3.54139E-003
  1.84000E+001	  3.54139E-003
  2.04480E+001	  3.54139E-003
  2.24960E+001	  3.54139E-003
  2.45440E+001	  3.54139E-003
  2.65920E+001	  3.54139E-003
  2.86400E+001	  3.54139E-003
  3.06880E+001	  3.54139E-003
  3.27360E+001	  3.15947E-003
  3.68320E+001	  3.15947E-003
  4.09280E+001	  3.15947E-003
  4.50240E+001	  3.15947E-003
  4.91200E+001	  3.15947E-003
  5.32160E+001	  3.15947E-003
  5.73120E+001	  3.15947E-003
  6.14080E+001	  3.15947E-003
  6.55040E+001	  2.63523E-003
  7.36960E+001	  2.63523E-003
  8.18880E+001	  2.63523E-003
  9.00800E+001	  2.63523E-003
  9.82720E+001	  2.63523E-003
  1.06464E+002	  2.63523E-003
  1.14656E+002	  2.63523E-003
  1.22848E+002	  2.63523E-003
  1.31040E+002	  2.08102E-003
  1.47424E+002	  2.08102E-003
  1.63808E+002	  2.08102E-003
  1.80192E+002	  2.08102E-003
  1.96576E+002	  2.08102E-003
  2.12960E+002	  2.08102E-003
  2.29344E+002	  2.08102E-003
  2.45728E+002	  2.08102E-003
  2.62112E+002	  1.55508E-003
  2.94880E+002	  1.55508E-003
  3.27648E+002	  1.55508E-003
  3.60416E+002	  1.55508E-003
  3.93184E+002	  1.55508E-003
  4.25952E+002	  1.55508E-003
  4.58720E+002	  1.55508E-003
  4.91488E+002	  1.55508E-003
  5.24256E+002	  1.12948E-003
  5.89792E+002	  1.12948E-003
  6.55328E+002	  1.12948E-003
  7.20864E+002	  1.12948E-003
  7.86400E+002	  1.12948E-003
  8.51936E+002	  1.12948E-003
  9.17472E+002	  1.12948E-003
  9.83008E+002	  1.12948E-003
  1.04854E+003	  8.09212E-004
  1.17962E+003	  8.09212E-004
  1.31069E+003	  8.09212E-004
  1.44176E+003	  8.09212E-004
  1.57283E+003	  8.09212E-004
  1.70390E+003	  8.09212E-004
  1.83498E+003	  8.09212E-004
  1.96605E+003	  8.09212E-004
  2.09712E+003	  5.75907E-004
  2.35926E+003	  5.75907E-004
  2.62141E+003	  5.75907E-004
  2.88355E+003	  5.75907E-004
  3.14570E+003	  5.75907E-004
  3.40784E+003	  5.75907E-004
  3.66998E+003	  5.75907E-004
  3.93213E+003	  5.75907E-004
  4.19427E+003	  4.08507E-004
  4.71856E+003	  4.08507E-004
  5.24285E+003	  4.08507E-004
  5.76714E+003	  4.08507E-004
  6.29142E+003	  4.08507E-004
  6.81571E+003	  4.08507E-004
  7.34000E+003	  4.08507E-004
  7.86429E+003	  4.08507E-004
  8.38858E+003	  2.89267E-004
  9.43715E+003	  2.89267E-004
  1.04857E+004	  2.89267E-004
  1.15343E+004	  2.89267E-004
  1.25829E+004	  2.89267E-004
  1.36315E+004	  2.89267E-004
  1.46800E+004	  2.89267E-004
  1.57286E+004	  2.89267E-004
